Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ea2e73938bcda62d21304ccf6c4c34d12b57a6d9036a20b1457ae9772fbcd434,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
11646304b97a91bf83639775e20ad9d5dc02d2539bf3dc07cc05b2bc3a9305d6,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
4b673ef7d2b70551d2cd83bcc856c735ed0d6fad706ff81002de35a642536355,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
299d6d832090f406355d7c774eb814639752553e70ac015117ed889273caa591,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
3b58e37b8b54621f8f13137a921fc77dfb968ad0d3a0d87b8155ae92bb7ddb38,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
d48a64dc01cd1368107200a8e75e60d93e9c8ebcfc2d73799299b9b629ea3803,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
d4761ddb9e576980ae4d06cbef20343df0c391a341480331939dca0743ddb993,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
c26b25bbc3ad79e3b98491149c8040b939f702968bff8351ce34e06e6e1420f0,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
b39d7a5d98392896a97d3586ccb7f1ddd1fc153a887908fa05c6034929ae6826,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
62ca23141cfefd6fc204f3df2004df0c919c11b6de06cb90f1715e568573042f,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
39ada7f6b3d5ba3296494b81a5083429704f8b24fce7bb4fae7d7f0293c36353,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
429dd7d15c6d73ca42e95323a7858288f10f97a77e3bb136c0b2b3fbb9d18ab3,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
ca5223468ef610c4482b0e1935ddd4216a515d37a8a1c0b7721396932f29ee0a,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
246f97e2a072c9b32f233f0025353dd6a90b25d35ac629cbaf6195e2bfb5d6c3,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
a264bf5d3196378ef1bd4d7873ab46bbc61067afc847f42b846976be0e4212ed,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
f6c48d50f3bed81bb5962b3d046e91e079e4ac6d5e65d4f85e8fe26d0dd6b78e,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
aa9e5bb6c0142b7255319cc0ec401ba113f988e6ee9b8ccbfe9c994f10eda9b7,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
741958669352fa5da1525e71ab35ecdbf7cbf7897a2f946823ef3e0b2f77fc9a,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
ea2d3e389d6aed99020b677743ef04a30f09faeb0de62d87e3bad089701e4531,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
084dd790ff6f37875b89faae488e8b3b0245d313f52b3dffccbad2c7706b8047,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
10bb7e13d23932cd5aa75426eb44dfb7e384818a2f5c938e0efa7153a51b8621,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
4facb1db47a57f5355370f60a5654d81637bb5bd104489eda2e9553505d62acc,2013-11,Surrey Police,Surrey Police,-0.489886,51.293127,On or near Petrol Station,E01030458,Guildford 001B,Suspect charged
b677a54668b6f1cde5a93e51d0f4ccc3a86b1a8c5eef42bca363a51b76019a03,2013-11,Surrey Police,Surrey Police,,,No location,,,Suspect charged
178ae32e6c28c5d2494dfe05719194ed8068484018dabae56564c9688e171f72,2013-11,Surrey Police,Surrey Police,,,No location,,,Local resolution
1925f252bda82c19c53941b70c711b32fbe90d8aa41856e68e3574e675e3a9fa,2013-11,Surrey Police,Surrey Police,,,No location,,,Offender given a caution
de4a68090e23da76386fa94a2830b2214fd2da2d01751c0b1f437525ab385c12,2013-11,Surrey Police,Surrey Police,,,No location,,,Suspect charged
ece23657697b8c5870cc3a9f30a49ae557b40031176c475546f06055ba8a29de,2013-11,Surrey Police,Surrey Police,,,No location,,,Suspect charged
97d8ab089685c95f7b420955710877ee87c499a0a0c8940c6741150f40a559b5,2013-11,Surrey Police,Surrey Police,,,No location,,,Offender given a caution
beb85e01ea562bb98dc2ff779a65aa8b80753c458b01444861212c0313ed35b3,2013-11,Surrey Police,Surrey Police,,,No location,,,Suspect charged
8e16b15595d20e43bb8bfffc817f2dc24140dff72b8a0c585197cbb6590b187e,2013-11,Surrey Police,Surrey Police,,,No location,,,Local resolution
d5774a702454a3b7bde32f4958dab7e1c6b00c6c63df0edcbf6e2b0f849ffd13,2013-11,Surrey Police,Surrey Police,,,No location,,,Suspect charged
741c451a95a8b76d4786e30cd39d06208c553e98fceec99fff1472a2013e135b,2013-11,Surrey Police,Surrey Police,,,No location,,,Suspect charged
977ff651b68ca612377882ae07f495c1899628008a8aa28e985f183b01c0e1f4,2013-11,Surrey Police,Surrey Police,,,No location,,,Local resolution
2062e324cce564d9b3a21655dbfe6f73299244f0a2f676b88dfaf7f4e7ae3be8,2013-11,Surrey Police,Surrey Police,,,No location,,,Offender given penalty notice
a26b37d2b968001ff51616acf85fa8807d57cb8d6970ccb9de66391f9f472947,2013-11,Surrey Police,Surrey Police,,,No location,,,Offender given penalty notice
988ec278f652c88678eb4576f34690fda3eaa6debf90738b9246f53bedc8a8ca,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
11d744e99e4becbf90afd0f585102ab6af8be204373ea671082b8c09fcfe42e7,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
9068c5d30b1a29db0140b929bb2020b2d16ac1c367132bd4f72f45f3f48d93a9,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
d3e281b9dc3e78dc132d0c2275370ce3759ad7d95414b93d4161e80b5aec19a1,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
9068c5d30b1a29db0140b929bb2020b2d16ac1c367132bd4f72f45f3f48d93a9,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
3627aec53b0984dfa0c803e494a90634b0341c030018784d08f2c8876473b06a,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
610c8829fefb061b8effe4713213b1ee2dcbe1d5b82f95ebca436b5a9bb16e76,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
9d1d3d4bf255ea037cf99500d4840c3ffbf6c17fb8fcd7443a523a52885c5d07,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
0d071689226dbe84ee9d9495f4256190ca8807908dde0a9a096d3b4384039602,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
e1ae4b608f0ba38ba55d0ff4f03befd1f60c5b69bce437dd43b4a72d3ac7ceb9,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
94cb48007d569a13c78594040a22eda1606588869221db3a09f6cb6f82f6af4a,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
3798a6bdf59db3bf7543ae33174c6502abaa03024487a41b95a2f08e8f21e969,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
d987d52ab97e7906dea15aff283b245e4057087679b0fa9914179561080abee4,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
8d762a1c92aac5dd41661d32e03dfa1dd07c7355e3a2d908df679c18ba2141a6,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
c879d9fbc81a6522b1cba3591009009b9c18b61b08c50f5edd4e2fbd92972e96,2013-11,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
90ec0c8dac3b0d13343bb2c9f33ed144494833f4b365cb7f55cbe87b5b551833,2013-11,Surrey Police,Surrey Police,-0.463100,51.371543,On or near THE QUADRANT,E01030374,Elmbridge 012D,Investigation complete; no suspect identified
3e3263774d9141b4111d072ceed5c70e4d8bea87eaa3e496de43a13b38a7eee4,2013-11,Surrey Police,Surrey Police,-0.426418,51.385884,On or near BRIDGE STREET,E01030360,Elmbridge 007D,Investigation complete; no suspect identified
42a05d0d7122b0e0ffa2f489a6ef967517ff5ede655a3dfb17f2978de0a59e30,2013-11,Surrey Police,Surrey Police,-0.327763,51.387279,On or near RYTHE COURT,E01030350,Elmbridge 005A,Investigation complete; no suspect identified
acfaa1994d9a866aaf5caefc1c6fb1fbe39f554391e45fcdfa058644869ca138,2013-11,Surrey Police,Surrey Police,-0.394881,51.335908,On or near FAIRBOURNE,E01030306,Elmbridge 017F,Investigation complete; no suspect identified
19325f071689df29a7398fff4a91981c3ffe57993d221aaf559a4f104141fede,2013-11,Surrey Police,Surrey Police,-0.345312,51.361360,On or near TORRINGTON CLOSE,E01030297,Elmbridge 015B,Investigation complete; no suspect identified
6db418364d8b4fdd97e3e8e7bee2bfd20fb77ca37d543d76854d91c5abc00152,2013-11,Surrey Police,Surrey Police,-0.245679,51.243338,On or near REIGATE ROAD,E01030527,Mole Valley 008D,Investigation complete; no suspect identified
0002199af26cc66f7f7bbe4010f11919e34409f6d1451e7e6f81c9b3d77c00b3,2013-11,Surrey Police,Surrey Police,-0.595594,51.217710,On or near LITTLETON LANE,E01030478,Guildford 017C,Investigation complete; no suspect identified
05add437665c83cae99b3fd7127b09a027a8abc8ab06be2af41b8093cb7c4fc1,2013-11,Surrey Police,Surrey Police,-0.116343,51.173935,On or near THE WOODLANDS,E01030818,Tandridge 011C,Investigation complete; no suspect identified
19678b067e6ce71ee5573a61d6ab089187d69dabded3cf178a3299c6f2490a12,2013-11,Surrey Police,Surrey Police,-0.096255,51.285742,On or near HOMESDALE ROAD,E01030858,Tandridge 003E,Investigation complete; no suspect identified
5400415d18edb31e1d9b8f359d77ba0510c050e69940db55b1f56d379b7621d2,2013-11,Surrey Police,Surrey Police,-0.227311,51.288798,On or near STOKES RIDINGS,E01030638,Reigate and Banstead 006D,Investigation complete; no suspect identified
cfb364abdb9100d34594bb7b5c589ab5c49033ec11b21bcccff613ab9f2bbaea,2013-11,Surrey Police,Surrey Police,-0.169800,51.213030,On or near HORLEY ROAD,E01030570,Reigate and Banstead 014A,Investigation complete; no suspect identified
c0a0283167fbba6f632e952d9c654d940eda5bbb7e530700961f927fee7df478,2013-11,Surrey Police,Surrey Police,-0.210092,51.237367,On or near PILGRIM MEWS,E01030620,Reigate and Banstead 012D,Investigation complete; no suspect identified
a306150414904fe750616dae2b56508bddffca067f75f7b7e84e3eba524b5f51,2013-11,Surrey Police,Surrey Police,-0.173291,51.265900,On or near GATTON BOTTOM,E01030598,Reigate and Banstead 009A,Investigation complete; no suspect identified
884f0d45dea30fc2d5ac8e616a1592c5431926d94afcca2873288f78f6c295d0,2013-11,Surrey Police,Surrey Police,-0.162033,51.309141,On or near HOW LANE,E01030568,Reigate and Banstead 004D,Investigation complete; no suspect identified
396ea61f64592f2cc714702c88bba7809cab5a4de3fdddc6d0cf35e02162ad52,2013-11,Surrey Police,Surrey Police,-0.311196,51.316090,On or near WOODFIELD CLOSE,E01030507,Mole Valley 002B,Investigation complete; no suspect identified
e7283e2b6931acdc1a1ac099e41c41c3af47920524db66ca55ec96b6a2670641,2013-11,Surrey Police,Surrey Police,-0.222462,51.165047,On or near Park/Open Space,E01030531,Mole Valley 013D,Investigation complete; no suspect identified
b314c0c0980f9ef3e03601c9ca5233ba88e0832dc8444bf61faad8048f168a42,2013-11,Surrey Police,Surrey Police,-0.324548,51.151077,On or near NURSERY CLOSE,E01030529,Mole Valley 012A,Investigation complete; no suspect identified
57123eaf6741ce763754c92a9edee1a4298905b16bf76a14fee87624ed94d8a3,2013-11,Surrey Police,Surrey Police,-0.321028,51.179902,On or near WILLOW CLOSE,E01030515,Mole Valley 013A,Investigation complete; no suspect identified
8ecc73760621bfd4a8004a9e1244b85e913284357e02c18008b491c4d655c351,2013-11,Surrey Police,Surrey Police,-0.302700,51.320005,On or near OVERDALE,E01030506,Mole Valley 001A,Investigation complete; no suspect identified
90745aa7d23592fb9437378ba051c7734e36ab5f9696bf131bbce7e662291276,2013-11,Surrey Police,Surrey Police,-0.295064,51.309588,On or near HOWARD CLOSE,E01030509,Mole Valley 001C,Investigation complete; no suspect identified
506f1a03521a9a29912fbc4863bbd3199f094ea00443ff79f30a7cf5894870b5,2013-11,Surrey Police,Surrey Police,-0.406911,51.381448,On or near CLEMENTS ROAD,E01030368,Elmbridge 008E,Investigation complete; no suspect identified
c30cb4daa883f28cd08b2019452b9f2ab6d5f6992759680da9874b90feead625,2013-11,Surrey Police,Surrey Police,-0.270369,51.336726,On or near HAZON WAY,E01030409,Epsom and Ewell 007E,Investigation complete; no suspect identified
127e24d8a12228851e10de80f90c398b1a3e28eaa560233bf06822982d2d0662,2013-11,Surrey Police,Surrey Police,-0.257752,51.368480,On or near THORNDON GARDENS,E01030377,Epsom and Ewell 003A,Investigation complete; no suspect identified
3d99183bd77b320308157a82d9fd12b047ada4c2a4d28a26075fba57ad5049cf,2013-11,Surrey Police,Surrey Police,0.011218,51.261508,On or near HIGH STREET,E01030831,Tandridge 006A,Investigation complete; no suspect identified
db0e7369ffdb80b8a8a8b1e42a4ec8c9909f1047e64bf649435939170f62ce5e,2013-11,Surrey Police,Surrey Police,-0.488986,51.140367,On or near Supermarket,E01030875,Waverley 013F,Investigation complete; no suspect identified
5a04c1d03d4774ab5eff9230eb1472f6d8724725884d99b5603f337b1dd23e27,2013-11,Surrey Police,Surrey Police,-0.689223,51.138547,On or near LOWER HOUSE ROAD,E01030879,Waverley 012B,Investigation complete; no suspect identified
087bdf09368f9a620d1b7630686780440b1d6060e1085c27f48eef73193ca542,2013-11,Surrey Police,Surrey Police,-0.602039,51.314500,On or near CARDIGAN CLOSE,E01030962,Woking 009C,Investigation complete; no suspect identified
a3ab50bbfad4758d2a3591af595ef4f943b79a275fc4cda42511bf364a4de2b4,2013-11,Surrey Police,Surrey Police,-0.710336,51.088235,On or near Parking Area,E01030931,Waverley 016B,Investigation complete; no suspect identified
