Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
35b8075b170ba1556d72a2d131cc02259cfc54c5cebbad1313aadf7ac5c86d82,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.981784,51.347624,On or near Theme/Adventure Park,E01014801,North Somerset 020C,Suspect charged
4be5f7e53e428c82cef005f9389d618b27ed3f8ee1e4be594f55a108c0e7e7db,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.852400,51.436694,On or near OVERSTABLES LANE,E01014750,North Somerset 007A,Suspect charged
a00b622f11c58c4cf5db7560b3418a69f389dcc036655445fc371a053a2c2dc9,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
d121cdd35374f8df050b45a0ceeda28af3c06e5b2e0603fccebeee9e8d3eb70c,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
9119fd9365b2a40b4aecc61c6f53eedb11c0b254f045bf63f7fa655d98dbc25a,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
2ce4dea6ba3f1bb5846916f6cec430ae04dbef04383e2e40fe8b82ed3e9871e4,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
ebbcc7c027a5f8764172c424eb2168a9583408b3f21f389b382480df92ad0892,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
fb4ad367c8fb61c9243f1852168975a946252e792da5386c8dea246535c1d1ad,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
d768e9c65a7f7283a52c595873a37c1a4c3fcd717bbae01db4bf00ae113a5ec9,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
33471f4b8704d1fe15c361b0637863c7b95defc35fbec8547d0e2e540880aae0,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
70db8ff83a6d7b75b92dc370e5416c5f8592e0e8a4feafb9a293c56af2939450,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
3a2f61ad34f274e2a7945e470d553bd82132c67861a68f7e5f6c642a8be63401,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
d22b2413f1226ff101f4d6d62d0282bcf8bda78ce8a804fa98c714e29e4272b8,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
f26d86240d5ae0769a9066efb599764969f6251e184a4253744076d576d9ee07,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
4df06dfc9f65f0b63dd9e924297c476094dd3ce3693bf777ec74ff688021d705,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e382d8db2d4bfb6fd28f194ea15cf41a0b1b12f030ac7d01a75e4e6b1064f807,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged as part of another case
2ce4dea6ba3f1bb5846916f6cec430ae04dbef04383e2e40fe8b82ed3e9871e4,2013-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
