Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1a14d1f4feee2c8b1b8ba9b626124d6352d1e190a9d10dc83504b6adfba95ac6,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.263169,52.230837,On or near Police Station,E01018190,Huntingdonshire 019D,Investigation complete; no suspect identified
6d432873d593ddcaaaeb977e39133bf76dd52be83a23476efb15d607ed5c9d4a,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.082301,52.471524,On or near DUKES DRIVE,E01018156,Huntingdonshire 003A,Investigation complete; no suspect identified
c8637b6b3606e5fb0ccdbe93ac9c190fb6203b7131e194b68917742ece8102ae,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.267731,52.557929,On or near Sports/Recreation Area,E01015650,Peterborough 022B,Investigation complete; no suspect identified
df9c2dd3f34a19229a5d1a920bf4b54205204eea538a7773770074ea0447ff1b,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.001885,52.383309,On or near COACH MEWS,E01018197,Huntingdonshire 006B,Investigation complete; no suspect identified
8359df9fb41f00366c3231babcafba65479d26e37add16a58478d9d4731a1f44,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129296,52.212206,On or near BANHAMS CLOSE,E01018010,Cambridge 004E,Investigation complete; no suspect identified
c6010b89106a21ab9dc6e5b9d7de2a284cd30c08fb8a365ca12d02c958997df3,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243952,52.583392,On or near DOGSTHORPE ROAD,E01015601,Peterborough 012A,Investigation complete; no suspect identified
a98f943e8c0764848db25b5d6efb161843af510f708208002670ca34097c700c,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284483,52.580381,On or near ARTINDALE,E01015597,Peterborough 011E,Investigation complete; no suspect identified
fb4f73b82b5a9345d57f2103c1cfd876ec054a98f483b3580e816d16621e8b6d,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137154,52.231972,On or near MARKHAM CLOSE,E01017980,Cambridge 001F,Investigation complete; no suspect identified
446ef53051f052e2bde36fa64a5e737383721de2ae021fc99822f3c715f5883d,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.192073,52.271536,On or near LEVITT LANE,E01018299,South Cambridgeshire 004B,Investigation complete; no suspect identified
139b9072c4fd508fd6e1ebe7c4879d9f3a3a63822b9474b79e8eb5f32ae0e782,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134260,52.200337,On or near COVENT GARDEN,E01017988,Cambridge 008B,Investigation complete; no suspect identified
a9acc89cb5b4b5b884cb67c12bcfe71141b3cbe8cb5e6285253ce84717de5ac6,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.147236,52.205101,On or near HAMPDEN GARDENS,E01017997,Cambridge 009A,Investigation complete; no suspect identified
e23cbcb5ee0d2c56114e9ae6a54a7b16e4052ce426d185f985ffaf9c3fc3740d,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.185225,52.241981,On or near ST JOHN'S LANE,E01018297,South Cambridgeshire 007D,Investigation complete; no suspect identified
d6b287fcbeee633c087c968093e05fa75b6ef7adf49d1d5fb1427cbcc7c61021,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.248427,52.574440,On or near STATION ROAD,E01015599,Peterborough 014A,Investigation complete; no suspect identified
cb088f4e2ea9aad1c290967cdd9803065c2f90ce5d2b05917a3ec93177d2a484,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.111592,52.252799,On or near AMBROSE WAY,E01018257,South Cambridgeshire 006A,Investigation complete; no suspect identified
57243ec538e129629ec257c0370328ae220e85840b91d40f4f0189aa390c55fd,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137679,52.205715,On or near ST MATTHEW'S STREET,E01017989,Cambridge 008C,Investigation complete; no suspect identified
1a4975f1f3b938127ffedb3fd77055973bda6399f57ba0f7c5be3a1496e02fc9,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243921,52.568655,On or near VIERSEN PLATZ,E01015599,Peterborough 014A,Investigation complete; no suspect identified
