Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cf313ef3fda4626abb44d3732251fe0d96531541f70b18f73c0916c793895cbe,2013-12,Kent Police,Kent Police,,,No location,,,Offender given a caution
2be6028fe0914ffed3a6dc27a55c65928f703b21a8ae94e2bd0122cc87dba686,2013-12,Kent Police,Kent Police,,,No location,,,Offender given a caution
1594424c166a74a23633307013ddc17e5b8a02fb65dc780a74d774a7f45c61c8,2013-12,Kent Police,Kent Police,,,No location,,,Suspect charged
59f210b5fb81f94372fdab7aef2e1900530a5b00da797e2c97097ad70eb2ef47,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
24cf3516952cdb5016b2385803701dbce2376b9c54de0bc62e12d21395936586,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
153ab09e3e312b8e1d3b7c70655503720f2b5b4fbf1f779bed03fc1525b9c276,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
942e8234d95cbaa0c7c8722b0449afcfb5f2c9b481fb3511bf6c5f493f8eb00e,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
25dcb2c022a19ced8e42a17e51e8345c8e5aa0fca5989ce84e130fbbc9e95b81,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
de93a96a180be18276e351a462779376ca2ecc01e4b10a815e528b1bd94d5596,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
b5784453f084980eca6c16500d84840c58a87a388bde92d88e7a03ac0fb4fb81,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
58abaf1841eac3fd2d92a18b60a91eefacbc2ebe17316b7aadef928e44445855,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
e08397b957e257f0c77065f49e2bf1f12be8cf04e23259d161df83e79d9e9097,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
c454e6f54bb61ed18c9c06e6a508341658d841d3d4dd50bbda2baf9b5d7e78cd,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
be2c338b9a29d61b1eb4a25118c346dacec599092d01f17ce3b11816e199332a,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a1d9b3aee5bbc92c3e8ce5556acf8088d7948855161159c812d4450d94be797a,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a78d5a02a52a68b44c5c38eae984b23a7c21fae411322fb6a9ff562d7a17d33e,2013-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
9c33b051163db0b2421b07421c3ecfd8d4c359448eb1318648da39fdba1ac582,2013-12,Kent Police,Kent Police,0.872716,51.146821,On or near CHURCH ROAD,E01024027,Ashford 005D,Investigation complete; no suspect identified
da8c2dc263e8cef6cef032bea89e53ab468d73b2e92cb96a0bbcc773b15bd9f5,2013-12,Kent Police,Kent Police,1.303786,51.125202,On or near ST JOHN'S ROAD,E01024215,Dover 013B,Investigation complete; no suspect identified
805fde7afb9dc8df46b468848b60d14fc698673c6e14e97d2327d5ffe3c98ec5,2013-12,Kent Police,Kent Police,1.279987,51.281307,On or near QUEEN'S ROAD,E01024208,Dover 001C,Investigation complete; no suspect identified
75491b47e693f6b1d985de8dfccf8f41f9209e915f1b97b4c3545e4f8a48944c,2013-12,Kent Police,Kent Police,1.288040,51.377867,On or near PRINCES CLOSE,E01024636,Thanet 008A,Investigation complete; no suspect identified
9e68d9a17589b623f0db6c8d27cd805bbbc0643d47c35ba91ab2548f6f7e9f05,2013-12,Kent Police,Kent Police,1.114933,51.360276,On or near EIDER CLOSE,E01024064,Canterbury 003A,Investigation complete; no suspect identified
f3fe68fb69430f9ed21aea95d501d61b8719308b961790fd06be9e353d097026,2013-12,Kent Police,Kent Police,1.382534,51.387480,On or near CECIL STREET,E01024676,Thanet 003A,Investigation complete; no suspect identified
7bfbfd8c23b7e05209b5ef46a17babacae7b1be468ad235de9e9480db4165eec,2013-12,Kent Police,Kent Police,0.956618,50.983437,On or near QUEEN'S ROAD,E01024538,Shepway 012B,Investigation complete; no suspect identified
5af1f771d6fb9b979a9b7b82096f72680dfcf6d52ca93ba9df5e9f97abd39bff,2013-12,Kent Police,Kent Police,1.390149,51.368172,On or near STRASBOURG STREET,E01024696,Thanet 004E,Investigation complete; no suspect identified
6f53bf4896aa4fa13066ce55367be7220d93c89d1283c43dc8e62960040f727c,2013-12,Kent Police,Kent Police,1.306819,51.131844,On or near CHARLTON GREEN,E01024247,Dover 012D,Investigation complete; no suspect identified
ed05fbc765e7ced2004fd7a9d64e99078b6f68ef1e57cf46486503c8b4acfd8c,2013-12,Kent Police,Kent Police,0.956618,50.983437,On or near QUEEN'S ROAD,E01024538,Shepway 012B,Investigation complete; no suspect identified
39d72d80a63f84f89674815eae052ec6950e720bf34f064d4caa123255c7406d,2013-12,Kent Police,Kent Police,1.195988,51.087660,On or near WHITECLIFF WAY,E01024503,Shepway 003D,Investigation complete; no suspect identified
ffc9a1996a93fcba5225f455f734cd224ca508f1b3f8bf6222880eeabc0a7a9e,2013-12,Kent Police,Kent Police,1.167724,51.075549,On or near CLIFTON CRESCENT,E01024509,Shepway 015B,Investigation complete; no suspect identified
896b5d69c38b351efc4cceb6f37b3994ebf5a242581f9d807e4e78b0280e92d2,2013-12,Kent Police,Kent Police,1.177776,51.082625,On or near DARBY PLACE,E01024507,Shepway 014B,Investigation complete; no suspect identified
f73fe904ac9b2cb344f18c744894706bb67a3b9814b8241132904b06a1cbae0e,2013-12,Kent Police,Kent Police,1.392004,51.377707,On or near ST PETER'S ROAD,E01024694,Thanet 004D,Investigation complete; no suspect identified
58562d0ce59c18ba8e5ece8ce2278ab63cc3ef97d2d0e0045551e749ba2a6b5b,2013-12,Kent Police,Kent Police,1.289621,51.377265,On or near INGOLDSBY ROAD,E01024636,Thanet 008A,Investigation complete; no suspect identified
d7faf63042b0b8246d669fa02bab85c106ac9d034bf764bb6041f741b858e134,2013-12,Kent Police,Kent Police,1.416282,51.330073,On or near NELSON CRESCENT,E01024649,Thanet 016C,Investigation complete; no suspect identified
7f14cce71ce77506858e6f715e547d61dd4dde51c5c5464d23387aefcb033677,2013-12,Kent Police,Kent Police,0.882025,51.131436,On or near ROYDS ROAD,E01032817,Ashford 009G,Investigation complete; no suspect identified
c85eb2aab75e91fa886d32ce809467a8f5bc501b5a2b242d29007ef2119f64b1,2013-12,Kent Police,Kent Police,1.382989,51.390327,On or near COBBS PLACE,E01024678,Thanet 001E,Investigation complete; no suspect identified
ee896e3e86a8db61933c36417c9cc61c9c71ac755919d0080031886f538c706d,2013-12,Kent Police,Kent Police,1.077913,51.293688,On or near MANWOOD AVENUE,E01024100,Canterbury 013B,Investigation complete; no suspect identified
dceb4980860db7fe7a5cf6404fae88c4a802f4e9bb53495e76878c1b162419f9,2013-12,Kent Police,Kent Police,1.086880,51.271469,On or near RANDOLPH CLOSE,E01024044,Canterbury 016A,Investigation complete; no suspect identified
dfc772ac41079962355b7bbe913908e4488b3d2ebbad467fabfeb8d3a457cc34,2013-12,Kent Police,Kent Police,1.388421,51.390296,On or near ZION PLACE,E01024657,Thanet 001A,Investigation complete; no suspect identified
f4031d2eb461e49665a1b14c448b5c2ab0280cbb9ec0b899c230b97321f960e1,2013-12,Kent Police,Kent Police,1.390540,51.347022,On or near BRECON SQUARE,E01024682,Thanet 013A,Investigation complete; no suspect identified
4263f6b4696c24bc8827593ce1c6eb5cc2d4ff67e8def6c8508b30ed4d33e084,2013-12,Kent Police,Kent Police,1.374475,51.385410,On or near ALL SAINTS' AVENUE,E01024710,Thanet 003E,Investigation complete; no suspect identified
4efc7fb705d7255612ab264a343eb20482c7d0bbc5e243dcb10d827e7a66ecd7,2013-12,Kent Police,Kent Police,1.374475,51.385410,On or near ALL SAINTS' AVENUE,E01024710,Thanet 003E,Investigation complete; no suspect identified
f080689b8147e9d5c594f34b1dde5969dbdd6ec26c4933bb913d50db6805e4bb,2013-12,Kent Police,Kent Police,1.044018,51.349226,On or near THE HALT,E01024055,Canterbury 007A,Investigation complete; no suspect identified
cef4dc70c14f5c9c03e5fa4c24d58ca5dae26692d4a88ec47b1bdcc7b1306751,2013-12,Kent Police,Kent Police,0.856085,51.110225,On or near Sports/Recreation Area,E01024034,Ashford 010D,Investigation complete; no suspect identified
d3058d8522bc0f512de134ea1600c0c0bbf7b39fc4b2ad224debcd7a5af68c43,2013-12,Kent Police,Kent Police,1.180497,51.082110,On or near FOORD ROAD SOUTH,E01033212,Shepway 014C,Investigation complete; no suspect identified
