Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9211d360bea37955d5d8af86fd2c54b18815dd5f3a65d64c2d5f422a130a1571,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.251571,52.632900,On or near IRSTEAD ROAD,E01026865,Norwich 006C,Suspect charged
970fbdb92417a42f736f01bf04384d5672b4a0eb61bd260a9f5a53c8cb1432f0,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.060876,52.850111,On or near OLD POST ROAD,E01026730,North Norfolk 008B,Offender given a caution
88bf268b5cf5d1c41e5a613d3de49a89873480ba6495c215cc564c2ec28200e6,2013-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
22e5cbddb4e7da13de3687c028370e31fed4fafeb8404db086f0b601e97e4722,2013-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9b0e255e1b6f714724b3bab2e9dc76ebfe2c0ef7f35b7d5c0f914b722ff35d7d,2013-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a530621044caef32e253df48d4e7831e40247a750b8de8b59a5ac52776e7012f,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.186560,52.431973,On or near MILL ROAD,E01026886,South Norfolk 014C,Investigation complete; no suspect identified
ba0952ed60c33893c688ee4f8c08c35d7ec4407bcb18b8d25b9f485362e7a0f5,2013-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
7f0e6947d91366010103ff185750e07413e3b25b0618453f4cab509f0eb0ed18,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.310667,52.628187,On or near ELLA ROAD,E01033439,Norwich 014B,Investigation complete; no suspect identified
741881457b7000e4a16b8d13d4e9a5a8fad2095e6e3fef72b6843b32f1a53812,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.545009,52.589730,On or near THE LOKE,E01026539,Broadland 018D,Investigation complete; no suspect identified
6dc2c5a4d7ce6c24c9eb55ad2eaca5fd28cbf5899728bf8f032dc2b627837614,2013-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
68a944d39796733a6662f3a04ee8c6af63d498816a52837984e4b622ae7fc7a2,2013-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
d493da56eed9f3e639069e2d502b0984baa58762ffde9e3d782d857244aaa521,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.724448,52.556836,On or near MARINER'S CLOSE,E01026612,Great Yarmouth 010C,Investigation complete; no suspect identified
0d4f630397eea0de2dad280928a53537b32fc2c99f3376344f4428274f6284d7,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.735679,52.605935,On or near APSLEY ROAD,E01026623,Great Yarmouth 006B,Investigation complete; no suspect identified
e0d750098382abcefc17d9baf4f232ce079e550b733fb6f4cad81177bc4181df,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.289071,52.630326,On or near POTTERGATE,E01026822,Norwich 007A,Investigation complete; no suspect identified
235d9828110e90d89c6237d7e17ed7cd1d5a917019b078032d42faf10722eb9a,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.297304,52.629936,On or near REDWELL STREET,E01026822,Norwich 007A,Investigation complete; no suspect identified
6c058cb4450ac583ec769c3387b29f7483c10218665c03b8c0f0031562a33bd7,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.731027,52.419368,On or near EDINBURGH WAY,E01026467,Breckland 015C,Investigation complete; no suspect identified
a30a836460cc8870ad48c3a0a575a208ed860eb060fb31ee53a340eb37935807,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.345073,52.915725,On or near CARR LANE,E01026762,North Norfolk 005A,Investigation complete; no suspect identified
ca51fe09d3a39db760601264bdb7cc1e15043d88931862c4921c4179415c95d2,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.399681,52.755779,On or near NORFOLK STREET,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
15239d1ec85b4bd570665ef82133fa57765ff820f6a2a3d93a5b5f6310496b05,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.092350,52.688859,On or near LEY'S LANE,E01026481,Breckland 006C,Investigation complete; no suspect identified
fd9ab5b1be112a4d0c2f4edf0a8388083aa21b38e18feb7714ff7981409e9602,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.121958,52.373999,On or near GILRAY ROAD,E01033539,South Norfolk 015G,Investigation complete; no suspect identified
