Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f1fb46ca4833e116d2d92cbb6116b8597b2f51cd6c92d054ba89f0e70a669471,2013-12,Northamptonshire Police,Northamptonshire Police,-0.879206,52.257983,On or near ROTHESAY ROAD,E01027188,Northampton 013C,Investigation complete; no suspect identified
7f18c784127e35f92279ba5e49de1848bc83755aa04bce0379e3d0c0e8583f4d,2013-12,Northamptonshire Police,Northamptonshire Police,-0.774438,52.371026,On or near WELLINGBOROUGH ROAD,E01027119,Kettering 011F,Investigation complete; no suspect identified
2d1325a1715629a6e7046cd13efb4e35808f29a7ddac9f9c756e8439076cf06d,2013-12,Northamptonshire Police,Northamptonshire Police,-0.815165,52.373940,On or near CHAMBERS HILL,E01032973,Kettering 011H,Investigation complete; no suspect identified
4d990685012af62e2f965eaf4872f943dc7d289f26c7a508e751968d3ffd4e0c,2013-12,Northamptonshire Police,Northamptonshire Police,-0.726671,52.399587,On or near PRINTERS YARD,E01027110,Kettering 007B,Investigation complete; no suspect identified
6eed32ef0d37ba4e78f9e2d6a70e398c4edcdf33311c6e4f2486107216f3b5ab,2013-12,Northamptonshire Police,Northamptonshire Police,-1.168285,52.266621,On or near CHANTELLE COURT,E01026986,Daventry 007A,Investigation complete; no suspect identified
90ae0a4c55694b0475eb246dabd00c44ec523327a7b1f8416faaf4ef2ccd88e7,2013-12,Northamptonshire Police,Northamptonshire Police,-0.891982,52.236211,On or near DERNGATE,E01027223,Northampton 025A,Investigation complete; no suspect identified
d33426aeaca3b46ad4190d60c2051aebdef4c578af5044b06b996164cf0f3c38,2013-12,Northamptonshire Police,Northamptonshire Police,-0.902162,52.247994,On or near STANLEY STREET,E01027152,Northampton 021B,Investigation complete; no suspect identified
9806a3e1aeb817b616641c37edc9a38a7d5e7d87907d9562eef0d9f8a414d051,2013-12,Northamptonshire Police,Northamptonshire Police,-0.716288,52.397263,On or near SAPPHIRE CLOSE,E01027111,Kettering 006C,Investigation complete; no suspect identified
1687b627470f6369c2f4b2983ea9cbf0a8ca05771079ba1cc86396f791e1ff5d,2013-12,Northamptonshire Police,Northamptonshire Police,-1.123196,52.307436,On or near Petrol Station,E01027016,Daventry 004C,Investigation complete; no suspect identified
fe8fc8094288d3880261852c66a811d9ed77450e1a86b5d3befd30f80014b875,2013-12,Northamptonshire Police,Northamptonshire Police,-0.727107,52.402820,On or near Petrol Station,E01027105,Kettering 006A,Investigation complete; no suspect identified
2c9334f40dc23bb108a5f099e2d0a120d920e1575c0c3cdbeb9ab0470456d896,2013-12,Northamptonshire Police,Northamptonshire Police,-1.137432,52.042262,On or near Petrol Station,E01027266,South Northamptonshire 009B,Investigation complete; no suspect identified
e5af83118f4b44a7133f0de675407df9e4a840ed7e5309c982061fd8bfa1f0da,2013-12,Northamptonshire Police,Northamptonshire Police,-1.151152,52.026888,On or near Supermarket,E01027269,South Northamptonshire 010D,Investigation complete; no suspect identified
dde5a738e3249c00e1f7ad25ff679f58cc25361dc7a6ba9662fef5b17c2c2e2c,2013-12,Northamptonshire Police,Northamptonshire Police,-0.872995,52.249275,On or near Petrol Station,E01027136,Northampton 013A,Investigation complete; no suspect identified
2e89fb6af2840ba052bd5602078ea4ff02c258e3e11f6c80e99e24a9434f0dd1,2013-12,Northamptonshire Police,Northamptonshire Police,-0.836597,52.072529,On or near Park/Open Space,E01027276,South Northamptonshire 008A,Investigation complete; no suspect identified
