Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a477d5f263f801035c82af9d883dee1de5153dbf53c8c7fe12205f62db6519ce,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.695934,52.459760,On or near COLUMBINE CLOSE,E01030234,Waveney 009A,Investigation complete; no suspect identified
e0d9af236e4cbf2fb53cd5bc7231308d1709f2a6899bf487521f6bd43ecd290a,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.140745,52.344712,On or near RECTORY ROAD,E01030064,Mid Suffolk 001C,Investigation complete; no suspect identified
ef83685d574cadc3c45a3b8fd03b3a83e0b97f93444ab5abdef59da644f0bf4e,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.104535,52.044805,On or near LONDON ROAD,E01029909,Babergh 005E,Investigation complete; no suspect identified
3cf87d08a40159f598d8bd8ad76833fbc81071c44f6584fb9ba86eaeb875c8bb,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.627781,52.441439,On or near MOUNT ROAD,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
6690cc132d6f7b8218bf45669aecb049b6f8c602573a267c6ab17639d3399989,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.716879,52.073974,On or near SWAN LANE,E01029901,Babergh 003B,Investigation complete; no suspect identified
42992173702e6517108c4d534e08b284e696ec9bd42a95efd4596ef967cb0859,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.705232,52.461933,On or near PLOVERS WAY,E01030233,Waveney 006A,Investigation complete; no suspect identified
89a9e17a3e3045237d3c4666c1799d271119d15404afaa8e8590a0989f72eeda,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.504395,52.368501,On or near WILLOW CLOSE,E01032525,Forest Heath 003H,Investigation complete; no suspect identified
6a87a3b2232d8d9eda05fbc88bdf8f323f9f7bba10c7f1857ed469a5ef5475f1,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.110128,52.040907,On or near WILMSLOW DRIVE,E01029910,Babergh 005F,Investigation complete; no suspect identified
12871420e2fc9a8cfb90f0ef698d25028043a4989abde9978ea5738375b6c009,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.139126,52.060508,On or near PROSPECT STREET,E01030023,Ipswich 006B,Investigation complete; no suspect identified
c51634742186c13ac8edb72ac48cddfa920f8c7b93d5ad166c96bbdc2209b9a8,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.556889,52.134223,On or near LAMBERT'S LANE,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
0b17659681a5db812453609de0c4b15185d3d810769a3f1d2f29c5e659c838b9,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.165810,52.049127,On or near JOHN STREET,E01033126,Ipswich 011F,Investigation complete; no suspect identified
2ee1bf424d5fb97182edbca8dfc8b7184cfe0729b4eea6e9e1df7f702eafebf3,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.150779,52.058983,On or near HIGH STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
008272903ed7c2ea51a9c795349516f8b8ea0aef8582ce3bbec9ff93d58b5b3a,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.750268,52.473744,On or near STATION SQUARE,E01030250,Waveney 004D,Investigation complete; no suspect identified
bc9aac34191340c286bce667a5b3e1367f6151cf0834f43b4f0e33c3ee78aaa6,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.488243,52.218396,On or near DEBEN ROAD,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
40055f65e7e0a1b4fc8f9670280fcfaa4d14fc5beb170cbcf10b652a397a92ef,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.723840,52.462571,On or near ROSEWOOD,E01030287,Waveney 008D,Investigation complete; no suspect identified
1fb7a884d2f722e6b3ac38e9d892985ca0f0f5584519a07e25c05b77ef05d14a,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.011836,52.193933,On or near FIRECREST DRIVE,E01033319,Mid Suffolk 010H,Investigation complete; no suspect identified
b0f956bc187cc8bf9eb9d5eb277dd1ddcc09d79f6c4930b2d24b00b3ed4074bf,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.176928,52.035795,On or near RAEBURN ROAD,E01029979,Ipswich 016B,Investigation complete; no suspect identified
b533728be91a821079402f40146c60bf41fc2530ad50e9204b7da19c93454aeb,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.525375,52.147906,On or near Park/Open Space,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
b3ac4603aa60c874999da3e82ec35f30b1ec8df14a2a86e6b036733d3062b463,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.415036,52.088272,On or near Pedestrian Subway,E01030117,St Edmundsbury 013C,Investigation complete; no suspect identified
bff4225537f20e03529f0fba64ec304fd6662b8e48b8a98765cf71c26dc4ef85,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.992060,52.187323,On or near Parking Area,E01030073,Mid Suffolk 008A,Investigation complete; no suspect identified
6dce2fd3906350872810d2eb99f38cd53f4709fb1db1047999d1a9bab31c0bd7,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.523674,52.422162,On or near BARR DRIVE,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
09257c3dbf33197d3b7be1695db9be0c2565c3ec9c58352183ca59d5dc3bb5dd,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.754126,52.477876,On or near LONDON ROAD NORTH,E01030247,Waveney 007A,Investigation complete; no suspect identified
6b314097e0e7ffa40826206d6b83f6074f4f6225457cb663b06f55d72305516f,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.741519,52.470639,On or near HORN HILL,E01030258,Waveney 007D,Investigation complete; no suspect identified
c914e3387aa91831fba819b7c1b82a20c6d625c548f31adfa57448e3cf7544f3,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.107045,52.041456,On or near WENTWORTH DRIVE,E01029910,Babergh 005F,Investigation complete; no suspect identified
d9e4b0f988dac3c446b8fd42de4bc125fbdd29530abcd98b0a3ccc5e5ec4235d,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.726701,52.467662,On or near EDGERTON ROAD,E01030257,Waveney 008A,Investigation complete; no suspect identified
c8d324230745884d8e6c4105dd56a175ced3e94072accd55e6aa4e65fc32ba32,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.197999,52.056802,On or near Further/Higher Educational Building,E01029965,Ipswich 009C,Investigation complete; no suspect identified
26ed1a6a13314cf4f21e50639d894e06b54867479916539114bd8fb4ddb08e84,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.431019,52.081271,On or near PRIORY AVENUE,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
f72057be4279d871c346f72dbbc1345715cd860c8f5445f6bf8629c410eb24b4,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.180357,52.049787,On or near YORK ROAD,E01029990,Ipswich 011B,Investigation complete; no suspect identified
4c9573dbb44fe77198e9ad145708d4dea92c96fa461aefa57dc0ac68caef819c,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.743738,52.477684,On or near BECKHAM ROAD,E01030265,Waveney 004F,Investigation complete; no suspect identified
6d7d4c58e987eae75cff7d5f635963e48fe47d779e2f4a2e17b94634e2cf71ab,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.149195,52.077319,On or near CLIVE AVENUE,E01029973,Ipswich 002A,Investigation complete; no suspect identified
12fb252053f0aac9cc3ade10bbce8f53796594a6bd0dd09dce01d11ab08d2f40,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.152976,52.050407,On or near STOKE STREET,E01033130,Ipswich 012G,Investigation complete; no suspect identified
da59ca9abfbcf480259c58c7fa9f4dd13848f10a9e26beeb9cf16d2ae1e61017,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.125706,52.055766,On or near KELLY ROAD,E01029984,Ipswich 010A,Investigation complete; no suspect identified
b5cd29d187e36e4b6b12c18facef7adb0616e61f40f98e68ab5099cbcc64948f,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.730227,52.040633,On or near NORTH STREET,E01029920,Babergh 007H,Investigation complete; no suspect identified
5e95f071ee410c3559e18f87898905bb322cd07a367f3df59478b84d7c30249a,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.712593,52.247357,On or near SHORT BRACKLAND,E01033049,St Edmundsbury 009G,Investigation complete; no suspect identified
210a9484e6a590bd1c87da36ce4e09b45e311a3b2f2da2ad442a80529392b9b1,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.673277,52.169478,On or near BURY ROAD,E01030099,St Edmundsbury 010A,Investigation complete; no suspect identified
a2f688ba024acc84ab5b40cd4656efb20471f16709f59daea74023554c793a52,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.713847,52.418937,On or near LLOYDS AVENUE,E01030252,Waveney 012C,Investigation complete; no suspect identified
d4e66344d173561963f83196e59af1fd3be8422fe77bccc8286775f9fb4af76e,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.524981,52.121645,On or near BULLACE LANE,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
39fa852afac4877f08167c54a9c098cdcc3a003580fed1c9060ec0e936902783,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.046274,52.159521,On or near FREEHOLD ROAD,E01030060,Mid Suffolk 010A,Investigation complete; no suspect identified
070fd0c1fe4dc9dcec6367bbf4d507b95ac0b777a5e70b1a4b64e8d5b679e659,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.148092,52.058749,On or near Theatre/Concert Hall,E01033125,Ipswich 007G,Investigation complete; no suspect identified
c51cba11c96bfe63605be020a1b9fcbbf8c82e8e9dd828d66c9ae5b00fc28711,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.188733,52.040000,On or near CONISTON ROAD,E01029996,Ipswich 014D,Investigation complete; no suspect identified
cd64dba5d6343c4ec6593d90fbc431715eec31abde7c5adee7e87699555492cd,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.665930,52.456897,On or near HALL DRIVE,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
3a045a063110ad182ac9bb1c612f271e649cf801c5b57967a0fc248be53cd59b,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.329908,51.968310,On or near LARKHILL WAY,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
7a2fc2bf8067dae8894e94e5b4e5515b4ee45599d75ff5de93b84c30c90f3790,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.130996,52.071733,On or near DEBEN ROAD,E01030029,Ipswich 003C,Investigation complete; no suspect identified
95d129c959d63f4ed6f9d032e2d2e084f41b70e207b379442195e2827a08a03f,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.675168,52.284974,On or near Park/Open Space,E01030134,St Edmundsbury 008D,Investigation complete; no suspect identified
ff725732c9bd8bcc49cf99c2b7fca1bc732a678083fa72b1168e719aaefd674b,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.707103,52.479810,On or near MOYES ROAD,E01030269,Waveney 006D,Investigation complete; no suspect identified
096667bfb55ebf20d30059bab87decd761c153bc4e4fb3c15297748a526b3f5a,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.196449,52.149221,On or near HELMINGHAM ROAD,E01030200,Suffolk Coastal 006B,Investigation complete; no suspect identified
a5b6890cebab8f6072b47687df6ef42b3bf823903a4e8e3e596c5dc0625ece9b,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.165426,52.086175,On or near LOWER ROAD,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
08a0fb9f9414f7f68b056ae141c25db2927590e31ac14d4f8128602307dd3f7c,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.929024,52.374859,On or near HIGH STREET,E01030097,St Edmundsbury 001C,Investigation complete; no suspect identified
2f3b29c744b8371775ec1bcd33e6510fc0d2d110dd03f4ddebbca6fa7ad7456e,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.341164,51.957153,On or near HOLLAND ROAD,E01030162,Suffolk Coastal 015A,Investigation complete; no suspect identified
6846d6f38a4f1e64789c728406d67f9a68c1ed6d5641ff86dea5ae86753bc1c7,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.594244,52.365261,On or near STOVEN ROAD,E01030295,Waveney 014D,Investigation complete; no suspect identified
38f52440555496a1d82bc0dfa0f43d7f1c6e90f275b8c96f468c3161ee6d2098,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.172533,52.035104,On or near CHILDERS COURT,E01029980,Ipswich 016C,Investigation complete; no suspect identified
2f6e8ceef74836f7e7cd2d9f44919dcc126e3f2d7b4b8cf90a0ada20fdc6d8b9,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.131451,52.046538,On or near STONE LODGE LANE WEST,E01029986,Ipswich 010C,Investigation complete; no suspect identified
276d6a5534b8719e7b0db029ca0d08b9fd54211e4726cf06f461e230dc91fa55,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.237009,52.065818,On or near Pedestrian Subway,E01030184,Suffolk Coastal 009D,Investigation complete; no suspect identified
53b2ef89735647ca1a00218e44a4571db0ff6a79d1fd87614a6d08bafb6938cf,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.010985,51.972164,On or near Parking Area,E01029882,Babergh 010C,Investigation complete; no suspect identified
7bdf4c10511e1ae9aa8f38499b7fd48a4e1147a654770ed37f2c96c69a6e62ea,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.536420,52.096530,On or near RECTORY ROAD,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
451cb05a890a2df71ca90c7719034cc8e314c3842870e058fc6aa0e31eecbf51,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.441156,52.086214,On or near WORTHAM PLACE,E01030108,St Edmundsbury 014D,Investigation complete; no suspect identified
