Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
93f5dc32918e97cf0fa412df5a7696ff91c51dc7f08fa8e1d19ec64c4e3da8b8,2013-12,Surrey Police,Surrey Police,-0.064751,51.255657,On or near BOURNE MEWS,E01030824,Tandridge 009A,Investigation complete; no suspect identified
335b37db29796ccdf24f4dd02322642bf0bfd3a91bd3324eefb2c0682f8a31f5,2013-12,Surrey Police,Surrey Police,-0.076980,51.281632,On or near CHURCH WALK,E01030829,Tandridge 004B,Investigation complete; no suspect identified
f52f52f9ad8d2b3b4aed35ab7526b3d222c69a3d2f198d7b33e288220f4853a5,2013-12,Surrey Police,Surrey Police,-0.050446,51.220788,On or near WOODLANDS DRIVE,E01030826,Tandridge 009C,Investigation complete; no suspect identified
3baefbe5c429b0638e2a2141342bd477d7c4961acd93f4e95ad5aa4ec38e038f,2013-12,Surrey Police,Surrey Police,0.008598,51.239547,On or near HOLLAND CRESCENT,E01030840,Tandridge 007A,Investigation complete; no suspect identified
39114c39102054967a9b95b2241d32b80ba6073780f3cc582f81e1581246d8bb,2013-12,Surrey Police,Surrey Police,-0.170608,51.318645,On or near CHIPSTEAD WAY,E01030566,Reigate and Banstead 004B,Investigation complete; no suspect identified
22d14c505a9aa877bf2de695365f992d85a47f01bf7df1069f8fc058ee37a858,2013-12,Surrey Police,Surrey Police,-0.170435,51.174245,On or near BRIGHTON ROAD,E01030588,Reigate and Banstead 016E,Investigation complete; no suspect identified
859f4e31c3a2578d8507b5f1e66b14e35e173fdc579563ab70cb75b535c0c178,2013-12,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
b6f727299b8be43d1ddebc3182910d08681fa20f6d3f1a577261e1178648a4d9,2013-12,Surrey Police,Surrey Police,-0.630968,51.249836,On or near POUND COURT,E01030503,Guildford 005E,Investigation complete; no suspect identified
f47886ed3aed642d2c6f64c989bc9eacfc93927860375dc21cd521bedfe6ef87,2013-12,Surrey Police,Surrey Police,-0.512110,51.281361,On or near Park/Open Space,E01030475,Guildford 001D,Investigation complete; no suspect identified
15fa05e43e2dbcb99643344ad5219bb07ba4abd34d226ca31bcce3c236cc4163,2013-12,Surrey Police,Surrey Police,-0.515715,51.390520,On or near ST ANNS MEWS,E01030656,Runnymede 004A,Investigation complete; no suspect identified
bf70b57c85dfee9cdd79023512d1436e4be83942cce3e36e301543a76fbdca1d,2013-12,Surrey Police,Surrey Police,-0.432805,51.278744,On or near COBHAM WAY,E01030443,Guildford 003C,Investigation complete; no suspect identified
1d56ffca9e756c225a4f42a7c76e674a104b0ce97032f7c4e6f809569400fef1,2013-12,Surrey Police,Surrey Police,-0.428962,51.453829,On or near Parking Area,E01002556,Hounslow 022B,Investigation complete; no suspect identified
9ff24b7cb44627ba6ae711ce6be65d5371ec8aa774b8098450979979a1c954d8,2013-12,Surrey Police,Surrey Police,-0.668845,51.376066,On or near CHEWTER LANE,E01030810,Surrey Heath 001E,Investigation complete; no suspect identified
adb77e8823835c68cdacb399c29fb814c55ea1d0bcaab8f622a0a7ba6b16d317,2013-12,Surrey Police,Surrey Police,-0.418748,51.385341,On or near HIGH STREET,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
f6cfeae78d7ceb77dddbf09fd433ddd1b2a39387bd9647b2e7d45209d592bb27,2013-12,Surrey Police,Surrey Police,-0.408337,51.378042,On or near REMBRANDT WAY,E01030367,Elmbridge 010D,Investigation complete; no suspect identified
a3e759624f6b1409cc4f5ff1964be491dfc49505ec1a5b2bbe6c48ad496c2d72,2013-12,Surrey Police,Surrey Police,-0.547871,51.314543,On or near HEATHFIELD CLOSE,E01030990,Woking 006C,Investigation complete; no suspect identified
24e8f55d9e067345fd24506aaf7d0658bfd09d58a4f02749bac32c5bcf1adaf4,2013-12,Surrey Police,Surrey Police,-0.727029,51.086619,On or near KING'S ROAD,E01030928,Waverley 017C,Investigation complete; no suspect identified
2a3864aecbcad76b1f783ba415abcc0efe7b0486c607340dd0ddcd38f1136ee0,2013-12,Surrey Police,Surrey Police,-0.041065,51.318232,On or near HARROW GARDENS,E01030852,Tandridge 012A,Investigation complete; no suspect identified
f7f6d992c3e11efdf4e0af56e5c9e3c3e595a50f6daa4874af8027ac6f3c28b5,2013-12,Surrey Police,Surrey Police,-0.115384,51.177103,On or near CHAPEL ROAD,E01030816,Tandridge 011A,Investigation complete; no suspect identified
4f8cc3b712512a2967b023f851cc32a40360b66d24af871deb1e6ef3098838a9,2013-12,Surrey Police,Surrey Police,-0.042649,51.166906,On or near NEWCHAPEL ROAD,E01030816,Tandridge 011A,Investigation complete; no suspect identified
b230ccbd2cb726f2d6bdf3e399b56b57af99880321932bc08c28b10f0557d455,2013-12,Surrey Police,Surrey Police,-0.093160,51.291214,On or near ELM GROVE,E01030846,Tandridge 003C,Investigation complete; no suspect identified
9ae728ba08f59127c9524e0e7377db4352050a7eb158b7f004b50426f692ecf1,2013-12,Surrey Police,Surrey Police,-0.081289,51.276658,On or near THE RIDDINGS,E01030828,Tandridge 004A,Investigation complete; no suspect identified
59d56ae1cedda6e530881294ef9012c66749f1b07bb5840f71ffc916b773fb2d,2013-12,Surrey Police,Surrey Police,-0.090894,51.285673,On or near PARK ROAD,E01030848,Tandridge 005C,Investigation complete; no suspect identified
38476e35735708dc06b18057cb59eb7cecc6ed10781bb5d026505211ca5fdb6a,2013-12,Surrey Police,Surrey Police,-0.079774,51.273791,On or near ALEXANDERS WALK,E01030829,Tandridge 004B,Investigation complete; no suspect identified
89df4553f51d6b1569b436410a20e5368686a6614c7818496d40299bd8da1435,2013-12,Surrey Police,Surrey Police,-0.636118,51.335800,On or near KINGS ROAD,E01030807,Surrey Heath 006D,Investigation complete; no suspect identified
f63cea0209f1022f8ee2efea4057dcd6dfb4ec0d0de360cc277e4f7ed9feae83,2013-12,Surrey Police,Surrey Police,-0.456659,51.380648,On or near Parking Area,E01030373,Elmbridge 012C,Investigation complete; no suspect identified
032d2ba0823cc80510b80f3498f33511a9115c0a2ba05306919ba550f74939bc,2013-12,Surrey Police,Surrey Police,-0.167315,51.167073,On or near CHEYNE WALK,E01030579,Reigate and Banstead 018E,Investigation complete; no suspect identified
29c23ae4b8a067d5831370c01b57f3fee07021ca9f3548ce7bbdb433825edf76,2013-12,Surrey Police,Surrey Police,-0.140592,51.292948,On or near BOWEN WAY,E01030569,Reigate and Banstead 004E,Investigation complete; no suspect identified
a6a092b07ca1595c93f8e7ff513661981784de4aee2bb06d2fff4a903358a486,2013-12,Surrey Police,Surrey Police,-0.023479,51.184048,On or near COBHAM CLOSE,E01030834,Tandridge 010D,Investigation complete; no suspect identified
e8650456d611e19b9c1f7bb848a458dc1e4d6c10cfdf22e550dd9d0064161c66,2013-12,Surrey Police,Surrey Police,-0.329960,51.224112,On or near ORCHARD WAY,E01030536,Mole Valley 010B,Investigation complete; no suspect identified
7c80ae421674a7ce9aa3afc04b20489d3fdb6d87986147674d8bac6cd1c37f38,2013-12,Surrey Police,Surrey Police,-0.592554,51.254956,On or near QUEEN'S DRIVE,E01030485,Guildford 006A,Investigation complete; no suspect identified
a85cb3b3dee1e566222e42ccb78648ff5bbc618470f971810407560be418934c,2013-12,Surrey Police,Surrey Police,-0.608122,51.247642,On or near BROOMFIELD,E01030496,Guildford 012C,Investigation complete; no suspect identified
01e29c9a298f5d2c80a0a3c89c0653cdbdf49cee3d968d47e0f41db3240344de,2013-12,Surrey Police,Surrey Police,-0.418748,51.385341,On or near HIGH STREET,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
