Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
537b4c6af77652e55e98be5add242b5bbf17e788fcdb746375aacc623cf6f7bf,2013-12,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
4d09a1d513b261db44fbf9cc9e65cd3c23c8a03be55447a2c5360f50739ed05c,2013-12,Thames Valley Police,Thames Valley Police,-0.745306,52.009464,On or near KERRIA PLACE,E01016740,Milton Keynes 027D,Suspect charged
20cf7bc49ffe082a31dafa2dcff140ae189c5dcd922e33816b79ae8a5c74fe60,2013-12,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
2d1be5bba0e7dc05c7bf461b9ce1e015b0d65a2ff8aa30e6524d69749c06b2db,2013-12,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
94c3a7b1ea9064c9c90a47f57a821b6d6dc6fc0042631fd3d12d6a675f299c81,2013-12,Thames Valley Police,Thames Valley Police,-0.777019,51.418213,On or near CHALLIS PLACE,E01016185,Bracknell Forest 002B,Investigation complete; no suspect identified
f1b45eeaf2bdfc7024f0eb2144ef3220783d9f711759c0780d914a314d227b31,2013-12,Thames Valley Police,Thames Valley Police,-0.989977,51.443485,On or near WENSLEY ROAD,E01016389,Reading 013B,Investigation complete; no suspect identified
c89c4237728974972745054be884cf65a9b3f68da08a9b647706f53aee208860,2013-12,Thames Valley Police,Thames Valley Police,-0.547303,51.590946,On or near PARKSIDE,E01017819,South Bucks 002B,Investigation complete; no suspect identified
67d78c4ad57d7e612f1b9b3b1723685ce6d189de1da3c759eddf985f4eab1e34,2013-12,Thames Valley Police,Thames Valley Police,-1.041355,51.473256,On or near REDWOOD WAY,E01016349,West Berkshire 005C,Investigation complete; no suspect identified
5e066e7e3036d195bf4473774a7f0dd46f545217452e99705312ddfab40e1b72,2013-12,Thames Valley Police,Thames Valley Police,-0.959393,51.468503,On or near SOUTH VIEW AVENUE,E01016366,Reading 004D,Investigation complete; no suspect identified
d04cc13a386eab1addf58e08dc66110cd433672efe1f15144be9fc80939de645,2013-12,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
