Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fb53a5c954da420561e5e89259769bd97cb447c7f0447b3a953e02fa27a1dbd6,2014-01,Dorset Police,Dorset Police,-1.973260,50.745018,On or near ABINGDON ROAD,E01015416,Poole 004E,Investigation complete; no suspect identified
3f7f4e0b6f58ef0d1a1b5b68012af0485672104cf7be493c262a8f03651708f6,2014-01,Dorset Police,Dorset Police,-1.913656,50.724845,On or near Supermarket,E01015402,Poole 018A,Investigation complete; no suspect identified
74f9eac41cd3421246ec18040133a39abd3f2927c61bfc1110d7faa9ead2d51f,2014-01,Dorset Police,Dorset Police,-1.815995,50.722979,On or near SOUTHERN ROAD,E01015366,Bournemouth 018E,Investigation complete; no suspect identified
e4eee031f96e7d901d66f2df1c82577e1203a8c91d90d2fb7049cec0f5d1931d,2014-01,Dorset Police,Dorset Police,-2.012429,50.724930,On or near HEWITT ROAD,E01015424,Poole 016B,Investigation complete; no suspect identified
dfb9ec5dce81c5feb4ed07de2233f06ec31b4c5ba2fa02280794ff4762f0ce96,2014-01,Dorset Police,Dorset Police,-1.906675,50.723167,On or near Pedestrian Subway,E01015403,Poole 018B,Investigation complete; no suspect identified
056da66586c5c2cdecbb20c501325023fae50457cd8f46450127a7d0d8a862bc,2014-01,Dorset Police,Dorset Police,-1.977991,50.780548,On or near GRAVEL HILL,E01015433,Poole 001C,Investigation complete; no suspect identified
c219ee23331c4523f5095db60840e6640932c1186aaeff69ccf6e5d35f2ffe6a,2014-01,Dorset Police,Dorset Police,-1.906015,50.719875,On or near WESTERN ROAD,E01015369,Bournemouth 024C,Investigation complete; no suspect identified
5249bfe654cfe12df1c39e3239529aaf3b1a9f2310a5a540ceb0a80fb4c5c3b8,2014-01,Dorset Police,Dorset Police,-1.873620,50.719413,On or near UPPER HINTON ROAD,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
d5007d6f71529a5662ac1fd16fc5a2f6763f2ef4eff0aa37b58f50fb7879350f,2014-01,Dorset Police,Dorset Police,-1.905515,50.722042,On or near WESTGATE PARK,E01015371,Bournemouth 023A,Investigation complete; no suspect identified
be114e9d9385d6c77d177d37665b6a76a8db0937c103c017a15c629f4d14f530,2014-01,Dorset Police,Dorset Police,-1.906015,50.719875,On or near WESTERN ROAD,E01015369,Bournemouth 024C,Investigation complete; no suspect identified
b29b3ea1a365d3254f9b2e80943b28e48a9f5d9be20bee918b570cb43a54f215,2014-01,Dorset Police,Dorset Police,-1.887927,50.719590,On or near Nightclub,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
cf57bc38b7dad418a197ee2aaa5d796ec6e7841989525f0b3fdc62073da2c4b9,2014-01,Dorset Police,Dorset Police,-1.915312,50.749378,On or near HIGHMOOR ROAD,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
3cdb512dc76971cfa3a4d47fc9d8a450a207875c04d9db48da1828fcefad3f51,2014-01,Dorset Police,Dorset Police,-1.857785,50.751643,On or near UPLANDS ROAD,E01015343,Bournemouth 004A,Investigation complete; no suspect identified
deb4f6fab45016579360b2d03e1efc858fb54d6a36ac5a679c3108d2de6003e3,2014-01,Dorset Police,Dorset Police,-1.836047,50.729330,On or near PORTMAN ROAD,E01015277,Bournemouth 016E,Investigation complete; no suspect identified
7e91fa67e7efc72a7a4516f6f60bad85141cc06b0ce8ff8e6e3d47bc7a49cb63,2014-01,Dorset Police,Dorset Police,-1.982773,50.736090,On or near CHORLEY CLOSE,E01015448,Poole 012C,Investigation complete; no suspect identified
