Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3f4a70997ba6a6699bd946cbe50709838d6ecc05a46ee37c4b7f5f382e691692,2014-01,Lancashire Constabulary,Lancashire Constabulary,-2.252661,53.792371,On or near CLIFTON SQUARE,E01024909,Burnley 010F,Suspect charged
4e55d322b3b0e0fd61d5359a24b8d226c0ed73fafb3e648c0b0f12a976c78d6f,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
f0a642b4bc932195aecab2dae76268ee2197ae8163d0a7e0a270e668c432de43,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
17455f56c3cc85aa839fabe90fde86685a8da73abba950db34ef379a7310b4ee,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
1237dbd3e596304e975bfcaa25d346a6393d46cd1e24d4819c037054212aaa12,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
6c46bf13b0ab9fe874b653d1b5af44a9696cc93e7e2de2d61b45d65c70943eb7,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
b24154bb7379fca56cdff97fee39b82349b4f95b95bd4a04f52ead6bf9ebd554,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8930b611d201a54ee27bfb3564a14aa039e88e5776488b1390b38e82e19f048d,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
2d4965dbcddadb18c035cfba9a2eb0a05f276f33853f322e4297c755ff577e0d,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
47bd4b3a1230f9d6fa6c69af268bfe310e4c8720e146f31d102c5cd59f72ac8e,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given a caution
3e3085f044f9f417f7ea7e66968fda6a8471ec36ada79476b0200a377458596b,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given a caution
fd639580fe3d5cee86a2ca0776737a7877e9c3fe5b0de8b142fc8719fdbbd911,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
a0bc62a874ecc5390cd4c46d57ead72076711a760838955cda8cc6494912adc5,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
67e879d00e653b00da06af4b89a4b5d6a97193f2e9e3abef2bf198c775ab6df3,2014-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
