Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bf8ae02b103cee7e33093ca8b06df42df99f5155abc0e3fb8490bbba68222bc6,2014-01,Surrey Police,Surrey Police,-0.577680,51.237268,On or near Nightclub,E01030452,Guildford 015A,Investigation complete; no suspect identified
21585f879c625872e89e29e39c0ff2e37ee31a36cdd61a5c2b3ac97828170ef9,2014-01,Surrey Police,Surrey Police,-0.586273,51.239656,On or near SCHOLARS WALK,E01030468,Guildford 015C,Investigation complete; no suspect identified
c13c986233fe0c46b190783bd1bb9dc7fbb8feed69b16145ba95b6f9812feeaa,2014-01,Surrey Police,Surrey Police,-0.415748,51.423491,On or near WOODBERRY CLOSE,E01030749,Spelthorne 008B,Investigation complete; no suspect identified
8a18955404198567380fba856dfdd2510e06903cac5057c7f0d66b24d8ed2120,2014-01,Surrey Police,Surrey Police,-0.605501,51.191210,On or near HALLAM ROAD,E01030922,Waverley 007E,Investigation complete; no suspect identified
db357997823606dc6ffdd8ea41e96a9359dfdc17f12d105ebebd965da779aebe,2014-01,Surrey Police,Surrey Police,-0.609920,51.185598,On or near WHARF STREET,E01030916,Waverley 007A,Investigation complete; no suspect identified
28318411009a3af743814ffd6ee998b1a03d17c73ca557520c458c05e9d82f33,2014-01,Surrey Police,Surrey Police,-0.609476,51.186564,On or near BRIDGE STREET,E01030916,Waverley 007A,Investigation complete; no suspect identified
03792ee9366c2033b59038dcc0fc0b248be6ac0473958b59ac0b4174510a4d1e,2014-01,Surrey Police,Surrey Police,-0.662972,51.199633,On or near Parking Area,E01030472,Guildford 017B,Investigation complete; no suspect identified
6e2d65136def193d54d5bd071a7c4b9b7ed3c1e2d60fd97475585c6b13708a64,2014-01,Surrey Police,Surrey Police,-0.672127,51.255058,On or near MILTON CLOSE,E01030465,Guildford 002A,Investigation complete; no suspect identified
dae5e8bd6a42d67fbd8afb7c834efd613f8e4a1960ecf3630e867d905ec9d0fc,2014-01,Surrey Police,Surrey Police,-0.275930,51.367221,On or near HOGSMILL WAY,E01030400,Epsom and Ewell 002C,Investigation complete; no suspect identified
9ac464406f9e9f29f4b4bb3664cd90aebcdd64ac50beb05da9a83178a6eb072b,2014-01,Surrey Police,Surrey Police,-0.578805,51.336423,On or near CHOBHAM ROAD,E01030764,Surrey Heath 001B,Investigation complete; no suspect identified
b41f8039e389ea60b90a17b6f7c67f725cfe62572b8a5cb102552af48c726c94,2014-01,Surrey Police,Surrey Police,-0.787349,51.215016,On or near BRIDGEFIELD,E01030888,Waverley 004C,Investigation complete; no suspect identified
af8275f4b595ad5848fc46185bac23a119fa3ed49b8fc59c680d654404c46464,2014-01,Surrey Police,Surrey Police,-0.468500,51.450359,On or near OSBORNE AVENUE,E01030710,Spelthorne 002B,Investigation complete; no suspect identified
da1715f008def58fe679f2e0e169fcaf7833b11dac7a217c5d0259172493a6dc,2014-01,Surrey Police,Surrey Police,-0.422046,51.423144,On or near GREEN LEAS,E01030750,Spelthorne 008C,Investigation complete; no suspect identified
