Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
543bc892c0d4109f421141a03e5b6ef7020f48a75ef7755d92f61bdcbe09900f,2014-01,Sussex Police,Sussex Police,,,No location,,,Offender given a caution
40a60941121282ad2d84b784c344375a04876d887b8a751444de0fe5720e4c19,2014-01,Sussex Police,Sussex Police,,,No location,,,Offender given penalty notice
b7540f78263805652ac4f89fa4f17939e074190c1faad68a37f4e90cac7c4dd5,2014-01,Sussex Police,Sussex Police,,,No location,,,Suspect charged
6100c8bf9cc6288a757122fa9e53ce0389dadc4330acca02fcd42204193cf83c,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
f58c11663964d3f3ba12809a7230108cfee50a8e98e412e57314e6ed63f6d0c5,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
ca6d004c45ab488f75bd5a9353d6458a75342b8521b9e27a04b24cd8d45545c9,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
9a008a52a09f0e4670cde568ecf77ed832fb3089077795bc3a6f4c48ea69db48,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
455e3ee1a7eab620fa83fb87f1a573a46f9dd5511c3583585f6dec518123a9e7,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
526c4f99e7bb4dadfd1c3eacc9bf9fa3c754ba43ff20710b086837f77f9cae46,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
40b99c757a256f85037f0b80834104d8fde8104d89a01685e6c325e76daf072c,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
26d60fe13c105b163812284e1da5307416d745c22f8f5d96a97e6c0c5ed4897f,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
f46735d1903c923196adb91ede117478269acb4330aeca2b194f3247031d59ce,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
dd0c9a8a8d210a9d3bbfe5ff8094bc4e0beec1c23ed05aa75c5d55de607c9503,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
bbf929b019c332b692c1c8031bb74a30cbb7daba04c70b241bb8c823db792c34,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
7e8489acde2e0d5a6f0af3b4bc8e4c0f413ea4f5ebdc75f3385b9ab35dacd9e1,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
fd3d2562bd926625bd0ae199b0c4fd993cf03c8846a77e83f0a55c77c683dc2c,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b391db0ba19ddc0d38144cdad45ead75eaeac3f2e775813faab04d9809093e04,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
cf9bc4d5c9eb4669172b9b573be651d4c3c6f08f69d77fe2ddb206e02a850f87,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
9036a3b1f0e04a01c91c569bca8e7c13a44967f0b5e0ea9e9e0fa7e804955ad7,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
97b3eae788da10724b6f12138fc938ad8626ab9526df2f8cbb454fcabe2ab774,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
d3442ee8b529a4c7b9cda3099d3900b180a7f6e54d024c8f41f1c404c2ad088f,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
0516f4c14a5df3dcced6788181820aa0c3538b938719172d18b4d352e83da7a9,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b0f0ac669285f99daa8848fe9b9dc57f100f42615c0caed4eb85cf58063c30e6,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b7e2c7cf16ae4728b7d850262b05f47062c18ab2f292aa3770ea8365c8a618e7,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b5096c46195426edbed9a4d6a3c9583fe94d3c5c2392c3aa5cebef680be2103a,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
