Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6ff673b3441708a4f9992a448bd0bb43ee0db15ff0cc593f702bc1360e91c473,2014-01,West Yorkshire Police,West Yorkshire Police,-1.904621,53.865088,On or near GREAT NORTHERN ROAD,E01010710,Bradford 008G,Suspect charged
2292df4e4fe2275c37ec48babcb88480aa10e2c2c6533b5090ac01df4d561216,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
43803a9ae13bd14856662741f6a1d002ede4f17da2ecf6d01969406527b0e4e8,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
b6bb8ec09824647453c2decfcd45620be98576efd9a418d189583d123912152f,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
7ba557b4f4e6c69eb34afe74dcb160f26640d0e8e12d84f43ea0efefdf4a9de4,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given penalty notice
b4543f821c3b70b9e03486ccf34c62f4e2ee9b38efb47203ab33cbec4f238872,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
895074a2d7a225b91b9ae116ba714b1274159901c5a3f161ae0825dceace7fae,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
86ea18ed96189c8279d2c034ec964b12242ba564efb1b5f911f6487d0d5a9afc,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
42bd634eca37e2a1293b34221d30ef00d16bddc9b4f4615e0841a3e7eced80ec,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c73fd70e3f097115b66efc5316e65b535d5938f77eaa770ea69546840c074f55,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e7b275f2cc41908ff31f0d62629f00842fbd6270d281fdd93691e2d8b9780953,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
33ad7f4116ac153dc5d4b597282e2a3569f0405a90b55f0be8fdd2eb2d76c144,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
83d71b6b2570ee9bd92d8fca6e8f96757cd1d0e8a7bfa9afab3ba7941f9969a2,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0647dcd9d46359b430672dd557c63ffc51b04d54d91ee50d843cdb9ae6c2f429,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
6a71acbfb268b23bacc6bacd470d859652f16c76cf7c2eec6a962bfd91b62e84,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ddfce2e1eede0939ecf2cf2a09c69daff8ad67fe31a04e94414e9c201a3ab9cb,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
