Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2fd71b70361c50c17fb49ed07ecd95e630a504dc481665a7ffc99007456973dc,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.627914,53.390468,On or near CHIPPINGDALL CLOSE,E01012497,Warrington 016C,Investigation complete; no suspect identified
4765e2caffa579348e71128ab27723fbdf7fda9c919de0fe1237059225ff1362,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.824067,53.238485,On or near INCE LANE,E01018359,Cheshire West and Chester 022F,Investigation complete; no suspect identified
8a6108db8c13bb220bc9d1236d192cb55ea1af03a2aaef5d545402dbda473432,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.764683,53.375926,On or near MISTY CLOSE,E01012421,Halton 002D,Investigation complete; no suspect identified
50ad85806fce96ea4c929c24792c506be7c354e94b1be5ec79ac40997d37f449,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.898976,53.196576,On or near PLUM TERRACE,E01018329,Cheshire West and Chester 034C,Investigation complete; no suspect identified
cd6ac75e885ce99b820acf97db4d5d28c7850a60b4ff47549ded939d84854572,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.124227,53.247895,On or near SUNNY BANK CLOSE,E01018640,Cheshire East 021D,Investigation complete; no suspect identified
9100d22e0c2a8f3ce878c9d3f3383c82e1379ea568c9953f5f1bb0bab7f42f8a,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.589846,53.382105,On or near FLETCHER STREET,E01012510,Warrington 017D,Investigation complete; no suspect identified
90370e852e5ec363350d8206134589d97f8038c8602dd9b70019fc9ca3edf06d,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.876175,53.200072,On or near STONE PLACE,E01018343,Cheshire West and Chester 033C,Investigation complete; no suspect identified
bccd2f810c1b7b582053235c0811625f58e14814e9476224e2b3818203cba040,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.804659,53.338782,On or near CARLOW CLOSE,E01012401,Halton 008C,Investigation complete; no suspect identified
c8d2d34065f2e2ce4628ffa16ed75c0c130e23234d72e35b99f7347f1d755d67,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.703431,53.322199,On or near PARKERS COURT,E01012408,Halton 013F,Investigation complete; no suspect identified
28fe57b4673f79c5bd528d82ee8e901e60301eb6bd18f50885e21dd319b486cb,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.438498,53.085657,On or near BARKER STREET,E01018445,Cheshire East 045A,Investigation complete; no suspect identified
4e0d993a5c652f552deb9c28e9538b88fad071f03c8ce16e91161b69259dc1eb,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.557841,53.389153,On or near MERSEY WALK,E01012506,Warrington 020C,Investigation complete; no suspect identified
