Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
96ca631d5014ddfe9c6b98d20e1cd86b133e4eae75b036055ec7db1cae718142,2014-02,Greater Manchester Police,Greater Manchester Police,-2.214996,53.375540,On or near Shopping Area,E01005777,Stockport 034A,Suspect charged
94f5acb333c1537c869cabc30cc02dfa5fe32b84beb499d8a0c9cf250568f179,2014-02,Greater Manchester Police,Greater Manchester Police,-2.107097,53.480834,On or near CECIL STREET,E01005952,Tameside 013D,Investigation complete; no suspect identified
46de67cc1e950d297884bd0a7315047737dc848fef108cee23abe2f0b62adf22,2014-02,Greater Manchester Police,Greater Manchester Police,-2.409732,53.555987,On or near BARWELL SQUARE,E01004856,Bolton 027C,Investigation complete; no suspect identified
c4c4e16ba8de7ed6179aed06c5a8b08e2b90af83325ae2901d1b5abd831f1246,2014-02,Greater Manchester Police,Greater Manchester Police,-2.438119,53.604927,On or near OBAN GROVE,E01004774,Bolton 005D,Investigation complete; no suspect identified
413d670264e7ac0b26e201e3f4f1f3de6c841b43adf9c3691831eb074f7fbd01,2014-02,Greater Manchester Police,Greater Manchester Police,-2.602124,53.480775,On or near LILAC ROAD,E01006228,Wigan 038B,Investigation complete; no suspect identified
51e39d14d8eca7957bc04e5810efb71ed64036786995763b91b1756117ea4340,2014-02,Greater Manchester Police,Greater Manchester Police,-2.320032,53.489343,On or near A5185,E01005630,Salford 021B,Investigation complete; no suspect identified
80ee1fd518c9c45f0f80393dfc96dc5e340db9ab6093156663def34095817b21,2014-02,Greater Manchester Police,Greater Manchester Police,-2.292054,53.595926,On or near JOHN STREET,E01005024,Bury 008E,Suspect charged
b71485a3212a5b613341d49d351c45e79f33a1e267ede5346c1accce9115c177,2014-02,Greater Manchester Police,Greater Manchester Police,-2.159431,53.617605,On or near Parking Area,E01005482,Rochdale 010C,Suspect charged
6743e94bc3d657f3aa11d1e62fbabcd2219539a850b0e312f62637d368eb9853,2014-02,Greater Manchester Police,Greater Manchester Police,-2.236856,53.470912,On or near Conference/Exhibition Centre,E01005066,Manchester 018E,Investigation complete; no suspect identified
1b6f54da1f55f89d6d927a02545c8f4d9adbb6dc8ef46d3b9183f7dbbedfdb84,2014-02,Greater Manchester Police,Greater Manchester Police,-2.265079,53.443034,On or near WILBRAHAM ROAD,E01005301,Manchester 033E,Investigation complete; no suspect identified
c35a95f8aac3820296df4279c2ac59d09d320ffa3ee8f38cd6e8e948b6dbb067,2014-02,Greater Manchester Police,Greater Manchester Police,-2.259448,53.455351,On or near RUFFORD ROAD,E01005302,Manchester 028C,Investigation complete; no suspect identified
c573fd4b6fe42ac9108b84905fec405005d4e541116d571df5b23546c9c78f58,2014-02,Greater Manchester Police,Greater Manchester Police,-2.256902,53.422657,On or near AMBROSE DRIVE,E01005079,Manchester 042C,Investigation complete; no suspect identified
48e304eb221caa670e9fb799d1ed22de6d1a2df165a7768d9d1a36fa6d9c6629,2014-02,Greater Manchester Police,Greater Manchester Police,-2.288433,53.392527,On or near BANBURY ROAD,E01005070,Manchester 051B,Investigation complete; no suspect identified
83605c8a4fb466f7be7f173a1119349b213078d32a8a5d8eb3ccb399696ff903,2014-02,Greater Manchester Police,Greater Manchester Police,-2.204999,53.468922,On or near TROWTREE AVENUE,E01005061,Manchester 018A,Investigation complete; no suspect identified
63f7d075fb38fd630edad5f5e797dfe0e535acfe3ff7c709c46163548a4c7b1d,2014-02,Greater Manchester Police,Greater Manchester Police,-2.230500,53.465613,On or near DOVER STREET,E01005062,Manchester 018B,Investigation complete; no suspect identified
3c9ca44b2d5700f5aae3642c603fa0b68a306c0196be1a13d865cbd2162337e6,2014-02,Greater Manchester Police,Greater Manchester Police,-2.258413,53.456055,On or near WITHINGTON ROAD,E01005243,Manchester 024B,Investigation complete; no suspect identified
0b0a2f9defbb3a19429dea882b645239591c9304a42f1a466ded2ec7061ea61f,2014-02,Greater Manchester Police,Greater Manchester Police,-2.209313,53.454830,On or near WILLESDEN AVENUE,E01005236,Manchester 022D,Investigation complete; no suspect identified
8acf9c6808f780c268a93208e03601d9c957b4a9539baa2a594a24d3f34ee8d7,2014-02,Greater Manchester Police,Greater Manchester Police,-2.215655,53.413534,On or near KINBURN ROAD,E01005168,Manchester 045B,Investigation complete; no suspect identified
b1cfd3fe463667bfc8a5f9755f6f9a4c054e8e16786528297fe2f74af20b6027,2014-02,Greater Manchester Police,Greater Manchester Police,-2.289941,53.379840,On or near CROWLAND ROAD,E01005068,Manchester 051A,Investigation complete; no suspect identified
d1247fbd21fd408a2a7427f5274802b1ab75034a39372b493bf3039b23fe0ab3,2014-02,Greater Manchester Police,Greater Manchester Police,-2.237738,53.469769,On or near Further/Higher Educational Building,E01005212,Manchester 057A,Investigation complete; no suspect identified
f8b037e01d03a1defadc8df8e324b2c64dc35cac858818816b05086e7124181f,2014-02,Greater Manchester Police,Greater Manchester Police,-2.219471,53.441796,On or near BOLAND DRIVE,E01005185,Manchester 032B,Investigation complete; no suspect identified
58a390aa26a75e12eb6b1bd3d8abb94ee8ccdc46e1bc861a81b0e1845c208cac,2014-02,Greater Manchester Police,Greater Manchester Police,-2.256902,53.422657,On or near AMBROSE DRIVE,E01005079,Manchester 042C,Investigation complete; no suspect identified
bc5a82d664be488b93adc2df7cde05950236486e343d27aea1fbd6c707e5d950,2014-02,Greater Manchester Police,Greater Manchester Police,-2.263189,53.388145,On or near ROUGHEY GARDENS,E01005089,Manchester 049C,Investigation complete; no suspect identified
f89b4efc53dbc8887ada4f00ffb9d6201a311b8149b95ac3cb2272ce435c5fb9,2014-02,Greater Manchester Police,Greater Manchester Police,-2.232472,53.432459,On or near BRIGADIER CLOSE,E01005276,Manchester 038C,Investigation complete; no suspect identified
62c43179b14039070e09a5d53278cbf59403c516540f7ef2d3acf464937c4f5e,2014-02,Greater Manchester Police,Greater Manchester Police,-2.232856,53.414625,On or near Parking Area,E01005177,Manchester 043F,Investigation complete; no suspect identified
425012161042999531ee17ae313200bb6e703da366c6bc1ae91402fb73002ce3,2014-02,Greater Manchester Police,Greater Manchester Police,-2.186970,53.442256,On or near LANGDALE AVENUE,E01005221,Manchester 031C,Investigation complete; no suspect identified
c255ac83a6f9a462d3724dcb7582056021b3416db589ae81fd3444a008b78465,2014-02,Greater Manchester Police,Greater Manchester Police,-2.225641,53.438531,On or near WELLINGTON ROAD,E01005271,Manchester 032C,Investigation complete; no suspect identified
cad6dd25589df7229adbf6e36bb7d3f3c271a63240c03b01edb8a0060ec539c5,2014-02,Greater Manchester Police,Greater Manchester Police,-2.257511,53.421496,On or near ROSEGARTH AVENUE,E01005079,Manchester 042C,Investigation complete; no suspect identified
