Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
63ba388eb4ac7bf7298680a502bb3aa72d3bfb6a5e270320f9af7a5de684cc98,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032214,51.685082,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
32c9abcb73c0f3b055040e91a717090f003067bba0e5664f6df392c861d45f95,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038561,51.709261,On or near KILSMORE LANE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
fdfa30ca5378559ec2741c9d0411eeee2229783664eeddb5edd93f015e74b4c5,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041621,51.683657,On or near TERESA GARDENS,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
94e761642a371e9d4fa170ae4f62dd8cb1204d91e1145c4c9b8a7a2e3a4df736,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018999,51.703456,On or near Park/Open Space,E01021818,Epping Forest 009C,Investigation complete; no suspect identified
428ef4e89e4578db50be16f840fef0dba18bbfb98b40b0b466b1c08848fb1c80,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028977,51.712644,On or near OLDFIELD CLOSE,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
aedd28b8a834e2eb61fe26625a0815c9f58770776d2a3d9f0b199511a32079cc,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041001,51.714760,On or near BROOKFIELD LANE WEST,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
7be421259ecd015568315301ffa40ac2385d21ec7af4710790c82d5118c7512f,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038481,51.702749,On or near COLLEGE ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
457cc3febf86998f24bf1f71ffebe7a9c5ced7cef22fb248969066833f2d0fe0,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028977,51.712644,On or near OLDFIELD CLOSE,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
5c315e0017d8f555fdc75d372ad2bcff70547895d5f9647ccc935b8ee838e23f,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035110,51.687694,On or near STONELEIGH CLOSE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
9f9cc7957f198d127f63c24774e020b3dc683981233d7d22d2d78f83b918eba9,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035558,51.700398,On or near GLEN LUCE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
11dd493d83b5cd19eb27b72645a03832b2e6c61de906aa2698eb2497519258b9,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027356,51.713309,On or near MONTGOMERY DRIVE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
d6978b0e759eccf3f4ff75eb02ca9c400ac5c4d8cf07f18ef9979280ccba3ba8,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036739,51.700877,On or near GAYWOOD AVENUE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
