Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
32821fc6604da19273f1ae008d22af2679e73e5c9b891db74e04c070bb7aa728,2014-02,Merseyside Police,Merseyside Police,-2.692673,53.466091,On or near BURROWS STREET,E01006813,St. Helens 008D,Suspect charged
7e36b1f3322a1c6275e94510d57b5d280a70c68ccdcec607212d761ce32c7d5b,2014-02,Merseyside Police,Merseyside Police,-2.984475,53.412950,On or near HOLYCROSS CLOSE,E01006648,Liverpool 023D,Suspect charged
8658d759e50b6494c7af1f77347134a7275c3c4346b97ec18e224745fd7ad3d7,2014-02,Merseyside Police,Merseyside Police,-2.931880,53.518937,On or near WENNING AVENUE,E01007100,Sefton 018E,Investigation complete; no suspect identified
93e68a9674f9ba0b63c99deb76c2091a11a9032dcc6d109a77b728f00a4a66a8,2014-02,Merseyside Police,Merseyside Police,-2.968616,53.432712,On or near BODLEY STREET,E01006558,Liverpool 018B,Suspect charged
121c4d447172c93e2934cbc4a3f4b3b332cd82c68c30425e60a3b770d3eebeb6,2014-02,Merseyside Police,Merseyside Police,-2.981930,53.406967,On or near Parking Area,E01033760,Liverpool 060C,Local resolution
87ee971415ded054dd08ea9342c1bd51127dc22bede13c15bea66938af91874a,2014-02,Merseyside Police,Merseyside Police,-3.042015,53.383706,On or near NORMANSTON CLOSE,E01007239,Wirral 022C,Investigation complete; no suspect identified
09ef61f696895e3e432bee2c494b85d51283838a69249340c23c1832a8daaa8e,2014-02,Merseyside Police,Merseyside Police,-2.695585,53.451639,On or near Supermarket,E01006817,St. Helens 017B,Investigation complete; no suspect identified
d4c66846aa136f5fd11b7e3410be48ca2074a438a69539087e9973742fa9b144,2014-02,Merseyside Police,Merseyside Police,-3.113584,53.406899,On or near STATION APPROACH,E01007207,Wirral 009C,Investigation complete; no suspect identified
ddfdea51e512708d1b3d7f3b0819e5f50f5e3fb1f0ce9a62522cf886dcfced27,2014-02,Merseyside Police,Merseyside Police,-2.946190,53.379929,On or near LUCERNE STREET,E01006523,Liverpool 052B,Investigation complete; no suspect identified
98a9c9107a46aa529827abcfb583a1036d5411fa6855b9ead2117528ea61dc66,2014-02,Merseyside Police,Merseyside Police,-2.968879,53.396637,On or near BACK HUSKISSON STREET,E01006514,Liverpool 037A,Suspect charged
1e1da2a0b391a4260be2dd4869018e9b3a04ac9f181c91620f867224675cba49,2014-02,Merseyside Police,Merseyside Police,-2.725319,53.471579,On or near GREEN LEACH COURT,E01006853,St. Helens 004E,Investigation complete; no suspect identified
0ccaec5b57e5babfd803001a26709e7316733bc0bf1807303ff72d76b45f8f85,2014-02,Merseyside Police,Merseyside Police,-2.999328,53.639263,On or near SEFTON STREET,E01006994,Sefton 007C,Investigation complete; no suspect identified
