Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0cfaa6e7633813be8c97fe345ec9d92933ca568a5707f084d293899aaed38986,2014-02,Northamptonshire Police,Northamptonshire Police,-0.900289,52.243760,On or near ST GEORGE'S STREET,E01027153,Northampton 021C,Suspect charged
ccf541af4e1018090d083df60b33abe49da4a172e25f4eaa285fa4884e209337,2014-02,Northamptonshire Police,Northamptonshire Police,-0.895438,52.234427,On or near VICTORIA GARDENS,E01027223,Northampton 025A,Suspect charged as part of another case
0a4af63137e41c8df90350672b7f447d098a1976ab5cce5cde1ffc0c97f293c9,2014-02,Northamptonshire Police,Northamptonshire Police,-0.943544,52.243598,On or near MEETING LANE,E01027217,Northampton 019D,Suspect charged as part of another case
a4f3208df18e4584046f72e48a7df0c9530525706d9a0d17900ae662643f261f,2014-02,Northamptonshire Police,Northamptonshire Police,-0.888330,52.254608,On or near MURRAY AVENUE,E01027185,Northampton 015B,Investigation complete; no suspect identified
242e0a11fec381c7bbaf89d9c937e46622c495aacfa2f9748d5e1cd6c0ba9010,2014-02,Northamptonshire Police,Northamptonshire Police,-0.706614,52.483791,On or near HUNT STREET,E01026967,Corby 006F,Investigation complete; no suspect identified
192b6d8f046776ed9628ff00a5bd15bd556bc78a6d77d510a98559dfa68ec374,2014-02,Northamptonshire Police,Northamptonshire Police,-1.178860,52.270049,On or near NEWTON CLOSE,E01026986,Daventry 007A,Investigation complete; no suspect identified
a612ae27d1311e8f084e0d0795abad49c37bd60e699a56f7534f07c68731b087,2014-02,Northamptonshire Police,Northamptonshire Police,-0.646175,52.282577,On or near SCHOOL LANE,E01027336,Wellingborough 010B,Investigation complete; no suspect identified
82fa2292dd55965f129d261173c6dc09ee9ac3c6a8bfb3d5dc511a9d5d5e9a91,2014-02,Northamptonshire Police,Northamptonshire Police,-0.848293,52.267557,On or near WOODSIDE AVENUE,E01027183,Northampton 006D,Investigation complete; no suspect identified
e7f137a6199b1b6f273493c46260dcd45ba53bc30dd0b9264a48eba51b3d5756,2014-02,Northamptonshire Police,Northamptonshire Police,-0.592015,52.288372,On or near GROVE ROAD,E01027059,East Northamptonshire 009B,Investigation complete; no suspect identified
692b48fec44f8eabf7a369a5f30ea6c8dd709671351f95db46594d7d040f0486,2014-02,Northamptonshire Police,Northamptonshire Police,-0.725296,52.400382,On or near TORDOFF PLACE,E01027110,Kettering 007B,Investigation complete; no suspect identified
b82fbcf6bda6035ac3d3dd62db799401885dac3dc36a100aedc5249a32409390,2014-02,Northamptonshire Police,Northamptonshire Police,-0.853389,52.256351,On or near JAMES LEWIS COURT,E01027180,Northampton 010B,Investigation complete; no suspect identified
da04271741184d87af28677e827bbaed5f8f3f9b0357c0cf37c0625e2148e16a,2014-02,Northamptonshire Police,Northamptonshire Police,-0.678918,52.362606,On or near HIGH STREET,E01027101,Kettering 011C,Investigation complete; no suspect identified
cefa29b81e95ffc274710f89703a694f577bb1b4a7f2d8532b27e6a9fbfc207f,2014-02,Northamptonshire Police,Northamptonshire Police,-0.812076,52.263396,On or near TIPTOE CLOSE,E01027175,Northampton 005B,Investigation complete; no suspect identified
8b2d3b7a3126ef19d64f1d318728688cae07dc7c06848baf0e6bc0471b6a3b4d,2014-02,Northamptonshire Police,Northamptonshire Police,-0.843182,52.256188,On or near ASHLEY WAY,E01027181,Northampton 010C,Investigation complete; no suspect identified
6e1b5ddcba0f5b0d882a2d2059516743a2be6f5f05f7f4b489e44ea4f71c6a3b,2014-02,Northamptonshire Police,Northamptonshire Police,-0.893398,52.235235,On or near ST JOHN'S TERRACE,E01027223,Northampton 025A,Investigation complete; no suspect identified
ca4efe241aa92c7cad523787fdad7cd49d597439b172da27b56146a85530e00c,2014-02,Northamptonshire Police,Northamptonshire Police,-0.868453,52.239539,On or near BILLING ROAD,E01027135,Northampton 022D,Investigation complete; no suspect identified
bb5e0a15b91a2fc9818cb425dc89a6e1869f259b9616987b67740d1b2afc12b2,2014-02,Northamptonshire Police,Northamptonshire Police,-0.822014,52.187487,On or near THE JETTY,E01027273,South Northamptonshire 002A,Investigation complete; no suspect identified
81263273ec04c564a9249cc496265787f60b74b30e2250cd2bcc05d5bbbd0d2b,2014-02,Northamptonshire Police,Northamptonshire Police,-0.894928,52.231986,On or near PEN COURT,E01027223,Northampton 025A,Investigation complete; no suspect identified
cef9f22e28eeb43335bde80a9daa7ff97bf856f4aa9fda772af7b9136573987b,2014-02,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Investigation complete; no suspect identified
00653b180a6cd64a2354c81737db40c7229206f955d47f667c929674fe3abf74,2014-02,Northamptonshire Police,Northamptonshire Police,-0.676924,52.287744,On or near NEWTOWN ROAD,E01027336,Wellingborough 010B,Investigation complete; no suspect identified
cb21d218210c7aaad4a8701c0c88c3a00ec6ecddfec5a0d3ef7f26f7da5d3b10,2014-02,Northamptonshire Police,Northamptonshire Police,-0.900595,52.264568,On or near HIGH STREET,E01027147,Northampton 003D,Investigation complete; no suspect identified
cd47abd298a2b236720a3c1112b3784de4bafbcee27217ee3438a9df6e957b93,2014-02,Northamptonshire Police,Northamptonshire Police,-0.944073,52.210175,On or near Motorway Service Area,E01027254,Northampton 029D,Investigation complete; no suspect identified
36892df32b8df6aa0fcbb0c3989d7a7576aea532039202d7ce45ee3bb01c3d93,2014-02,Northamptonshire Police,Northamptonshire Police,-0.903759,52.219419,On or near GLOUCESTER AVENUE,E01027161,Northampton 027D,Investigation complete; no suspect identified
79675f3a7937fcc5ab29d686999c17442e883ae719f4777c4a33a59455ced1e4,2014-02,Northamptonshire Police,Northamptonshire Police,-0.916968,52.221635,On or near MERSEY CLOSE,E01027235,Northampton 026C,Investigation complete; no suspect identified
14f5b21e567ff4caa635773ccf924033715d7efd96f7f786f16037eb20fd032b,2014-02,Northamptonshire Police,Northamptonshire Police,-0.761616,52.503233,On or near BERRY FIELD ROAD,E01026980,Corby 001C,Investigation complete; no suspect identified
