Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
66135316f22d1d0b09dd6d05541232fd972020dc83ec5306e7ceb846e1ee6a63,2014-02,Surrey Police,Surrey Police,,,No location,,,Suspect charged
138b14d20dccd2024a9fc441ff92d0a24d18a71d594ff846ca06ea4669bbe523,2014-02,Surrey Police,Surrey Police,,,No location,,,Suspect charged
c198ac7ea26a5bf284bbf78cd7f0d1388f46945a6fe673aefdc79229bdef0d9c,2014-02,Surrey Police,Surrey Police,,,No location,,,Offender given a drugs possession warning
e9fae7dac94b31315019b511ab8487d8deb5f9dd0878971b538fea16a758e846,2014-02,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
9a63d2b5edce3c01394fd9e293f26440554293a5d7a17c230fa91817f77dc26c,2014-02,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
1a5117a16bb763635893af18d0a14a4a22ac602d53b97b5a98578b652e749a19,2014-02,Surrey Police,Surrey Police,-0.316973,51.391908,On or near SIMPSON WAY,E01030322,Elmbridge 006A,Investigation complete; no suspect identified
186d3ee907cb7b60b414724e0833f79c617d5aef52613fa6e4af8a5ac84e929b,2014-02,Surrey Police,Surrey Police,-0.310721,51.382124,On or near DITTON GRANGE CLOSE,E01030323,Elmbridge 006B,Investigation complete; no suspect identified
a2b547270391584c9741afd5ec95ee8786c12f15fff39693f68179e4213b78a3,2014-02,Surrey Police,Surrey Police,-0.330414,51.387901,On or near PORTSMOUTH AVENUE,E01030353,Elmbridge 005D,Investigation complete; no suspect identified
836542a1b74c44b2cd46d2d489f8e4262c0a40ba7b36a3fab8a8926765dcdbe7,2014-02,Surrey Police,Surrey Police,-0.328306,51.390137,On or near QUEEN'S DRIVE,E01030350,Elmbridge 005A,Investigation complete; no suspect identified
9759aaa213f936169cb3cfd4b5a65a186180cc9e0dd121799c3139b20b3e5ec4,2014-02,Surrey Police,Surrey Police,-0.334217,51.383702,On or near ATWELL PLACE,E01030353,Elmbridge 005D,Investigation complete; no suspect identified
64d3ed8f7b236b3d27712ce0030b78939fea739315f595778ad69485ccafb709,2014-02,Surrey Police,Surrey Police,-0.339258,51.360761,On or near ELM ROAD,E01030298,Elmbridge 015C,Investigation complete; no suspect identified
de6f242975cce1e7ace7c7a1da51186fd17b8cf97fc0e9262c1a1231aa76afef,2014-02,Surrey Police,Surrey Police,-0.354974,51.365911,On or near LITTLEWORTH AVENUE,E01030307,Elmbridge 013A,Investigation complete; no suspect identified
e95dba30aada9b8cf9a7cf92a2b306aa6adb717a7089f5ee84fc209ed99a6fd7,2014-02,Surrey Police,Surrey Police,-0.379311,51.365459,On or near WEST END GARDENS,E01030309,Elmbridge 013C,Investigation complete; no suspect identified
9b8076907f007a4159024508809157e861e1fdfa73ab4675f1acf0e3c7f6e8e3,2014-02,Surrey Police,Surrey Police,-0.369950,51.380670,On or near SHERRIFF CLOSE,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
