Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
90f66078e206b4a604554e5a01482432f608e95cd443f2f3006dad2d7b5c1c77,2014-03,Essex Police,Essex Police,0.888767,51.868204,On or near COTTONWOOD CLOSE,E01033723,Colchester 015G,Investigation complete; no suspect identified
3d465755522aec9173718e553f8de7f9119c4421a49276d156dcfaa603984138,2014-03,Essex Police,Essex Police,0.563945,51.885223,On or near NORTHUMBERLAND CLOSE,E01021350,Braintree 009A,Investigation complete; no suspect identified
373a8e4e120814b20f197a24a1dbdcd892507becfe2a3e6f9f4cd9404240b066,2014-03,Essex Police,Essex Police,0.308149,51.476211,On or near FLORENCE CLOSE,E01015951,Thurrock 017A,Investigation complete; no suspect identified
3d0048b8339ceda8dec8c108f9e91fd36ff76a96c13dd26a36b4251f5f796dc7,2014-03,Essex Police,Essex Police,0.889838,51.903469,On or near BERGHOLT ROAD,E01021681,Colchester 004C,Investigation complete; no suspect identified
2dc02e2622405bfc2fb47f3ae9398c7a9a499c0bb07daa7e695107176392e575,2014-03,Essex Police,Essex Police,0.693951,51.590364,On or near PARKLANDS,E01021930,Rochford 007A,Investigation complete; no suspect identified
0f9b87b0c3ef553fe977f6cf226f5d6861e72f3c76dc169550e3a65a78227d5e,2014-03,Essex Police,Essex Police,0.327561,51.482419,On or near ROOKWOOD CLOSE,E01015959,Thurrock 016C,Investigation complete; no suspect identified
ad46205ec658304c80fac713ce28f19ef0e9e76342720649d676ca422098171c,2014-03,Essex Police,Essex Police,0.599599,51.641947,On or near TREEBEARD COPSE,E01021606,Chelmsford 020B,Investigation complete; no suspect identified
009f602a1ea0314debeb7500ec83e114dffed7ab739b80aba0e5ee7b0f751f7a,2014-03,Essex Police,Essex Police,1.102239,51.773319,On or near HUMBER AVENUE,E01021988,Tendring 018A,Investigation complete; no suspect identified
32788b8ef56da07155af3d4e5148f8ccc2584c29331a7b3676dbf6bb7acfd9ea,2014-03,Essex Police,Essex Police,0.720157,51.547120,On or near BYRON AVENUE,E01015897,Southend-on-Sea 010C,Investigation complete; no suspect identified
8040e5d15e153efa9a8ffa06deb5b3b1138ac1ca5889e7945445b45449cabcab,2014-03,Essex Police,Essex Police,0.438958,51.532342,On or near NORTHLANDS CLOSE,E01015997,Thurrock 001D,Investigation complete; no suspect identified
927dd3ace67252546b8ff2b7f91723915fa0dd8df20256c08274dcbf742d0bba,2014-03,Essex Police,Essex Police,0.695119,51.541061,On or near Supermarket,E01015855,Southend-on-Sea 015E,Investigation complete; no suspect identified
d038898fdb6a483b34a979a0af38902418b2fa5cfc5375ea1a405ebd09dd05eb,2014-03,Essex Police,Essex Police,0.422490,51.577110,On or near MORRIS COURT,E01021273,Basildon 014A,Investigation complete; no suspect identified
b14657a992f507b6d7dea6639ffec16d273ffbc6af5b74c52645332ce6906568,2014-03,Essex Police,Essex Police,0.094895,51.770021,On or near Nightclub,E01021872,Harlow 007E,Investigation complete; no suspect identified
ed4012377742221fc1dee0d08d570bbc2bb3af13d0a875c3010e58c3bd0da322,2014-03,Essex Police,Essex Police,0.489527,51.576462,On or near THE LICHFIELDS,E01021270,Basildon 012D,Investigation complete; no suspect identified
16342bd82e64d03ad1baee6468f7001f771929347653219f008b7c7136c50cf4,2014-03,Essex Police,Essex Police,0.040428,51.624969,On or near THE AVENUE,E01021748,Epping Forest 015G,Investigation complete; no suspect identified
0a9ca2799ed2940b0a533a5ca2f9e738212ec3fad27296e4c14e0cb5d47d52eb,2014-03,Essex Police,Essex Police,0.110305,51.761985,On or near CHURCH LEYS,E01021820,Harlow 006B,Investigation complete; no suspect identified
8a154765f717ccf32f9876bebdff025b1e669b3b0480863f2e70e440b7e0c585,2014-03,Essex Police,Essex Police,0.910350,51.877331,On or near BOURNE ROAD,E01021665,Colchester 016D,Investigation complete; no suspect identified
637ab711149464da5e875a426f03a82dbd549204ac1f46ddaa4dbf98160b6bd3,2014-03,Essex Police,Essex Police,0.281355,51.487302,On or near Shopping Area,E01016012,Thurrock 015C,Investigation complete; no suspect identified
7627c92459188bcae36888f85bf30ce11d793c6060e6fb09ea1eccc196d3b9e0,2014-03,Essex Police,Essex Police,0.471097,51.728494,On or near GODFREYS MEWS,E01033140,Chelmsford 010F,Investigation complete; no suspect identified
2379679c0143604deaf88f2d9f5b66228d0b2aa86c73d5d1d9d3fb453db17c5f,2014-03,Essex Police,Essex Police,0.471839,51.572348,On or near THISTLEDOWN,E01021318,Basildon 015C,Investigation complete; no suspect identified
3c1bb8522957e14a73c3fc9e06bbf9d9ec4b04bace34856d56022742ffa762cc,2014-03,Essex Police,Essex Police,0.285272,51.488728,On or near Parking Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
f2809faa5296b48b6d2e248a7090f53a59bbf3fabf409cc777f2957c9f64795b,2014-03,Essex Police,Essex Police,0.909976,51.775658,On or near CHURCH ROAD,E01021735,Colchester 021E,Investigation complete; no suspect identified
71a695329b73e4ded48025842e75fdb8a02f30709a72caf04ed9ec4a00b0561e,2014-03,Essex Police,Essex Police,0.577468,51.532284,On or near PRINCE WILLIAM AVENUE,E01021505,Castle Point 008D,Investigation complete; no suspect identified
0fb829cf491c6e6afb15df6b3596e71a4e926cc0257dd8575d006cee6eed9d2b,2014-03,Essex Police,Essex Police,0.462457,51.585127,On or near Nightclub,E01021268,Basildon 015B,Investigation complete; no suspect identified
bc733fbea38846ee4e494f6203cdac7158fcc913a82233e54e980bfcee678c57,2014-03,Essex Police,Essex Police,0.937412,51.898135,On or near PARSON'S HEATH,E01021707,Colchester 022I,Investigation complete; no suspect identified
77f1765e5cbe7b82638f5a3e50c41ed28175b7f0c10202f43a3c264e48ae40b1,2014-03,Essex Police,Essex Police,0.083451,51.758813,On or near TYLNEY CROFT,E01021833,Harlow 009D,Investigation complete; no suspect identified
f8681b561096db1ffb363179f1bfdb12aed71c3bd28ea9f1967a09f59e2880d7,2014-03,Essex Police,Essex Police,0.915055,51.883582,On or near REBOW STREET,E01021687,Colchester 011E,Investigation complete; no suspect identified
fa59de7ea70cfc9e8807b70b706796bd275d2c38a1058fe3940e7babd5828b61,2014-03,Essex Police,Essex Police,0.468192,52.069851,On or near DILLESTONE COURT,E01021376,Braintree 001B,Investigation complete; no suspect identified
d762b0731c57d608685a17c590f9663c1aef1f15eca38bb6b7faea66d13c4fe7,2014-03,Essex Police,Essex Police,0.780212,51.530387,On or near WEST ROAD,E01015917,Southend-on-Sea 017D,Investigation complete; no suspect identified
e9286d05e7bdc352f285e317c7bf34113a97cc3e81618adb2814b8f8b2eda16b,2014-03,Essex Police,Essex Police,1.284870,51.942063,On or near ALBERT STREET,E01021998,Tendring 001B,Investigation complete; no suspect identified
b63ec04f188cd4f753d8420a7789e75394f0ff04a689c554115f1dd2ec8e1d2c,2014-03,Essex Police,Essex Police,0.463136,51.523203,On or near CHURCH ROAD,E01015945,Thurrock 002A,Investigation complete; no suspect identified
615662483a7a847e8bd5cc03914f388c08972ef1de91880cc3f3a346cbeecc07,2014-03,Essex Police,Essex Police,0.551134,51.879450,On or near BANK STREET,E01021365,Braintree 009D,Investigation complete; no suspect identified
db56950c77abb7bfc8a72aed9e392fd59d40bb73d663c1463ef59043ae5e9121,2014-03,Essex Police,Essex Police,0.696324,51.742632,On or near Supermarket,E01021884,Maldon 003A,Investigation complete; no suspect identified
c99a3c3b8338f3787c895ef6620524f211b7c88b3d5b325033c84b20cb46de53,2014-03,Essex Police,Essex Police,0.571916,51.521533,On or near SYCAMORE CLOSE,E01021485,Castle Point 010A,Investigation complete; no suspect identified
3e7cc678f5f4eff7a7068dbc2eb696006cdb011c7900c6735bb3d227325e36fc,2014-03,Essex Police,Essex Police,0.300183,51.476745,On or near FOXTON ROAD,E01016015,Thurrock 015F,Investigation complete; no suspect identified
3f916272e2cc19ed75cfe7b14e2e56dc6c3cbc44f0d82db6ee0c3d00f7411c28,2014-03,Essex Police,Essex Police,0.459227,51.736054,On or near ANDREWS PLACE,E01033138,Chelmsford 009F,Investigation complete; no suspect identified
e3109a6694a91fd08cbc82678c4f7037bde11733d993e37e67de3f52a8c4955c,2014-03,Essex Police,Essex Police,1.155313,51.791756,On or near CARNARVON ROAD,E01022027,Tendring 016D,Investigation complete; no suspect identified
28691e4a1fe1360b487158c1de4a35f7e41da3bbdae942536adc986e9e9a2543,2014-03,Essex Police,Essex Police,0.475058,51.572082,On or near LONG RIDING,E01021321,Basildon 015E,Investigation complete; no suspect identified
473143e6bda947015447abe1f0a563559c3e8fd0858b1e3321ca0561ecd9b39a,2014-03,Essex Police,Essex Police,0.475058,51.572082,On or near LONG RIDING,E01021321,Basildon 015E,Investigation complete; no suspect identified
800420323bd48f88955c4f5d62795d223eeaaf0f2cacb8bceb9f3c66cab4e8a5,2014-03,Essex Police,Essex Police,0.638581,51.946173,On or near Parking Area,E01021387,Braintree 004A,Investigation complete; no suspect identified
5e617061b2d81f470fe799d0f2fc6d7d32b53ed28bea091112aa587bfb23b707,2014-03,Essex Police,Essex Police,0.346373,51.474301,On or near MEDICK COURT,E01016003,Thurrock 018A,Investigation complete; no suspect identified
8b2bbaa9a19c5fd40721eccdc88eee6c842d23782ebe7aed17750d0e2d245cca,2014-03,Essex Police,Essex Police,0.089645,51.609103,On or near HIGH MEADOWS,E01021765,Epping Forest 017B,Investigation complete; no suspect identified
c85b5e538af626d32f89a578a492cec29a22951af6cfdec51e077e822f2d47e4,2014-03,Essex Police,Essex Police,0.901486,51.905305,On or near STANFORD ROAD,E01021679,Colchester 004A,Investigation complete; no suspect identified
1677b025994277d84829bd28aefcd4a7e1d9ca1dbd78211be979ff06cead3bfb,2014-03,Essex Police,Essex Police,0.454754,51.530052,On or near CHAMBERLAIN AVENUE,E01015943,Thurrock 001A,Investigation complete; no suspect identified
bd98dc5ddaa65e724356e6245c82398b92d831fc574c161e56cd6ef8f1051ac5,2014-03,Essex Police,Essex Police,0.702103,51.547700,On or near Petrol Station,E01015861,Southend-on-Sea 004E,Investigation complete; no suspect identified
b49065a7b84227427c2eb908dbf7852f29f517347282a14c38eb0f8cc00540d8,2014-03,Essex Police,Essex Police,0.894648,51.877872,On or near CIRCULAR ROAD SOUTH,E01021717,Colchester 013D,Investigation complete; no suspect identified
8b19c9c1c4d752991cae171ba6d8a625a99b30e2293253c955e06742b0748143,2014-03,Essex Police,Essex Police,0.895004,51.886362,On or near BUTT ROAD,E01021683,Colchester 011A,Investigation complete; no suspect identified
a2c50a44b7f1af72a7c38250ead1e4566ca98c7053fa282286346dd526b7160f,2014-03,Essex Police,Essex Police,0.895004,51.886362,On or near BUTT ROAD,E01021683,Colchester 011A,Investigation complete; no suspect identified
d051b5102c8380b41099c9c2a6ccf9f1d58dcac154c30a68ba11b4bbabe4b780,2014-03,Essex Police,Essex Police,0.276799,51.503407,On or near STIFFORD ROAD,E01015929,Thurrock 007C,Investigation complete; no suspect identified
f2525dc97816118e01e543220dc84a42712e52735b9908a11927cc698bac0727,2014-03,Essex Police,Essex Police,0.417763,51.628072,On or near TANFIELD DRIVE,E01021253,Basildon 004B,Investigation complete; no suspect identified
a83a6c7a0ed2b29625770a9cd31f5bbf1d54695413f941de97f4ce79f0187698,2014-03,Essex Police,Essex Police,0.782655,51.532388,On or near JENA CLOSE,E01015917,Southend-on-Sea 017D,Investigation complete; no suspect identified
c26a20b66e3a0a0bcc9811f5eec89c286c8c3435de53014b8dbb11a66b5b2ca5,2014-03,Essex Police,Essex Police,0.342926,51.476159,On or near LAWNS CRESCENT,E01015969,Thurrock 014D,Investigation complete; no suspect identified
