Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ce986c45ad2bf6da679dbf7565fc1865a7461b268958132f1715b5d533286045,2014-03,Lincolnshire Police,Lincolnshire Police,-0.667225,52.903488,On or near CHESTNUT GROVE,E01026308,South Kesteven 005A,Investigation complete; no suspect identified
3330832d326510327438ee48967bdb690682c263f104ca49b3d65aaf92b4f075,2014-03,Lincolnshire Police,Lincolnshire Police,-0.010694,52.974675,On or near GOODSON CLOSE,E01026026,Boston 004C,Investigation complete; no suspect identified
a1bca48c44e481fa0fe1ea940423c125f279636d566ac9b591a6f8fb736df66e,2014-03,Lincolnshire Police,Lincolnshire Police,-0.422378,53.151698,On or near SLEAFORD ROAD,E01026211,North Kesteven 005C,Investigation complete; no suspect identified
35b43a562971f815c2b6737c9603f568fb4c11ea2b709ed68c132d5e7fc7bfee,2014-03,Lincolnshire Police,Lincolnshire Police,0.320502,53.152907,On or near GIBSON PLACE,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
c7a7d6334b7dc36f0d86b11d5081a6d983a14f96b71d2696e0984e8e4ad09dcc,2014-03,Lincolnshire Police,Lincolnshire Police,-0.307712,52.676970,On or near SWALLOW WALK,E01026305,South Kesteven 014C,Investigation complete; no suspect identified
5134b1ff2585e4fff80696463c486d49ba017a096a5084b65521f7303c864548,2014-03,Lincolnshire Police,Lincolnshire Police,-0.524146,53.212622,On or near Sports/Recreation Area,E01026203,North Kesteven 001D,Investigation complete; no suspect identified
2ba25b6fb22c589fe189a3645c820892037c63f2cf008e42545f20db0cc59289,2014-03,Lincolnshire Police,Lincolnshire Police,-0.524146,53.212622,On or near Sports/Recreation Area,E01026203,North Kesteven 001D,Investigation complete; no suspect identified
548a2f58cbc5eca9f8d563b8b2cf753282d961afe6071c7fbc97c605e3a3cd99,2014-03,Lincolnshire Police,Lincolnshire Police,-0.477295,53.314156,On or near HACKTHORN ROAD,E01026412,West Lindsey 008B,Investigation complete; no suspect identified
af28784f86e22b42f58d7e832a52043df4f566295f8365e2fe92185dcf365233,2014-03,Lincolnshire Police,Lincolnshire Police,-0.773131,53.403501,On or near HANDEL COURT,E01026379,West Lindsey 004B,Investigation complete; no suspect identified
3179efe433bad10ff1513a228cc967d29b10fa07ad7b069845cc780746e6a105,2014-03,Lincolnshire Police,Lincolnshire Police,-0.374369,52.769598,On or near MEADOW CLOSE,E01026298,South Kesteven 011D,Investigation complete; no suspect identified
cae52f2a6f6f94d57e4ba2d3de7cc469777f4be5c1d94fa1b4d09a08ae937c6f,2014-03,Lincolnshire Police,Lincolnshire Police,-0.469384,53.303662,On or near RYLAND ROAD,E01026372,West Lindsey 008A,Investigation complete; no suspect identified
a1623a368dc2dfd787df3cabadf14c8afb74902918e329f0253c89f9db6843de,2014-03,Lincolnshire Police,Lincolnshire Police,-0.150040,52.784446,On or near CHURCH GATE,E01026269,South Holland 007B,Investigation complete; no suspect identified
db21476bc51416b11bea621cdd4bc562500ede03a9a9378e828505845acc8878,2014-03,Lincolnshire Police,Lincolnshire Police,-0.482718,53.266175,On or near BROOKFIELD AVENUE,E01026393,West Lindsey 010A,Investigation complete; no suspect identified
f9b6ba82c32d236852951d2d8e0bae435f759349a7b9883c413799116a865def,2014-03,Lincolnshire Police,Lincolnshire Police,-0.024648,52.977650,On or near CHURCH STREET,E01026036,Boston 003D,Investigation complete; no suspect identified
6b7d54dc2637bd26a309af92d9db95ac4aea458398b4e2ebe067230c2b12b335,2014-03,Lincolnshire Police,Lincolnshire Police,-0.031812,52.979963,On or near Supermarket,E01026032,Boston 002D,Investigation complete; no suspect identified
b68db0cbcb7db0edd62261b9aafd1df5b9de0171ee0cfdb237d1923fa0b75407,2014-03,Lincolnshire Police,Lincolnshire Police,-0.158787,52.775007,On or near B1173,E01026268,South Holland 007A,Investigation complete; no suspect identified
b205aa88673f182352e522686ddbb00a44889c25c9b01acf212a2b71065d5663,2014-03,Lincolnshire Police,Lincolnshire Police,-0.376694,52.776849,On or near THE RETREAT,E01026302,South Kesteven 010D,Investigation complete; no suspect identified
cc64918b014bd93248e7dd39a79a2b5b59f3e7cbab88731f94f447b92eb0ca32,2014-03,Lincolnshire Police,Lincolnshire Police,0.001114,53.367162,On or near ALBION PLACE,E01026081,East Lindsey 004A,Investigation complete; no suspect identified
