Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0e95af32b388e451d4fd0a8d0672266cb4e6753066f61d111183f20ae9477092,2014-03,Northamptonshire Police,Northamptonshire Police,-0.820733,52.441731,On or near Parking Area,E01032971,Kettering 002I,Investigation complete; no suspect identified
f2624a4085358e7abca48949c76c7ba05280fdf345005066f7ee9be755ea6681,2014-03,Northamptonshire Police,Northamptonshire Police,-0.733154,52.469829,On or near BODEN CLOSE,E01026954,Corby 008B,Investigation complete; no suspect identified
0f9509cd11ff0e7ba14b165c436c953aaeacd1dfce1aaeb0d11d7629894f738d,2014-03,Northamptonshire Police,Northamptonshire Police,-0.975638,52.230080,On or near BEECH LANE,E01027285,South Northamptonshire 001C,Investigation complete; no suspect identified
538abfc54df76c0a485ed2c000aed1a9a86c458b90f196ac341ebc88cf1fb601,2014-03,Northamptonshire Police,Northamptonshire Police,-0.756811,52.272069,On or near Sports/Recreation Area,E01027323,Wellingborough 009B,Investigation complete; no suspect identified
8129405b32d6aeb6480cc3787b7e897c0727785ac1a8fbc16b4814b712897e38,2014-03,Northamptonshire Police,Northamptonshire Police,-0.881566,52.246884,On or near ABINGTON AVENUE,E01027187,Northampton 015C,Investigation complete; no suspect identified
570d6a3aa3bf3fbee1fb1b06ccefcfc769747a56bee863637c261fe609afc23c,2014-03,Northamptonshire Police,Northamptonshire Police,-0.728350,52.485834,On or near BRAMBER COURT,E01026985,Corby 004F,Investigation complete; no suspect identified
1a03f6ec792c762c2e432e82830143d9c255c6f7bdec273dd9149fd05a76c11f,2014-03,Northamptonshire Police,Northamptonshire Police,-0.893618,52.242880,On or near CONNAUGHT STREET,E01027155,Northampton 023A,Investigation complete; no suspect identified
c27db89d9269701e119c447827c9866dca6708f9940638c15bb2fd417091ed15,2014-03,Northamptonshire Police,Northamptonshire Police,-0.822098,52.250136,On or near KNIGHTS COURT,E01027138,Northampton 016B,Investigation complete; no suspect identified
89de717fe511061587c5761329d7401c0bbfd691ec06c9e8e3cdc55d63648646,2014-03,Northamptonshire Police,Northamptonshire Police,-0.708368,52.505343,On or near DART CLOSE,E01026983,Corby 002F,Investigation complete; no suspect identified
5f76d051d92eab675f9be93dd3acb30775099b7c22cf4513ff5efa8c8bfdb4e9,2014-03,Northamptonshire Police,Northamptonshire Police,-0.685067,52.298427,On or near THE CLOISTERS,E01027314,Wellingborough 004B,Investigation complete; no suspect identified
9b33ea0d47404efad69d0e43d83767641a0f9b15ff5e1b46c9b946114fc00e97,2014-03,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Investigation complete; no suspect identified
5507d8c266a4caca8a44652a99b98d50c6a102a62dba7e716dbaecef8e644409,2014-03,Northamptonshire Police,Northamptonshire Police,-0.813602,52.262755,On or near DOWNWOOD CLOSE,E01027175,Northampton 005B,Investigation complete; no suspect identified
0f0e084b972db6dfb59d6554c5f3880bce973bfe432358e5a0708b16418175df,2014-03,Northamptonshire Police,Northamptonshire Police,-0.619326,52.321475,On or near ALLEN ROAD,E01027041,East Northamptonshire 006D,Investigation complete; no suspect identified
c8825d036b46200cc10a17f61cc84e5c31c6f36cc0639ba273560ddd6b311f79,2014-03,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Investigation complete; no suspect identified
ab1a46c62585386429d5bdc45713272e027ef09e2fd1b94a2a5797a2f88d4e4e,2014-03,Northamptonshire Police,Northamptonshire Police,-0.886117,52.206684,On or near PENINSULAR CLOSE,E01027201,Northampton 028C,Investigation complete; no suspect identified
3f5b515a7a3b3d1f92e152834e6c73408a929871276d472232366ff803d3e35f,2014-03,Northamptonshire Police,Northamptonshire Police,-0.886117,52.206684,On or near PENINSULAR CLOSE,E01027201,Northampton 028C,Investigation complete; no suspect identified
a58bf49864b30a7ba168656392a9c8a37b00bc5d8fa0bd7bef2bb85d846a2fc5,2014-03,Northamptonshire Police,Northamptonshire Police,-0.880656,52.198028,On or near GLADIATOR CLOSE,E01027206,Northampton 031D,Investigation complete; no suspect identified
540850ed6038d6e939398b3de9a8f68ca46607bd457e4deb3b501fd5a7035e87,2014-03,Northamptonshire Police,Northamptonshire Police,-0.828493,52.263182,On or near SOUTH PRIORS COURT,E01027196,Northampton 007A,Investigation complete; no suspect identified
f9bdb1fdfda79969fc83b0ab0f7edd2b539dd5be43dcbe7b3dcf33e73de0ccc4,2014-03,Northamptonshire Police,Northamptonshire Police,-0.856248,52.283611,On or near RYLAND ROAD,E01027020,Daventry 005D,Investigation complete; no suspect identified
aac8b322cd70ec67c99b6133c73c35cf2c6b46aa903a24097b3ed798ef7856e3,2014-03,Northamptonshire Police,Northamptonshire Police,-0.900621,52.255208,On or near KINGSTHORPE ROAD,E01027191,Northampton 008B,Investigation complete; no suspect identified
a6aadc05b0ff46f48a08eeb3a45051cf9ca1aba5a6bca3882be9bcca9863a539,2014-03,Northamptonshire Police,Northamptonshire Police,-0.899829,52.321561,On or near HIGH SLADE,E01027001,Daventry 002B,Investigation complete; no suspect identified
599f3189bb90f977f5e653b05fb3ef519035af1d25dc5fc81bb3c45bedcb4bd8,2014-03,Northamptonshire Police,Northamptonshire Police,-0.828972,52.251121,On or near BRICKWELL COURT,E01027137,Northampton 016A,Investigation complete; no suspect identified
d4e46f1dea39ec4fabb57c6fd84ce67a5fef61e1fedc9193b0efa882cfb0ee43,2014-03,Northamptonshire Police,Northamptonshire Police,-0.877546,52.240166,On or near SOUTH STREET,E01027224,Northampton 025B,Investigation complete; no suspect identified
9df1e07e98eba1d38d2ed56ca305d898d416e95fe88623bb1315435fdc7acaa7,2014-03,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Investigation complete; no suspect identified
4169115999726a714e7648aa46dca7b04b5a00cd1eb663eb2dcb75a6722d268e,2014-03,Northamptonshire Police,Northamptonshire Police,-0.694545,52.301750,On or near ANGEL LANE,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
e4d24abad7e6e5bcda58189af42f59ba7e6893d600dc94f2519e84694c35e565,2014-03,Northamptonshire Police,Northamptonshire Police,-0.686709,52.315294,On or near NIGHTINGALE LANE,E01027330,Wellingborough 002A,Investigation complete; no suspect identified
a3f71622dd9495046bee6642740722090539f87576b01ec8e44d335d96c2b04c,2014-03,Northamptonshire Police,Northamptonshire Police,-0.732325,52.481786,On or near MANOR DRIVE,E01026985,Corby 004F,Investigation complete; no suspect identified
4b65d10191cec9d1e8f4ad6e82e2ff9414bbd0bc39d31ddf82cbb4b7b8f3e200,2014-03,Northamptonshire Police,Northamptonshire Police,-0.741469,52.341280,On or near THE PADDOCKS,E01027338,Wellingborough 001D,Investigation complete; no suspect identified
6afefb0b00a6dd378b3f4419508808122b869b621d83bbd04458c970f7a2720b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.694545,52.301750,On or near ANGEL LANE,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
8f52be4d3aa03f308f73013e81986b7a74415f404807bd253c66a7d2bcf52c12,2014-03,Northamptonshire Police,Northamptonshire Police,-0.581095,52.380910,On or near ADDINGTON ROAD,E01027078,East Northamptonshire 004C,Investigation complete; no suspect identified
fd97c7f8e0568561475f0c60d7947f5f5e75b927ab75d22954a8aa957ce048f9,2014-03,Northamptonshire Police,Northamptonshire Police,-0.978421,52.231920,On or near RIVERSIDE COURT,E01027285,South Northamptonshire 001C,Investigation complete; no suspect identified
46ec9a43597d8724ba4e099cb0650cdfb184468eb0423b63458191c408bd1a99,2014-03,Northamptonshire Police,Northamptonshire Police,-0.949060,52.223975,On or near Park/Open Space,E01032977,Northampton 029G,Investigation complete; no suspect identified
7d73315490ee3d84dc78e82512ea323c135017a62e7c6e19ed69924550b26bd0,2014-03,Northamptonshire Police,Northamptonshire Police,-0.939045,52.249248,On or near WHERNSIDE WAY,E01027213,Northampton 018A,Investigation complete; no suspect identified
688646362ca6c55a04679bc05f6417283f8a04758407287b1f20075b3ab898a6,2014-03,Northamptonshire Police,Northamptonshire Police,-0.673541,52.262073,On or near YORK ROAD,E01027355,Wellingborough 010F,Investigation complete; no suspect identified
adcbd3809452fc2d864562942b0fdfc9aa5fadc46418e1828cc1f362d3b4e20a,2014-03,Northamptonshire Police,Northamptonshire Police,-0.820321,52.267434,On or near CROFTMEADOW COURT,E01027199,Northampton 007D,Investigation complete; no suspect identified
bcec0ddf74d4206456ef57550a479d524bfeeb8a5a7870a120ceb596d0a3d136,2014-03,Northamptonshire Police,Northamptonshire Police,-0.725914,52.394230,On or near ST PAUL'S COURT,E01027113,Kettering 007C,Investigation complete; no suspect identified
285f433a9922277a922551b9a1e946531184896e20f1096f99e8918716368a07,2014-03,Northamptonshire Police,Northamptonshire Police,-0.894302,52.237725,On or near DYCHURCH LANE,E01027223,Northampton 025A,Investigation complete; no suspect identified
d94abbbed21ccc96e7916d31e10f4003ca4feb90d7fb95bfbae845f2b0b2041a,2014-03,Northamptonshire Police,Northamptonshire Police,-0.832169,52.263272,On or near ELLFIELD COURT,E01027196,Northampton 007A,Investigation complete; no suspect identified
b88f4f84a081ecb82d693aad6a1f7a1751735e1e95e599fa687262c3cd20e2c0,2014-03,Northamptonshire Police,Northamptonshire Police,-0.895458,52.249586,On or near BRICK KILN LANE,E01027187,Northampton 015C,Investigation complete; no suspect identified
8c8ab4fd512922b3ad8857bc72a57d7f1553932ba1000382a444cc93bc8be33e,2014-03,Northamptonshire Police,Northamptonshire Police,-0.888109,52.264055,On or near Supermarket,E01027231,Northampton 009D,Investigation complete; no suspect identified
6526d2f3df5e0c3c0b5940bafe1bc21ff8238518a03822407370584d626f2113,2014-03,Northamptonshire Police,Northamptonshire Police,-0.892796,52.244697,On or near OAKLEY STREET,E01027155,Northampton 023A,Investigation complete; no suspect identified
678d11acd3a5a9f76c4b549a85ae9abde3ea9ebcd67d9dbb98994b064b95fd70,2014-03,Northamptonshire Police,Northamptonshire Police,-0.892467,52.243202,On or near CHARLES STREET,E01027155,Northampton 023A,Investigation complete; no suspect identified
b65fc579ade32e9ce928d3a5165dc6f11d16c8ba763aa02cd1be7c2ce5f77489,2014-03,Northamptonshire Police,Northamptonshire Police,-0.717761,52.481279,On or near SPALDING ROAD,E01026966,Corby 006E,Investigation complete; no suspect identified
6aac90251aa0ae78cf63bdbfb59aff0fd02d63a485ab3d7f7eb70f7e37ba26cc,2014-03,Northamptonshire Police,Northamptonshire Police,-0.814031,52.375673,On or near SCHOOL ROAD,E01032973,Kettering 011H,Investigation complete; no suspect identified
1b69a2022f252cb979f1fbc52c41bdd9cfc7e6841e0d015584075bc612e8e2ca,2014-03,Northamptonshire Police,Northamptonshire Police,-0.894501,52.258604,On or near QUEENSLAND GARDENS,E01027229,Northampton 009B,Investigation complete; no suspect identified
98c93742d63b0302d0129f3e8e07a8cf0a8bac21d55b2870d5e52cef03a1e52e,2014-03,Northamptonshire Police,Northamptonshire Police,-0.955670,52.260482,On or near KNIGHTON CLOSE,E01027208,Northampton 014A,Investigation complete; no suspect identified
9a34cb19a07e4f06002c548d2be6a691980807a24c2f5f5f74981dfe5d0fdbc4,2014-03,Northamptonshire Police,Northamptonshire Police,-0.836809,52.258409,On or near Pedestrian Subway,E01027198,Northampton 007C,Investigation complete; no suspect identified
5d04c72fcb10ba001137e920017d1a246cd43f89276436eca022e50a22513786,2014-03,Northamptonshire Police,Northamptonshire Police,-0.871079,52.244554,On or near Petrol Station,E01027135,Northampton 022D,Investigation complete; no suspect identified
e99d1823b546a1dff8e1e1a759281f35a43775125e0679a6936d42593681ec4f,2014-03,Northamptonshire Police,Northamptonshire Police,-0.908449,52.225773,On or near OXFORD STREET,E01027158,Northampton 028B,Investigation complete; no suspect identified
8d6c5f9269bc4556fbc6effbe0c46965cafd7941739ea90358e3ca4457fb0bce,2014-03,Northamptonshire Police,Northamptonshire Police,-0.708804,52.466832,On or near CARLISLE CLOSE,E01032967,Corby 009F,Investigation complete; no suspect identified
0c7bdd9e4e0f867c07978cb17f4a5c226e8cfd1fb827124693f0f19efca5acbb,2014-03,Northamptonshire Police,Northamptonshire Police,-0.901066,52.229499,On or near WEST COTTON CLOSE,E01032980,Northampton 028E,Investigation complete; no suspect identified
b7939cfc0ad3450a08bef0ddcafb4ebad7c05e6abbbb1b822c57c1f449d41cc7,2014-03,Northamptonshire Police,Northamptonshire Police,-1.176529,52.270104,On or near GRESLEY CLOSE,E01026986,Daventry 007A,Investigation complete; no suspect identified
6ef54ad2d2d2aeb3d71959379643d033c0987d180d16ae864401e4a4ecdf7174,2014-03,Northamptonshire Police,Northamptonshire Police,-0.683017,52.300795,On or near BROOK STREET EAST,E01027315,Wellingborough 004C,Investigation complete; no suspect identified
9fe48002ac043251c3441935aa8288c8a1305a5d068e2b4bd0ea905bc7f97f62,2014-03,Northamptonshire Police,Northamptonshire Police,-0.726908,52.388792,On or near THE CLOSE,E01027114,Kettering 009B,Investigation complete; no suspect identified
54bbeee70e3f770c1c7ca536e0fe4ecf624af6692b5a39c8a0041d403a4486c5,2014-03,Northamptonshire Police,Northamptonshire Police,-0.704357,52.287167,On or near Sports/Recreation Area,E01027320,Wellingborough 008D,Investigation complete; no suspect identified
6470fafd52ff22a3f3d3ce8cb7ed4bcbda32ec569dcd55a2a27a00bbe09fe436,2014-03,Northamptonshire Police,Northamptonshire Police,-0.806876,52.254056,On or near PENNYCRESS PLACE,E01027177,Northampton 011D,Investigation complete; no suspect identified
17fe6007c5876d246b90d07c6eac418c2f21e34c87c53c9e4e7892080e12013b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.902378,52.210748,On or near STANFORD WAY,E01027162,Northampton 030A,Investigation complete; no suspect identified
0e1c8c8808a095ee81e51f57a12663e3a2d269cb49c5ff318b56e7199dba4496,2014-03,Northamptonshire Police,Northamptonshire Police,-0.881702,52.187249,On or near GREAT GROUND WALK,E01032984,South Northamptonshire 003H,Investigation complete; no suspect identified
4e8d443873e2225bf2023bd87c52fc160f21a7f27e84fe99d4f7bebdb56638c2,2014-03,Northamptonshire Police,Northamptonshire Police,-0.855845,52.255403,On or near THE HEADLANDS,E01027179,Northampton 010A,Investigation complete; no suspect identified
258fe8bc44a034cc75133054f29fda7d9f381f83a82a0326dc203f9f3d7c0ab3,2014-03,Northamptonshire Police,Northamptonshire Police,-0.589304,52.291082,On or near SYCAMORE CLOSE,E01027058,East Northamptonshire 009A,Investigation complete; no suspect identified
3fb4eb31bf56176e0d2d2a9d775ef77fbd55d4daa40a764721f44d39e004f3c1,2014-03,Northamptonshire Police,Northamptonshire Police,-0.835483,52.257021,On or near Supermarket,E01027198,Northampton 007C,Investigation complete; no suspect identified
d70397c6b455cc9ffa040b964cf6be63f309049627456814259816f3a0d70a40,2014-03,Northamptonshire Police,Northamptonshire Police,-0.871921,52.250029,On or near OAKWOOD ROAD,E01027136,Northampton 013A,Investigation complete; no suspect identified
93263efd914d56278dc1dfd45fe7016f0316e0502505d6a9d2430ddb5d116160,2014-03,Northamptonshire Police,Northamptonshire Police,-0.677089,52.296944,On or near ULTRA CLOSE,E01027315,Wellingborough 004C,Investigation complete; no suspect identified
4c15047e4f0458a5a34c2d6cc9bbd907790e8b7f6a0a7859e6426ac4b43f8139,2014-03,Northamptonshire Police,Northamptonshire Police,-1.029882,52.193272,On or near Sports/Recreation Area,E01027277,South Northamptonshire 004B,Investigation complete; no suspect identified
1eb2b8934ec5eed1fd8ed03d4a233e93ee56b549d0cc901d3c0faada9ef0b711,2014-03,Northamptonshire Police,Northamptonshire Police,-0.968129,52.123770,On or near Parking Area,E01027297,South Northamptonshire 005A,Investigation complete; no suspect identified
2b02110bda9f822b7736179e2a29234fe663c10bbcbe835f2a0c5e17bd6ef4de,2014-03,Northamptonshire Police,Northamptonshire Police,-0.711934,52.400408,On or near WINDMILL AVENUE,E01027112,Kettering 006D,Investigation complete; no suspect identified
897dc9e58739c75eea49b9cf4ded698dd0e8fe610b1c70dbb853778cc03fe459,2014-03,Northamptonshire Police,Northamptonshire Police,-0.739877,52.394703,On or near NORTHAMPTON ROAD,E01027115,Kettering 007D,Investigation complete; no suspect identified
344a60ca9f8eeeade30d7f69d40c61f57ae4ab09e3fa352826107250d713254b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.877212,52.243516,On or near BOSTOCK AVENUE,E01027134,Northampton 022C,Investigation complete; no suspect identified
79c87de0f162a4091fd4e1cb9437cb6814ab46bbb32b0a041ff5e3c77a3a6cd6,2014-03,Northamptonshire Police,Northamptonshire Police,-0.939045,52.249248,On or near WHERNSIDE WAY,E01027213,Northampton 018A,Investigation complete; no suspect identified
613c8cc71aea873864ca69d265acdba270a5b513873deacd55a242ab27a0fbc2,2014-03,Northamptonshire Police,Northamptonshire Police,-0.906544,52.200788,On or near BELFRY LANE,E01027206,Northampton 031D,Investigation complete; no suspect identified
bceffca1c3da8cdfe834405593445f82acfabf6606c1387fecd7220ea815d0af,2014-03,Northamptonshire Police,Northamptonshire Police,-0.879022,52.247264,On or near ABINGTON AVENUE,E01027132,Northampton 022A,Investigation complete; no suspect identified
b6e825c446d96b666e4904fe6986d2d42f025e6b2e816ee5c8f68d1664cab66d,2014-03,Northamptonshire Police,Northamptonshire Police,-0.694162,52.394486,On or near SAINT CECILIA'S CLOSE,E01027098,Kettering 008C,Investigation complete; no suspect identified
2984d53fa1369840ae015c61cb82ef613053af4ef4027640adf3523b74b89613,2014-03,Northamptonshire Police,Northamptonshire Police,-0.934905,52.216584,On or near TANSY CLOSE,E01027254,Northampton 029D,Investigation complete; no suspect identified
ef6e6789c5a23e01b6e7836cc4b71f6ac63764bad101be992857118f18727c30,2014-03,Northamptonshire Police,Northamptonshire Police,-0.891343,52.245403,On or near POOLE STREET,E01027155,Northampton 023A,Investigation complete; no suspect identified
78c47e2375398a8fed24627e57c0a70f8bc97385bb3488772ebfe8c279e9b500,2014-03,Northamptonshire Police,Northamptonshire Police,-0.477860,52.490384,On or near TILLEY HILL CLOSE,E01027046,East Northamptonshire 002C,Investigation complete; no suspect identified
d83dceabff5019875c2a3d4c69e0c3eb742ac531dd571e0a356cdaadf6a3bc71,2014-03,Northamptonshire Police,Northamptonshire Police,-0.886311,52.265629,On or near BROCKHALL CLOSE,E01027231,Northampton 009D,Investigation complete; no suspect identified
5f66f93aa8d2aa264b9c36a232607455a51502abd66fd8b78bbcd6523ef4da8f,2014-03,Northamptonshire Police,Northamptonshire Police,-0.962851,52.256005,On or near BEAUVAIS COURT,E01027209,Northampton 014B,Investigation complete; no suspect identified
cb12a83ad2d3a76f9ed07814c07ddefcdf20f03e7b19e2c126d1628ff3ae413b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.706331,52.483411,On or near HOLBEIN WALK,E01026967,Corby 006F,Investigation complete; no suspect identified
2d7e4d1bf7e54f0ccba84fff7d113e2f09e7839ff0490cca570f090b77e8d9ae,2014-03,Northamptonshire Police,Northamptonshire Police,-0.471055,52.487428,On or near ORCHARD CLOSE,E01027047,East Northamptonshire 002D,Investigation complete; no suspect identified
1676b4cdda83106e65b64d9afb762b7026e5999a1f743495ff2762824502e246,2014-03,Northamptonshire Police,Northamptonshire Police,-0.891670,52.238177,On or near THE RIDINGS,E01027223,Northampton 025A,Investigation complete; no suspect identified
9dab4b81e42f9966d8421c4643c6eae5ed154599155f30024e73bd8ecc78d31c,2014-03,Northamptonshire Police,Northamptonshire Police,-0.531268,52.400109,On or near GREBE CLOSE,E01027076,East Northamptonshire 003D,Investigation complete; no suspect identified
683fbfc1687e66a58f25f72621900e4432e1f40f955b8280417db09eea571672,2014-03,Northamptonshire Police,Northamptonshire Police,-0.938044,52.231006,On or near BLACK CAT DRIVE,E01032977,Northampton 029G,Investigation complete; no suspect identified
71edda4df1170f11cb19808d862b9b82f04cd6822d4f5433f7367db49b79099b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.700035,52.286572,On or near KENT ROAD,E01027320,Wellingborough 008D,Investigation complete; no suspect identified
1bff59346dec8e982c8495a1a5d80b7ea536ef0855093f826790bd927d39e14c,2014-03,Northamptonshire Police,Northamptonshire Police,-0.853082,52.261985,On or near GRANGE ROAD,E01027168,Northampton 012A,Investigation complete; no suspect identified
8d7316709e88d1478e10ad10ca387cf25638a0424cc737cb04665bae5dba25b4,2014-03,Northamptonshire Police,Northamptonshire Police,-0.839974,52.269616,On or near NICHOLLS COURT,E01027249,Northampton 004E,Investigation complete; no suspect identified
4c18161dc24a03617083b27becf3cf5d73dbacd14be2b513aaa8511f32e3664b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.918585,52.255114,On or near PARK DRIVE,E01027244,Northampton 017E,Investigation complete; no suspect identified
4d0be98c73e2a6ef58f6cb78cd7d80126e8fe07c1786ef7d5a6ba245358336db,2014-03,Northamptonshire Police,Northamptonshire Police,-0.563050,52.330308,On or near GRANGE ROAD,E01027074,East Northamptonshire 004B,Investigation complete; no suspect identified
b29a0575a61a2d28e065386f4a129c77358987c05234a96cefc318181e8f7bc0,2014-03,Northamptonshire Police,Northamptonshire Police,-0.883986,52.239166,On or near CYRIL STREET,E01027228,Northampton 023D,Investigation complete; no suspect identified
8dd463d36457a1da593afd6541c7c11352db0fb170d3cb2547fc0cda19f1e30d,2014-03,Northamptonshire Police,Northamptonshire Police,-0.728296,52.404406,On or near DRYDEN STREET,E01027105,Kettering 006A,Investigation complete; no suspect identified
8c4940032b5cbcb7d4ea0f90788ed07964d974e8c592e61e7497839bce03773f,2014-03,Northamptonshire Police,Northamptonshire Police,-0.869449,52.251057,On or near PARK AVENUE NORTH,E01027136,Northampton 013A,Investigation complete; no suspect identified
4320e733393f6019a6bcd08cbffa6d63cddbcef06ca6318fd432687da66504fa,2014-03,Northamptonshire Police,Northamptonshire Police,-0.705540,52.481262,On or near SANDBY ROAD,E01026967,Corby 006F,Investigation complete; no suspect identified
502f022121b8b2f1517b84d12a63635f4d7a4d86787dc29e791755f41cf81d48,2014-03,Northamptonshire Police,Northamptonshire Police,-0.919900,52.252231,On or near ST MARGARET'S GARDENS,E01027242,Northampton 017C,Investigation complete; no suspect identified
65f94744edd273229d61736c6798d82f0d2eede80abe8a80385d221bf747d957,2014-03,Northamptonshire Police,Northamptonshire Police,-0.898320,52.236918,On or near Nightclub,E01032979,Northampton 021F,Investigation complete; no suspect identified
2524efd1dab2ab413f84f62b24b55415047cb5ef868dcd19b78aaa120ce08503,2014-03,Northamptonshire Police,Northamptonshire Police,-0.868449,52.275943,On or near DEER PARK ROAD,E01027218,Northampton 002A,Investigation complete; no suspect identified
a1ff956e85b52680b3f41f5b7037e5361c4f7c9aa4db14b86e7c438bd78b9ca9,2014-03,Northamptonshire Police,Northamptonshire Police,-0.822098,52.250136,On or near KNIGHTS COURT,E01027138,Northampton 016B,Investigation complete; no suspect identified
3cbedcc0b7a75bb08cf2a1773ee4154ef0591b089dd24691409def6a37216861,2014-03,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Investigation complete; no suspect identified
078b722d8d023d6889bada089c38093c0001a561e296543cfc321e908f09e525,2014-03,Northamptonshire Police,Northamptonshire Police,-0.903320,52.222417,On or near FAWSLEY ROAD,E01027156,Northampton 027A,Investigation complete; no suspect identified
b3d2f63b2c23734b5022875b7e4d28119fb947e4a79dcdcf543e012ef5f20e9b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.852502,52.263472,On or near BUTTERMERE CLOSE,E01027168,Northampton 012A,Investigation complete; no suspect identified
436f5eb4539f49c662e2d67d7d6889d929c08d453611186095453192d9fa5431,2014-03,Northamptonshire Police,Northamptonshire Police,-0.713401,52.305949,On or near MINERVA WAY,E01027310,Wellingborough 007B,Investigation complete; no suspect identified
