Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
160ad773345eb8beabaa0222b486c38270655124d44bda79b7fa6ed3bc4e715d,2014-03,Warwickshire Police,Warwickshire Police,-1.749483,52.246250,On or near A3400,E01031195,Stratford-on-Avon 002A,Investigation complete; no suspect identified
4dd29d9de44b678b40c1fb122d3657735b9682292cdce650ca7b366105750570,2014-03,Warwickshire Police,Warwickshire Police,-1.388633,52.251524,On or near OXFORD STREET,E01031222,Stratford-on-Avon 004D,Investigation complete; no suspect identified
26187bf4b94ff5301038bc3e5719d91703a0e79e6f769942adbda64aad5c5405,2014-03,Warwickshire Police,Warwickshire Police,-1.389819,52.255845,On or near TOMWELL CLOSE,E01031221,Stratford-on-Avon 004C,Investigation complete; no suspect identified
bb19089e45c2abd6ae8ad55428cf2d09ff5767d1cc606d1427e34a321f5ca396,2014-03,Warwickshire Police,Warwickshire Police,-1.725808,52.190125,On or near SHOTTERY,E01031233,Stratford-on-Avon 011B,Investigation complete; no suspect identified
7865347f4cc0309567b77c08b3f9f15d41e818bb5a73b88a64804bf68ac48cfa,2014-03,Warwickshire Police,Warwickshire Police,-1.536853,52.293131,On or near Nightclub,E01033253,Warwick 007H,Investigation complete; no suspect identified
445241928b981cb5409e67eb2bab27131fa3ddb46b49178ab1bc7661d7e00770,2014-03,Warwickshire Police,Warwickshire Police,-1.519724,52.262244,On or near GOLF LANE,E01031331,Warwick 015E,Investigation complete; no suspect identified
1de925d2a6d27eeec2c1713f813d03d37ebc47d464507f2220a4987228d73c73,2014-03,Warwickshire Police,Warwickshire Police,-1.582605,52.062696,On or near B4035,E01031193,Stratford-on-Avon 015A,Investigation complete; no suspect identified
6518a6095f3ebda7d11d6549b25f7018b6f2e04c541c756897c4b3f2fb313a2c,2014-03,Warwickshire Police,Warwickshire Police,-1.475947,52.474317,On or near GILBERT CLOSE,E01031096,Nuneaton and Bedworth 015B,Suspect charged
5ad010320b5097ec9fa72010e31f39e8ece11e06fabbafc639b8562554916629,2014-03,Warwickshire Police,Warwickshire Police,-1.502021,52.218054,On or near Petrol Station,E01031199,Stratford-on-Avon 005C,Investigation complete; no suspect identified
355a3f1aa4586e0cbfd3f0a88ee42e95f6fbe6485ae94a2da121adf004effd24,2014-03,Warwickshire Police,Warwickshire Police,-1.502021,52.218054,On or near Petrol Station,E01031199,Stratford-on-Avon 005C,Investigation complete; no suspect identified
028b062a5cbe412911d372a30a103a9c34ca6b27653ec0e2b8962fda906a0f8d,2014-03,Warwickshire Police,Warwickshire Police,-1.536258,52.291106,On or near Shopping Area,E01033256,Warwick 007I,Investigation complete; no suspect identified
b67c657ea0d7f933ed0b81e7009852e725d79ef0ccf52463b8354bedaa9eee48,2014-03,Warwickshire Police,Warwickshire Police,-1.711793,52.199477,On or near Shopping Area,E01031231,Stratford-on-Avon 009D,Investigation complete; no suspect identified
a2a94bc8479f3e466a39e37607bf0da889466606f7c327e90c80674b5fb12db2,2014-03,Warwickshire Police,Warwickshire Police,-1.780485,52.291902,On or near Supermarket,E01031202,Stratford-on-Avon 002B,Investigation complete; no suspect identified
31843fc950878e5b9c9ebc7b22b7e01a9e7c7657dc71a0b920d8e282664ab204,2014-03,Warwickshire Police,Warwickshire Police,-1.515836,52.276181,On or near Supermarket,E01031334,Warwick 010D,Investigation complete; no suspect identified
803d66162b919a868190c7a7cdab91f1f08c1763df1349b64044d36ca35cd729,2014-03,Warwickshire Police,Warwickshire Police,-1.535877,52.288299,On or near BEDFORD PLACE,E01033253,Warwick 007H,Investigation complete; no suspect identified
c0420ac0dc3b583634f8233726a8dc73282eae29124bc364ff047778bc99502c,2014-03,Warwickshire Police,Warwickshire Police,-1.870235,52.214403,On or near HIGH STREET,E01031183,Stratford-on-Avon 006A,Investigation complete; no suspect identified
c096d14675f43e08d8b4d007639bb2a6e4418004a7aaf9f3450ba1b1c4ef96b7,2014-03,Warwickshire Police,Warwickshire Police,-1.596764,52.291355,On or near CHANDLEY WHARF,E01031322,Warwick 011B,Investigation complete; no suspect identified
7b1fdc7b5dc9c4af3e75ec3ab6f2df38134bfec52828120fcf88b64bf66f5687,2014-03,Warwickshire Police,Warwickshire Police,-1.518326,52.277683,On or near CRAIG CLOSE,E01031334,Warwick 010D,Investigation complete; no suspect identified
