Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
13f29cf36b9ffcc755a24707d58d2ba702c08a15409954f60c0a21b879b6f42e,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.579483,52.710439,On or near Parking Area,E01026783,North Norfolk 014C,Investigation complete; no suspect identified
3f077020a97caf2dda1bfa9ce7e24076f443a996eec78d17ddf02e8a2e64f5ca,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.931766,52.440152,On or near MARKET STREET,E01026439,Breckland 014A,Investigation complete; no suspect identified
bb831e7671f4124fc89d17cfef8b6cff3a30c75eb1ad5aa3c4d93821b4378870,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.723583,52.578487,On or near CHURCH LANE,E01026630,Great Yarmouth 010D,Investigation complete; no suspect identified
a07335eccaa68fd25caff89c399e5653368db59de094aef5bd490368c9aeec1e,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.314070,52.638389,On or near Sports/Recreation Area,E01026806,Norwich 004D,Investigation complete; no suspect identified
ed2ed77e5aaac46eff66bc4fae52313d643957c0d33b358b8f2a85cff102e9b5,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.285114,52.623080,On or near SARAH WEST CLOSE,E01033434,Norwich 011G,Investigation complete; no suspect identified
a6fe5299e6f8215a0e5c8f29971b34dc5d3df5d69c3eb4d984006efccfcf32c7,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.285114,52.623080,On or near SARAH WEST CLOSE,E01033434,Norwich 011G,Investigation complete; no suspect identified
b8e3ad349d8320acdeb9f5b0c4a9688c9f89eb708d2f8f51560462da5a8ea125,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.939975,52.681633,On or near QUEBEC STREET,E01026426,Breckland 005B,Investigation complete; no suspect identified
0726ec21d976ecf9407aa7bdb3f496fd67fe053d51dd71cb2130e23d995be5b4,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.760551,52.424851,On or near SHAKESPEARE WAY,E01026473,Breckland 016F,Investigation complete; no suspect identified
3b74c0e88385ccf950b32e5a2f6a947b202096bdb7e702c573268492fd58c60f,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.713800,52.604906,On or near LADBROOKE ROAD,E01026635,Great Yarmouth 007D,Investigation complete; no suspect identified
c07426799a65905f5748edb3cbf62ee1e764aa5cd03f9a25ac2e687c2e724ddc,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.390022,52.822607,On or near GLAVEN CLOSE,E01026756,North Norfolk 010D,Investigation complete; no suspect identified
0d2426ffc3400f31081b29a64802297fbb68a52b9b9cd8297841eae76332c9cf,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.300215,52.637571,On or near STEWARD STREET,E01026841,Norwich 003A,Investigation complete; no suspect identified
962daf70cef2177cb3358afd9b958963b7e524574acac612aab7fd6a0ef9d707,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.726671,52.584947,On or near GARNHAM ROAD,E01026601,Great Yarmouth 009A,Investigation complete; no suspect identified
b0232855a03290f3545dc7336c96ac6fa68c9694f694e8338696db23c661e967,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.275660,52.632236,On or near ALEXANDRA ROAD,E01026840,Norwich 009F,Investigation complete; no suspect identified
687284ccce6baf450d09d3490f4c6229c1d0df1f2a21198f776c2e4abb899a71,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.688117,52.699811,On or near THE PADDOCK,E01026607,Great Yarmouth 001C,Investigation complete; no suspect identified
