Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9ae2eca77160909e93fb786555227ef027b84e4d4b96fca23c56894b76a78f86,2014-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
e105a69f46ef86f72808e1215ebbe11e00f6af1eafa752db480ee5392a4f47ab,2014-05,Dorset Police,Dorset Police,-1.899494,50.722307,On or near POOLE ROAD,E01015372,Bournemouth 023B,Investigation complete; no suspect identified
0aa87f725872d298c57b13d6a8b8024b4097cee4ef6a0157f50b1ceb94466b25,2014-05,Dorset Police,Dorset Police,-1.830640,50.747326,On or near LONGBARROW CLOSE,E01015340,Bournemouth 008C,Investigation complete; no suspect identified
9dbdd0e1ff684c808f38e5ce047433ac4875dfc7d949fb4802ab7b6e53cea199,2014-05,Dorset Police,Dorset Police,-1.962305,50.742964,On or near SAMPLES WAY,E01015408,Poole 005B,Investigation complete; no suspect identified
4ab89d7a702543ac289599efc4b28dec70210ebed87640bed08192f745a8f7c4,2014-05,Dorset Police,Dorset Police,-1.805708,50.733744,On or near LINGDALE ROAD,E01015362,Bournemouth 014D,Investigation complete; no suspect identified
9e6e652193c02cce1c909535c6fddd3f03fd626a67dbac76e1a8e56a9bde99e6,2014-05,Dorset Police,Dorset Police,-1.872225,50.758278,On or near WIMBORNE ROAD,E01015324,Bournemouth 006C,Investigation complete; no suspect identified
4bb607d1ad740e99cd143c727198084e46a4bd07447fd288a276da3b06b03933,2014-05,Dorset Police,Dorset Police,-1.872950,50.720788,On or near ST PETER'S ROAD,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
c9393cd164f6df6324e71bd1fe6b6d2a084b8e52647ba29659736343f13a28b6,2014-05,Dorset Police,Dorset Police,-1.844770,50.752094,On or near Supermarket,E01015339,Bournemouth 008B,Investigation complete; no suspect identified
87a61309556b0e83aff7723c56da2697e4d8738f2d3bc5ced516bad7171c1b48,2014-05,Dorset Police,Dorset Police,-1.902625,50.756509,On or near NORCLIFFE CLOSE,E01015310,Bournemouth 007A,Investigation complete; no suspect identified
0349ee1b5a78b1e54b1321c92e9b391ecaf2c349e22718d699a11832e41c7f89,2014-05,Dorset Police,Dorset Police,-1.909216,50.757341,On or near CUNNINGHAM CRESCENT,E01015309,Bournemouth 005B,Investigation complete; no suspect identified
6be8bd9d141ab58a2373ef9a222eff1740a5db8d469a64cf752dc172c46c68b2,2014-05,Dorset Police,Dorset Police,-1.975415,50.715873,On or near WALKING FIELD LANE,E01015468,Poole 015D,Investigation complete; no suspect identified
d6bff3cf1ee0f1901a9adc712b0cd83617e14da2987b7da022610472a0e9b712,2014-05,Dorset Police,Dorset Police,-1.917679,50.749137,On or near TEMPLER CLOSE,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
257c88b69aa4d6a561b260b37c4a33d05f7e1cd59d4f9a2ba22853c1b4de830a,2014-05,Dorset Police,Dorset Police,-1.866218,50.721887,On or near B3064,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
1ef3942890a406320ad6a2657503e2c7552de065375121283faeeefe2d61d500,2014-05,Dorset Police,Dorset Police,-1.887927,50.719590,On or near Nightclub,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
0aeab4f622d218a3e6df9edd8a9d72d8a320d600326fd92b83734735bc0b0e6e,2014-05,Dorset Police,Dorset Police,-1.948973,50.686539,On or near PANORAMA ROAD,E01015406,Poole 018E,Investigation complete; no suspect identified
221280f306190514068ebc9e45bc2a7e329f7ef946878544c96c8f65cb142f90,2014-05,Dorset Police,Dorset Police,-1.864612,50.733522,On or near STEWART ROAD,E01015326,Bournemouth 013A,Investigation complete; no suspect identified
1ac8daebd8cd510845aa20fbd14f09ae49a866e02f503ab693c81cafc8f2a331,2014-05,Dorset Police,Dorset Police,-1.968002,50.723713,On or near CHURCHFIELD CRESCENT,E01015466,Poole 015B,Investigation complete; no suspect identified
9991d84d341bd31d971f035d8b388a43273c9f7df4bc09462ffad6474f83cfbf,2014-05,Dorset Police,Dorset Police,-1.968002,50.723713,On or near CHURCHFIELD CRESCENT,E01015466,Poole 015B,Investigation complete; no suspect identified
557ebebe39c18a2e098a6c97865f28ec581d1adc37afc075f9cf9a16463403f6,2014-05,Dorset Police,Dorset Police,-1.891588,50.722983,On or near SUFFOLK ROAD SOUTH,E01033286,Bournemouth 023C,Investigation complete; no suspect identified
8668dc1c5f426490e1b420118f94ec6ea06141b7e9248ff19a7884eb686f152f,2014-05,Dorset Police,Dorset Police,-1.956154,50.713403,On or near TURKS LANE,E01015455,Poole 017D,Investigation complete; no suspect identified
651c1df6b9a61b8b4ba4243bdbef862edc6a75275b1edf9bea579d437c52a5df,2014-05,Dorset Police,Dorset Police,-1.874138,50.721824,On or near FIR VALE ROAD,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
