Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c8a685e1d42d34f3025f158496cad85bf4b7c70e29bebea5e083a50be30f7ca4,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
666a297356fb92c5de7acef3592122ec8e18c176aff78404231b174085984645,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.148158,51.864811,On or near EDINGBURGH GARDENS,E01023447,East Hertfordshire 007E,Investigation complete; no suspect identified
3838618edd20c267ff7210bc78f3f055603e900ce9ad9b5be713af6295bcb602,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.135830,51.861205,On or near STOCKMEN FIELD,E01023448,East Hertfordshire 007F,Investigation complete; no suspect identified
dba22b3f5f290d57cf7d597052606e0b5f2204f95064fd39897421f0993a7e22,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.159879,51.870846,On or near Shopping Area,E01023449,East Hertfordshire 004A,Investigation complete; no suspect identified
ed056e2d6d6fd69632fefaaf56af3f4abbd51372bc9952645af0775013b4ced1,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.166122,51.867153,On or near LONDON ROAD,E01023441,East Hertfordshire 005D,Investigation complete; no suspect identified
87ca5653c4bff24a21310fab28b6efba99212eff44f4b355e95ce11e48079219,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.159879,51.870846,On or near Shopping Area,E01023449,East Hertfordshire 004A,Investigation complete; no suspect identified
b9b6a722899d6779ea239d3b5998b2983506359bbd2314132c4cb4407a48dc9b,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.160260,51.864563,On or near NURSERY ROAD,E01023444,East Hertfordshire 007B,Investigation complete; no suspect identified
bbf9f22b24f00c4027e6a410ff2fd745ed9eb2bd913d4bc1da378e7d48bad25b,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.157509,51.858067,On or near THORNBERA ROAD,E01023458,East Hertfordshire 008C,Investigation complete; no suspect identified
f3d60bc9c71c7483dbf0fa041edf0825ec2144be375d52d01ba6b059bdfebf60,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.132115,51.860041,On or near BLACKSMITHS CLOSE,E01023461,East Hertfordshire 008F,Investigation complete; no suspect identified
7aa05c1837297120305fcd0049320ffcb0de9e6ae25ada17c387951bac0a9c0f,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.138544,51.861471,On or near THRESHER CLOSE,E01023448,East Hertfordshire 007F,Investigation complete; no suspect identified
8277a19934b2a656c34b4d0b6f549145d4e7cb2acbd6cd84b2dfc3d1be6c018a,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.153191,51.871653,On or near JEANS LANE,E01023453,East Hertfordshire 003B,Investigation complete; no suspect identified
