Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67de275f8afc85b5847cfd40adefe3b0358b420050cbb66b1c857d49957a6503,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.404967,52.765913,On or near ESTUARY CLOSE,E01026687,King's Lynn and West Norfolk 007A,Investigation complete; no suspect identified
173e65d888792f0d0d94774f9363e7aac88fc082e124a723ae9b3d27437ab8e1,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.733504,52.421370,On or near HEREFORD CLOSE,E01026467,Breckland 015C,Investigation complete; no suspect identified
2e5242443c18bf3118a6c5fc79630fcc1d91bcd39b3f88d8eaf254ad7b13c384,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.890425,52.671180,On or near MAYFAIR,E01026453,Breckland 004C,Investigation complete; no suspect identified
99f482c2ca8a0c3d1e61709de1772075490c0bedf57cbd9c55ec2980bb10b4d6,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.301440,52.927712,On or near ST MARY'S ROAD,E01026735,North Norfolk 003B,Investigation complete; no suspect identified
0092dba5fe55664c4f4152adcb97b7c6bf622df88494c94df508a48e06459d26,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.023456,52.661222,On or near DAFFODIL WAY,E01026479,Breckland 006A,Investigation complete; no suspect identified
237d9a4e45c4e7e08ca8ca19d8e093d63346a70cbe868435b626ccd9d38c594b,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.736941,52.410122,On or near JUBILEE CLOSE,E01026477,Breckland 017D,Investigation complete; no suspect identified
c3f531efe2fe0cd8c3a52ac6aa7bd3df11bda365d6056b8d62b3a880c90d0db3,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.250239,52.616929,On or near RAMSEY CLOSE,E01026814,Norwich 012E,Investigation complete; no suspect identified
8404f652a5cbf9ded731a3b035e1b26f22176e60c947ec54fa8925709bdf11cc,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.197528,52.648070,On or near WORCESTER ROAD,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
5dbd0a7f74971986c50cb83e36eaa78fc5879755aef74834e3a24071900e24ab,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.285012,52.645971,On or near VICARAGE ROAD,E01026829,Norwich 002B,Investigation complete; no suspect identified
ffc0e02eb0dbe76a3287ea443aa52ae1d2186f25e515ac1b071aa70bc59b2d87,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.743025,52.425943,On or near FISON WAY,E01026466,Breckland 015B,Investigation complete; no suspect identified
9badbaff64ba6e21f669ed63cbcfab71e51cf16dd26d2996650c5a69d81d51c9,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.432066,52.767258,On or near RUSSETT CLOSE,E01026671,King's Lynn and West Norfolk 006C,Investigation complete; no suspect identified
85d84d6fc4384658fe0c6b90788d04390012de54c5ee0b30ee4380bc0de557c5,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.274226,52.652610,On or near APPLEYARD CRESCENT,E01026832,Norwich 002E,Investigation complete; no suspect identified
1d0346fa543aaab7482e4532215344a64ac5be074567cdecca1c8891dc998ef7,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.724344,52.607642,On or near Parking Area,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
