Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3515fbf05c88d99d286d8f3f244d4acf412644de19a995d69d9fddfed2c3b877,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.229782,52.065576,On or near MAIN ROAD,E01030184,Suffolk Coastal 009D,Investigation complete; no suspect identified
f55ec6a0a6d047a885645c1111c427e62f9554e2c6a4dca95671683bcf879db2,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.145967,52.320848,On or near THE CROSS,E01030052,Mid Suffolk 001A,Investigation complete; no suspect identified
cf79210f8b678a7d39a98231913f35bacdb0436201c1b7cb01e70713130d6a0d,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.788391,52.068354,On or near Park/Open Space,E01029922,Babergh 006C,Investigation complete; no suspect identified
5ebccc8508cae89b0caa8ebbc12b66d9eb2a096150455abe153e0f5400ba8dab,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.352286,51.966703,On or near Supermarket,E01030159,Suffolk Coastal 013D,Investigation complete; no suspect identified
a859403944d8c3b97f4f6b2691d02fc6f555d790aaa5955421339d71c75ff067,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.734168,52.465412,On or near ENSTONE ROAD,E01030257,Waveney 008A,Investigation complete; no suspect identified
1d18cc117a2679f8b3ad3b5df1bb1b235199c0039147bada41a5ea81021ea969,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.389477,52.247670,On or near EDINBURGH ROAD,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
4ca37e1137e2f1a31e3a2deb5f174c9d9880c963c6ed50a8d70ef8bcf98a5541,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.750783,52.029849,On or near QUEENSWAY,E01029887,Babergh 008B,Investigation complete; no suspect identified
7857f361f989b9b614b0543f01b49766cad670a4c0cfbb222db138359fb7e371,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.734958,52.452830,On or near Parking Area,E01030272,Waveney 012E,Investigation complete; no suspect identified
c8d63445e2b99950a093da4172493860d4fbf602bf3ba59e898b7f3e1dc6b701,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.114632,52.083203,On or near GODDARD ROAD,E01030031,Ipswich 003E,Investigation complete; no suspect identified
3c13c554c85c025b5ede79c4fa2b8c17eee1652c93a5f2994092edfaa282960f,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.266053,52.057470,On or near HARVESTERS WAY,E01030192,Suffolk Coastal 010E,Investigation complete; no suspect identified
87a0f692a22aee8b885931d0a2660ac031c70ff31483d6b097acc49e80d9ed39,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.154856,52.055348,On or near Bus/Coach Station,E01033125,Ipswich 007G,Investigation complete; no suspect identified
774b65736f83b55516cacfe6ce450a2fc00c0a571543b0b2baefba7cacec7fc3,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.996868,52.183532,On or near LOCKINGTON ROAD,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
10ed83fd187c20e60d5201b0a236df879e300c8bbe52a8971624e95626553c6e,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.726702,52.250449,On or near EASTERN WAY,E01033048,St Edmundsbury 009F,Investigation complete; no suspect identified
2bf23996a62febbe39febbe72e04a2ffcc5b00f457dfc867adea1a7cc9d822eb,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.112941,52.047803,On or near LONDON ROAD,E01030014,Ipswich 013C,Investigation complete; no suspect identified
46145d8ff3ca18a95782ab54bd7c1cbf24ae6631605baf6906bed05dec5d4a2e,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.346398,51.958434,On or near Parking Area,E01030163,Suffolk Coastal 015B,Investigation complete; no suspect identified
8c1dfb2351f2cfceb10219e9d6ccc544c726c6a526f013b9af3c61c5c6fe19e3,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.354760,51.961812,On or near BROWNLOW ROAD,E01030165,Suffolk Coastal 015C,Investigation complete; no suspect identified
255fb67abfb7fd7305f80d93f2e5d9b0fd839feb3acb33e4bd5ea25032dd1bb4,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.172314,52.050535,On or near THE BEECHES,E01033123,Ipswich 011E,Investigation complete; no suspect identified
