Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e887ff9845cf2ebc10980f6586a4ae8cd08268c35800bcb256ac9226664b0a5d,2014-06,Dorset Police,Dorset Police,-1.930114,50.727815,On or near LOCH ROAD,E01015462,Poole 013D,Suspect charged
c23590e712294ab9718c8c60d46be791c939720495e92876df4745e6706d96ae,2014-06,Dorset Police,Dorset Police,-2.457888,50.647862,On or near BEVERLEY ROAD,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
781dff62c72bdf80b2f27ad11173d322cc038cf0c395654c331e1d40ac406577,2014-06,Dorset Police,Dorset Police,-2.453434,50.609804,On or near NEW STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
c27ac9a3f46d6a2c132bd64666a6e041e788b41776683eca6ba5e4bf0db175a1,2014-06,Dorset Police,Dorset Police,-2.454754,50.611894,On or near GREAT GEORGE STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
fb666d66594141022efddae97d4c1b45bcf8a94a64fbbcb63d43ebaa811c6c02,2014-06,Dorset Police,Dorset Police,-2.445889,50.624905,On or near Parking Area,E01020560,Weymouth and Portland 002D,Investigation complete; no suspect identified
f400a8260743f289593b93a4b65eb6469e4cba6c0c3da93530004d62e3ec7069,2014-06,Dorset Police,Dorset Police,-1.920252,50.912038,On or near CASTLE HILL LANE,E01020389,East Dorset 001C,Investigation complete; no suspect identified
4ff85bd1120839a95fd79af74801db4ea1c053bfcd1c7867aaacc7273d5c3175,2014-06,Dorset Police,Dorset Police,-1.966958,50.797641,On or near PARMITER ROAD,E01020427,East Dorset 010B,Investigation complete; no suspect identified
3679b72abc79b4f7e02d6b81b2540bde5417d1be9ce146a7c36e13e01e3de06c,2014-06,Dorset Police,Dorset Police,-2.431355,50.637172,On or near RINGSTEAD CRESCENT,E01020559,Weymouth and Portland 002C,Investigation complete; no suspect identified
232dad6dbdd1306dc9b7821a6bade09796a89e0f302f999d0008f7fce5d3fb95,2014-06,Dorset Police,Dorset Police,-1.752220,50.741107,On or near DRUITT ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
29bfbe5f14dc34dc7b2676d6a6915947467274420b19a834f16ccf0cfd6563a7,2014-06,Dorset Police,Dorset Police,-2.276377,51.041613,On or near Supermarket,E01020443,North Dorset 001A,Investigation complete; no suspect identified
6f2a414963e9d9248f85bfeb0742b3dbc44b3f2bc4f3692dce23eddf81f95bc9,2014-06,Dorset Police,Dorset Police,-2.279578,51.040356,On or near ORCHARD ROAD,E01020463,North Dorset 001C,Investigation complete; no suspect identified
a91e70de387353a3c2d139445c1ef207a4ea3ea94f9da16b4432a4948f1309a3,2014-06,Dorset Police,Dorset Police,-2.760544,50.733645,On or near Supermarket,E01020503,West Dorset 008B,Investigation complete; no suspect identified
94118341d20bf3a3d316bc303118d1f57d12341a0d30ce2e7c29810405aad72f,2014-06,Dorset Police,Dorset Police,-2.160139,50.850096,On or near Petrol Station,E01020452,North Dorset 006B,Investigation complete; no suspect identified
b451c2a409cb9f1d54d6011224fe349c8cdfb7eabf0a8772bf3e51137d34f9cb,2014-06,Dorset Police,Dorset Police,-2.458551,50.749244,On or near WHITEBEAM CLOSE,E01020509,West Dorset 004A,Investigation complete; no suspect identified
4ca51da5410a978ac4cc123cfb401944e915d9cd5660583c470679387e4af452,2014-06,Dorset Police,Dorset Police,-1.858979,50.783334,On or near Sports/Recreation Area,E01020365,Christchurch 001D,Investigation complete; no suspect identified
ba00cea9a3df50a8634bcbbe8f9ad4d73f7dae80a2dd3e28291d2fa9737aa42a,2014-06,Dorset Police,Dorset Police,-2.432559,50.544963,On or near MOORFIELD ROAD,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
2d469a3f34b124bb5b4189e96f8b1709905ef05b3ac966faf0051f169f03d8cb,2014-06,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
849d1439df24017bee95f4e6853f7dd4de1f7c7f7bf6d5b1307bd6036001aa4e,2014-06,Dorset Police,Dorset Police,-1.988695,50.802510,On or near WEST BOROUGH,E01020428,East Dorset 010C,Investigation complete; no suspect identified
35c5952a56394bfd4dff676017c796ef9c6aed43a3d8b9aa83d0f720d612d266,2014-06,Dorset Police,Dorset Police,-2.418382,50.646095,On or near TALLIDGE CLOSE,E01020558,Weymouth and Portland 002B,Investigation complete; no suspect identified
812157b442e2d7288424ebda0d3e45d0655af5abe2353986c12222f46185466b,2014-06,Dorset Police,Dorset Police,-1.782807,50.740340,On or near BEAUCHAMP PLACE,E01020360,Christchurch 006A,Investigation complete; no suspect identified
38f56f138fcf8cc53eb060c58c7a1d60056143f11845b9446b43286abbe0f5e3,2014-06,Dorset Police,Dorset Police,-2.451054,50.621054,On or near Hospital,E01020556,Weymouth and Portland 004D,Investigation complete; no suspect identified
544402baa368c28ab016f9aabae6128ab45f992ec6e9b3f56a1c5974f89a46d9,2014-06,Dorset Police,Dorset Police,-1.753332,50.737278,On or near Petrol Station,E01020346,Christchurch 005A,Investigation complete; no suspect identified
088bc1115c2e6b2d0321c6ffee00e2ccfc22fcd48e6d8ec9b0d92886d681935d,2014-06,Dorset Police,Dorset Police,-2.451234,50.540845,On or near BARLEYCROFT ROAD,E01020564,Weymouth and Portland 009B,Investigation complete; no suspect identified
bb55e03ec95e0a0f4ec1d5f1025c808786bede9f08932474f545f5f16b5d6e9d,2014-06,Dorset Police,Dorset Police,-2.199681,50.639284,On or near B3070,E01020489,Purbeck 004A,Investigation complete; no suspect identified
0857eb7fac603760444aba43b249f88f7f9159fa0b8ccc86bc429cf4c26a0835,2014-06,Dorset Police,Dorset Police,-2.236126,50.842530,On or near NORTH STREET,E01020441,North Dorset 008D,Investigation complete; no suspect identified
33ead1227826f49b1d51ca586bdd34d6e7c896260f26570ad5be744b9d02b25d,2014-06,Dorset Police,Dorset Police,-2.513360,50.957166,On or near ST PAUL'S GREEN,E01020543,West Dorset 001B,Investigation complete; no suspect identified
257a00ffcf8e5926fb69840ecb4ccc029b72c6feb23265dcaaa224fb1758be33,2014-06,Dorset Police,Dorset Police,-1.907412,50.787726,On or near Sports/Recreation Area,E01020399,East Dorset 011B,Investigation complete; no suspect identified
