Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f696d1e08f0e2ff9ad94705354245188ed601c08a60cc7292a63a9cc85e626c7,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.651556,52.508693,On or near NAZER CLOSE,E01026424,Breckland 012A,Investigation complete; no suspect identified
0138ed91730b8de1d6adb5d28f57f64312946c131536a94f8b238627baf237e0,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.744374,52.411658,On or near ST MARY'S COURT,E01026474,Breckland 017A,Investigation complete; no suspect identified
8d763b8a09f99ccdef5f7be4419e6bb1e9e16f0ae008f19c03e86fbed229ebc6,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.182116,52.665096,On or near KESTREL AVENUE,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
e68a1e19751f884f55541d3012051bfa5e2b3a9247dc43755ec2e53868b1f76f,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.329659,52.654824,On or near KESTREL ROAD,E01026560,Broadland 013D,Investigation complete; no suspect identified
afd0f5894a3744f94a76ac79b9fbbdd6e262060f2901239b59e9e8af895395c1,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.260925,52.612987,On or near ANGLE ROAD,E01026659,King's Lynn and West Norfolk 016A,Investigation complete; no suspect identified
3446ceb5078158ba715236ec18eff2453e4beaff340398c77e59444942ceb731,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.292282,52.638826,On or near MAGPIE ROAD,E01026826,Norwich 007E,Investigation complete; no suspect identified
d2638c6ff9e6daafad528ff734bf406547e3824f49936ce1ca91f6c81ba7ad65,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.939802,52.690279,On or near DE-NARDE ROAD,E01026431,Breckland 003D,Investigation complete; no suspect identified
8a49f7244bb547784511a143ed5aa4065ef6d6122928b4c0cef78ecfbe443f81,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.397200,52.757016,On or near CHAPEL LANE,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
d34848e4bde277f89ef654b0962d2bdd9fb439b702234cbd63e79beddfbca23c,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.309770,52.920834,On or near HARBORD ROAD,E01026779,North Norfolk 003F,Investigation complete; no suspect identified
b430f9dc5149d8b516ff67b18d62351e89ed94e8fe222bb80e7cc6b86158eba5,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.545647,52.656808,On or near HORSES HEAD,E01026504,Broadland 014A,Investigation complete; no suspect identified
bf75c049f380217b5c9997c45dd73b4bfdfcc372bdf3ec658981bd25d9a46501,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.423736,52.758212,On or near LAVENDER COURT,E01026693,King's Lynn and West Norfolk 009D,Investigation complete; no suspect identified
e34aeba8e6625f1c5a272a1d75a7b65838b7add11b84326e041c7e2c77e65a56,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.401792,52.753740,On or near WATERLOO STREET,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
c38edb912b4bd21fdc1b0a445203c3af33b7b70b3867858a100e73959431fc51,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.303437,52.630502,On or near HORSEFAIR LOKE,E01033438,Norwich 014A,Investigation complete; no suspect identified
c52177a5349f8d26c21fb8a3dbfb485a3bcce43dec21e8880c8524e415e0e6a4,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.663431,52.566469,On or near MOORLAND WAY,E01026615,Great Yarmouth 012C,Investigation complete; no suspect identified
be571ac80f865141665574683adb2e6cd427f4d87ae444a8de7a8f4def05de26,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.492397,52.748228,On or near Park/Open Space,E01026665,King's Lynn and West Norfolk 012A,Investigation complete; no suspect identified
5ae6c00110a58e8e4950e871b3449b0e7c2af117f481be34aa33e7f7249523af,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.731640,52.601871,On or near WELL ROAD,E01026624,Great Yarmouth 006C,Investigation complete; no suspect identified
0824ef20089ecd07a349c0d3aca2cdb20dae7782fdf8b7d12f7ac40a0fa36f49,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.212913,52.691892,On or near FREELAND CLOSE,E01026563,Broadland 006B,Investigation complete; no suspect identified
f2ea4609c6d0c4219971cf82e5f03191c2683311ef344da233f831c30dec2c60,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.832084,52.565757,On or near CANON CLOSE,E01026490,Breckland 009E,Investigation complete; no suspect identified
6b2434a591faddf3d76fc61d97dff0e430ee553fe8063fcfeed3b230ae9c93aa,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.269692,52.645955,On or near PINDER ROAD,E01026828,Norwich 002A,Investigation complete; no suspect identified
ca8dcd11c2fdd08111d276d4366dc746c5e0ba12609b5ca3e35abb4ce6382e28,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.832084,52.565757,On or near CANON CLOSE,E01026490,Breckland 009E,Investigation complete; no suspect identified
50b36f2fd852d20e5becb1bf6a268d55ece4b3c3247f0c390528fade83fd34d4,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.421039,52.769974,On or near WHISSON CLOSE,E01026670,King's Lynn and West Norfolk 006B,Investigation complete; no suspect identified
c9a2a32df0becc6f4879c983635a4cb864c6de7dc1d1dcd672565ff189ad2bad,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.732069,52.607785,On or near SUFFOLK PLACE,E01026598,Great Yarmouth 005D,Investigation complete; no suspect identified
427ef50ae2553cdbf562b75b0fb467d5ec161af66772ee47ac8e27215fc09620,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.290653,52.933246,On or near RUNTON ROAD,E01026734,North Norfolk 003A,Investigation complete; no suspect identified
8d92858495487212f01890adfb953e17f0991baafe86743d214199bc5d8312ae,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.112248,52.570104,On or near Supermarket,E01026870,South Norfolk 005A,Investigation complete; no suspect identified
1dd94bb152e12a541588e73d2069865702cf826ef24a17cb85134639dc95b8da,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.726090,52.607668,On or near Shopping Area,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
aaa465e7abcfc3e6b3a418afba43fb000b873b93d1cd504584be28ba845216ac,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.375292,52.602134,On or near PRIORY TERRACE,E01033038,King's Lynn and West Norfolk 017G,Investigation complete; no suspect identified
9398bfce80996d61fa9f19387b7ee31374510acf221ea1e50d879775cf39433c,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.309617,52.634439,On or near A147,E01026848,Norwich 015A,Investigation complete; no suspect identified
2eca5e34bb9bb36038944d4e646cd4bf88f6d94ec96e7b0faf826c332c3767db,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.735481,52.607767,On or near Shopping Area,E01026623,Great Yarmouth 006B,Investigation complete; no suspect identified
