Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6669cbfcf35945532a3c2c2fd47aed6016912bdfd387ce0a68f1394df46a0e16,2014-06,Northamptonshire Police,Northamptonshire Police,-1.026732,52.279196,On or near BACK LANE,E01026998,Daventry 004A,Investigation complete; no suspect identified
c6845f387f27536d646068c620b2cf3a3de86d57af092e7672e82f7f1ff2f0c0,2014-06,Northamptonshire Police,Northamptonshire Police,-0.584335,52.431630,On or near A6116,E01027045,East Northamptonshire 003B,Investigation complete; no suspect identified
4fbc803944398802a71b63cc193026e88b7cb77770795bfe6283662ca322da29,2014-06,Northamptonshire Police,Northamptonshire Police,-0.724826,52.394758,On or near THE GROVE,E01027113,Kettering 007C,Investigation complete; no suspect identified
fd8a102a02b5b94715462d8c4a5def3e1a7516608b835cf9d440ffbfc990b6d6,2014-06,Northamptonshire Police,Northamptonshire Police,-0.693586,52.315918,On or near KESTREL LANE,E01027331,Wellingborough 002B,Offender given a caution
170aa85e891381a7bdbfb944cebb20b3f84cf814e7b35d442c1433f0074cc298,2014-06,Northamptonshire Police,Northamptonshire Police,-0.885185,52.253832,On or near KINGSLEY ROAD,E01027185,Northampton 015B,Unable to prosecute suspect
9d3ea238ec4dd9eb5d859904728d7653ff17326fe7ff7f34ae4d6cbb4840c02a,2014-06,Northamptonshire Police,Northamptonshire Police,-0.875496,52.245370,On or near ADNITT ROAD,E01027132,Northampton 022A,Suspect charged
f42c6bec8fea5822065bdfb293d8bf331a41a3e45e8a05cebc2f29403dac80e0,2014-06,Northamptonshire Police,Northamptonshire Police,-0.611181,52.292933,On or near GORDON STREET,E01027065,East Northamptonshire 009D,Suspect charged
b5b39f78d329cfae8ebac3b728ff88a9d1f7a7a859c1f4f1fa97fe380b177f39,2014-06,Northamptonshire Police,Northamptonshire Police,-1.171601,52.263237,On or near BARNES CLOSE,E01026988,Daventry 007B,Offender given a caution
717e6414054e2ff449eff587b14f84fdf7127e5bdc301fe82d3751a28290f9ca,2014-06,Northamptonshire Police,Northamptonshire Police,-0.902144,52.247545,On or near GORDON STREET,E01027154,Northampton 021D,Investigation complete; no suspect identified
821a280e37102e574e484f3142936940c957a53eb53bd443a8b6b1e5c6509ae4,2014-06,Northamptonshire Police,Northamptonshire Police,-1.160689,52.257577,On or near WEST COURT,E01026992,Daventry 007D,Suspect charged
e16f574f7760aa8732882c969fa581f0e08135e8478c89aa4cc61eb5e521e404,2014-06,Northamptonshire Police,Northamptonshire Police,-1.159699,52.273492,On or near WIMBORNE PLACE,E01026989,Daventry 006B,Investigation complete; no suspect identified
73fb77416445670ba6c853a36eef4630c2dae05a3c49ebb5751c0b2edb6084e6,2014-06,Northamptonshire Police,Northamptonshire Police,-0.602154,52.295101,On or near BRIDGE COURT,E01027062,East Northamptonshire 008B,Investigation complete; no suspect identified
50f814e16d263a3426b015e9106e5a427e87da9eb60f5bc71a6beea24e2e39b1,2014-06,Northamptonshire Police,Northamptonshire Police,-0.599034,52.292187,On or near WEST STREET,E01027065,East Northamptonshire 009D,Unable to prosecute suspect
4a678cff8fbe7b18071d67681103baea64c4ac317b97d451d273814eb7f4d333,2014-06,Northamptonshire Police,Northamptonshire Police,-0.716343,52.406003,On or near CAMBRIDGE STREET,E01027082,Kettering 005B,Investigation complete; no suspect identified
b410fc79f2311368e62f3e9d6909cced6fdaed1bce9480b13e448a83820a9188,2014-06,Northamptonshire Police,Northamptonshire Police,-0.985516,52.130008,On or near SUN YARD,E01027301,South Northamptonshire 005D,Investigation complete; no suspect identified
c11ba1be1af49794ffccf6061fe05f6070a782e138feb6ea1f5cf3c347ea3d6b,2014-06,Northamptonshire Police,Northamptonshire Police,-0.704804,52.295462,On or near MANNOCK ROAD,E01027351,Wellingborough 006C,Unable to prosecute suspect
