Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3e2e13b1689934606c342c97036d81d08b439abca4e8dc211f56d1e0d0e0454f,2014-07,Dorset Police,Dorset Police,-1.816692,50.725732,On or near CHESTNUT AVENUE,E01015365,Bournemouth 018D,Suspect charged
d7e5581f74221156753ac3eba9a8f8b5c94ff8e8f450c60a590d8a057eb071d5,2014-07,Dorset Police,Dorset Police,-1.860905,50.726980,On or near Nightclub,E01015288,Bournemouth 021B,Suspect charged
5848170980ecbe0b55ad195a1e341469c088c1d2ccdbc61048f9ab2f4ec36396,2014-07,Dorset Police,Dorset Police,-1.866662,50.760421,On or near WYNFORD ROAD,E01015350,Bournemouth 006E,Investigation complete; no suspect identified
0fca22c1a45a368880437b34720a3837c33e7126fd4cdf05c5ab3722204e8108,2014-07,Dorset Police,Dorset Police,-1.956604,50.731587,On or near PARKSTONE HEIGHTS,E01015440,Poole 011A,Investigation complete; no suspect identified
83f93b6c5e3130e3d9488590f11af9d3d51504c0f73d2fdb81cd47859f68dd15,2014-07,Dorset Police,Dorset Police,-2.450806,50.733915,On or near ELLERSLIE CLOSE,E01020510,West Dorset 004B,Investigation complete; no suspect identified
950525b889777fc09d5a8c3cb3bd81751f3cc217f50bce716b08a3b7cd637eec,2014-07,Dorset Police,Dorset Police,-2.166315,50.849233,On or near BADGER SETT,E01020452,North Dorset 006B,Investigation complete; no suspect identified
b7b663f4d1c18824aa897fdfcd6d6ee5af1095260619bc31992b9462c71bc900,2014-07,Dorset Police,Dorset Police,-2.466249,50.648090,On or near Parking Area,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
45e68ff7ec55f19d9da6aa020fc0b13d138ff49e25ea48638440a23750674007,2014-07,Dorset Police,Dorset Police,-2.508146,50.950291,On or near KNOTTS PADDOCK,E01020542,West Dorset 001A,Investigation complete; no suspect identified
1c43620dd66d62f667f6ad4eb78f50ac687640ab9d2be6a86f904ef3bb324f81,2014-07,Dorset Police,Dorset Police,-1.821172,50.795863,On or near PLANTATION ROAD,E01020365,Christchurch 001D,Investigation complete; no suspect identified
d65d57903b3917b56dac8127ad401f8df2199f439fc4765a7a945878a59384cf,2014-07,Dorset Police,Dorset Police,-2.453699,50.610936,On or near Shopping Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
285e46ee918745668c182ca61972a6369304b2f082c4405bcb27d8b35c28898b,2014-07,Dorset Police,Dorset Police,-2.461649,50.652038,On or near BRAMBLING CLOSE,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
84626f0c19593dafedec3050a12386e3ba389798d8feff37091de648df237282,2014-07,Dorset Police,Dorset Police,-2.117241,50.816722,On or near HIGH STREET,E01020453,North Dorset 006C,Investigation complete; no suspect identified
1d736d013a90274e1d2cb095183d31234cea1ed976ec6c3648f6c9ee29d32034,2014-07,Dorset Police,Dorset Police,-1.863225,50.879307,On or near SHERWOOD DRIVE,E01020418,East Dorset 002C,Investigation complete; no suspect identified
f31d0f48bf9da5c14e1224504b9cebf4466603348bb851397e4f1e57d9aa4eae,2014-07,Dorset Police,Dorset Police,-2.452828,50.614437,On or near Pedestrian Subway,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
3cc6094f6a2b921e7184baf12ea8a4dd4852e93f694d6fef7f8b0d182347f214,2014-07,Dorset Police,Dorset Police,-2.780180,50.835628,On or near B3164,E01020494,West Dorset 003A,Investigation complete; no suspect identified
4ba4daa97e9f45b21899e7ef61166522c0b95c4d7c1b975b5de83073aba44b79,2014-07,Dorset Police,Dorset Police,-2.739019,50.745285,On or near VILLAGE ROAD,E01020498,West Dorset 006A,Investigation complete; no suspect identified
a07d6bf4b2fcf4d6b1f8ff864d67b5435d326ab7fee723f773a66b7a40e10f22,2014-07,Dorset Police,Dorset Police,-2.084312,50.747598,On or near CASTLE VIEW DRIVE,E01020470,Purbeck 001C,Investigation complete; no suspect identified
9b12473e53c63362f6ca2e525bc71355fdf27bfb7ebb79b587d42a93c7da34e6,2014-07,Dorset Police,Dorset Police,-1.903843,50.722248,On or near SEAMOOR ROAD,E01015371,Bournemouth 023A,Investigation complete; no suspect identified
5b19acf5019e26b2a7f0c2f0b9393b65c1bf0067e1d71d097b616d15a27cb493,2014-07,Dorset Police,Dorset Police,-1.806064,50.726470,On or near LEIGHAM VALE ROAD,E01015364,Bournemouth 018C,Investigation complete; no suspect identified
b0ef17ac4e8330d3b9d952704605abc32681e1bfc5d32cccd35cd21375c3883c,2014-07,Dorset Police,Dorset Police,-1.865326,50.736625,On or near KING'S ROAD,E01015376,Bournemouth 013D,Investigation complete; no suspect identified
bd41df5510d6b3a6e125d404194ff431fe25db6d12959f4206b0385f21e0d069,2014-07,Dorset Police,Dorset Police,-1.824927,50.732534,On or near CLARENCE PARK ROAD,E01015276,Bournemouth 016D,Investigation complete; no suspect identified
5e9647b73c4c6311bf7da4e5a3fe4b402ee0f20c3436ab734ae4b0657275e119,2014-07,Dorset Police,Dorset Police,-1.872534,50.722937,On or near Parking Area,E01015287,Bournemouth 017D,Investigation complete; no suspect identified
f85e337270e8f1b03f9cb4322af03aeecec9af235701cfc874f8433dd5054de1,2014-07,Dorset Police,Dorset Police,-1.940819,50.743666,On or near TRINIDAD CRESCENT,E01015442,Poole 008D,Investigation complete; no suspect identified
