Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
48a2c93b82eac3822972b8ee471938ba1f60bacf97eae34fc6956190f874f79a,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.458690,51.756419,On or near COMMONS LANE,E01023351,Dacorum 015C,Offender given a drugs possession warning
0f2fa3e69b0994a5e532f884e775d2be4157f66d681cda7cb4e9ae8409e0c903,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.364750,51.648657,On or near AVENUE RISE,E01023563,Hertsmere 012F,Offender given a caution
e0bf5449965dc1638ee350555c3eec95e0034642c0e8d81a1230dd520ccf589c,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032042,51.714053,On or near CARLETON ROAD,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
9833a252567e933522cc554b987796e904ffba39e0daaf024efcf5814ba0e538,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
fb7a55f30d001880e73ceda24265f9b2d26bff3127a5c38588918f6764d56858,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033919,51.698141,On or near THE BRAMBLES,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
8c864160c8a15256042d3ca9f38f4704ffb333195865f1a6310405c0a394a3fb,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036153,51.705381,On or near CLARENDON ROAD,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
accb034221ba952ff8fff102a85608543ef86236515404af904e2ac5e38db80a,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033715,51.706860,On or near NIAGARA CLOSE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
d2372995f43fe7ca8211f4f0b69faab5d3f8d5e0c5511f558bee8aec411f30f2,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f403deb2643f4e476312f95deb22cad378c7a39201d568fcca894f882d50e057,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044328,51.708782,On or near CHURCH LANE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
695503a68ea9b0ad9395bbec568121faaef2dba686666f36be8a6e506c0df07e,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026614,51.718044,On or near WILLOWDENE,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
33457b10191b492a7b9fdf5974edf7e154763447a42055da5fcc2e2e8e70404f,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
33457b10191b492a7b9fdf5974edf7e154763447a42055da5fcc2e2e8e70404f,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
fb6e2a57bfcb8ae2f25dc7b57e380d3464e51424338cefa766e3b0b54ea06d3d,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.020957,51.685451,On or near QUEENS WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
51f2323169723e2128a0f42ae9265958474844e8d8c714570fc35368048f83b8,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023387,51.703404,On or near Parking Area,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
ea5167f83c6955743cd0f601d1c379696435cabcf5cd2103e0052ff0e4d80054,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025793,51.709290,On or near STAINS CLOSE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
4c4121a20f7117ab18852b4a72d23d3a826bebc585379f1218fc03e82063e89b,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.705470,On or near PROSPECT ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
cd85d14369ffdbe90506eaacce5ccf3f8ac8c1de76ffc1aa0849766eaea2899a,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.705470,On or near PROSPECT ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
