Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9c5e597dcda646cb4520857d8442ce2316639ec89a865ec329731f5f45da49b8,2014-07,Humberside Police,Humberside Police,-0.328600,53.805766,On or near APPIN CLOSE,E01012780,Kingston upon Hull 001B,Unable to prosecute suspect
a7163e9f4f7e26b4b3766b78b2c6977e973746ef7141e0c20fd64e207845f9ff,2014-07,Humberside Police,Humberside Police,-0.353047,53.770579,On or near HEATHCOTE STREET,E01012767,Kingston upon Hull 012B,Investigation complete; no suspect identified
c7b1bd10ec5088530de131c3e06e7472cec84506028e70d26bb06bb748c7f001,2014-07,Humberside Police,Humberside Police,-0.113966,53.557688,On or near PEMBROKE ROAD,E01013234,North East Lincolnshire 009D,Investigation complete; no suspect identified
2ce5cd5f1bdb07a42024dc12d38373a304abcbb724837faa53ad69466cc15569,2014-07,Humberside Police,Humberside Police,-0.112163,53.713657,On or near NORTHFIELD,E01013085,East Riding of Yorkshire 031E,Investigation complete; no suspect identified
ac44b0484d5493a9a7d3ad2bf5d467629b5754aee36bfe6fb55e2446db504a2b,2014-07,Humberside Police,Humberside Police,-0.122955,53.551762,On or near BROCKLESBY ROAD,E01013207,North East Lincolnshire 015B,Investigation complete; no suspect identified
c613123a50674e247199890fcdae50cf4be31f706fde3955b0e79dd57f1e0534,2014-07,Humberside Police,Humberside Police,-0.088985,53.555539,On or near WELHOLME AVENUE,E01013182,North East Lincolnshire 016B,Investigation complete; no suspect identified
7deab75fd7129749dcec9d8936954cf26cd575cc387e15f0d5713edadbd9bfe9,2014-07,Humberside Police,Humberside Police,-0.063205,53.573922,On or near Supermarket,E01013136,North East Lincolnshire 002A,Investigation complete; no suspect identified
9502efb33656fcca354760b5b2895d4d6b3b6fafe4a49d274c55104636a446ce,2014-07,Humberside Police,Humberside Police,-0.353774,53.757816,On or near PEARSON PARK,E01012763,Kingston upon Hull 018C,Investigation complete; no suspect identified
d1d2ae71a39e09592365e3b7faabd13074f64a606a02afc5e0db9ffe86e5520e,2014-07,Humberside Police,Humberside Police,-0.772506,53.834788,On or near SNOWDROP GARTH,E01013024,East Riding of Yorkshire 018C,Investigation complete; no suspect identified
5d3d3e66b251a0354d2af7fc7637c30524a230b1f320139f62f58c6ff7c832f5,2014-07,Humberside Police,Humberside Police,-0.107038,53.560707,On or near CHELMSFORD PLACE,E01013211,North East Lincolnshire 015C,Investigation complete; no suspect identified
589ec268b80d538de2fdb2f9748db8fe1b17479b84f892a72221180a8aa9a7b9,2014-07,Humberside Police,Humberside Police,0.032008,53.723623,On or near FRANCIS AVENUE,E01013084,East Riding of Yorkshire 039D,Investigation complete; no suspect identified
ed7a4d1f0856dbdb3a36c9f1293eec3df0efd01917076e655327ab87e4cef6e3,2014-07,Humberside Police,Humberside Police,-0.093522,53.562093,On or near PELHAM ROAD,E01013187,North East Lincolnshire 008A,Investigation complete; no suspect identified
28dfdb1224e25fa70f23b83de35a06ae85cfed47e819b1d8d8605095801e965f,2014-07,Humberside Police,Humberside Police,-0.192849,54.083089,On or near BECK HILL,E01012948,East Riding of Yorkshire 005C,Investigation complete; no suspect identified
588368940b75d85c072f9fa5477661bd47d904087ff6ea180e6d9b091cc559a0,2014-07,Humberside Police,Humberside Police,-0.136604,53.549656,On or near GRIMSBY ROAD,E01013227,North East Lincolnshire 013C,Investigation complete; no suspect identified
1952ed962070cb1373c14c029c1ab9c28e47d21f167879b53bd1e1dd01a8c2df,2014-07,Humberside Police,Humberside Police,-0.068400,53.567308,On or near HENDRON MEWS,E01013142,North East Lincolnshire 002D,Investigation complete; no suspect identified
d1b76a6c9446e5d0c1651c14539760381bb06944ee65156a1453e344eacba803,2014-07,Humberside Police,Humberside Police,-0.358469,53.763849,On or near Supermarket,E01012868,Kingston upon Hull 015B,Investigation complete; no suspect identified
7910b7d7d4ebce0b658da6341a7c4563f7f83e7cca0d305a84a5e519e3525f7b,2014-07,Humberside Police,Humberside Police,-0.828362,53.557866,On or near WESTGATE ROAD,E01013242,North Lincolnshire 020B,Investigation complete; no suspect identified
f958e2339d0227c0459a900c903658f9248cd45fd010dc87b5a80c034f406138,2014-07,Humberside Police,Humberside Police,-0.090842,53.561241,On or near BROWNS ORCHARD,E01013187,North East Lincolnshire 008A,Investigation complete; no suspect identified
85c54f67ecda702ee997dfd1c9926d1ae40c3e14b3a8c18cde9af7f900507fa9,2014-07,Humberside Police,Humberside Police,-0.096387,53.560161,On or near MALMESBURY DRIVE,E01013188,North East Lincolnshire 008B,Investigation complete; no suspect identified
92efe50a36f75ea2e6580a7d5d7891f6242c8e638d3f35278311fd5a3e7ba9da,2014-07,Humberside Police,Humberside Police,-0.872791,53.707138,On or near FIFTH AVENUE,E01012997,East Riding of Yorkshire 040B,Investigation complete; no suspect identified
20bfbb5776322b9938ad5f71f0e1fcbdf2913b27afd47c2af7419dd10e67cae1,2014-07,Humberside Police,Humberside Police,-0.071346,53.558977,On or near GRANVILLE STREET,E01013161,North East Lincolnshire 011B,Investigation complete; no suspect identified
c7121d308e53ab5fb63cbbdf1ea5f62670163104e19fd9ffa5e5cfc3ecc7d942,2014-07,Humberside Police,Humberside Police,-0.085719,53.565025,On or near EAST ST MARY'S GATE,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
71661b18a27c2fdf329b9a4c958421158d7b7d98fe3caf354e497f9f95e0f2a4,2014-07,Humberside Police,Humberside Police,-0.019801,53.535993,On or near NORTH SEA LANE,E01013166,North East Lincolnshire 020C,Investigation complete; no suspect identified
8f48f446c628a50370878ed383e20f40cf1b9e4a35568f618ee439d78110dd86,2014-07,Humberside Police,Humberside Police,-0.436067,53.752913,On or near GORTON ROAD,E01013117,East Riding of Yorkshire 027E,Investigation complete; no suspect identified
e5ca052f3dfe6e7c802754bbecdea1cee62e41f77bdbf8cec53383fc24d0df8d,2014-07,Humberside Police,Humberside Police,-0.085443,53.565784,On or near Shopping Area,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
00da7643a3b7da3c6447553f25ebabec52b39f43dfb9a5143e9953a035e66e12,2014-07,Humberside Police,Humberside Police,-1.034750,53.686943,On or near PUNTON WALK,E01013077,East Riding of Yorkshire 042D,Investigation complete; no suspect identified
6d99ce4f81a6eb8b4e59a899c27c470faa0226976474c9d3d664406688e0548c,2014-07,Humberside Police,Humberside Police,-0.325106,53.770345,On or near GLEBE ROAD,E01012817,Kingston upon Hull 016D,Investigation complete; no suspect identified
cc531ec04f89d6a983d5b80124e5fe82274b833ecc2ce38fbed1d373124861f0,2014-07,Humberside Police,Humberside Police,-0.088985,53.555539,On or near WELHOLME AVENUE,E01013182,North East Lincolnshire 016B,Investigation complete; no suspect identified
0dd3b85b56a592f598f78929dc08cfc1d7df0adae7182fcdc2a6a613b346cbf8,2014-07,Humberside Police,Humberside Police,-0.124464,53.549745,On or near BRADLEY ROAD,E01013207,North East Lincolnshire 015B,Investigation complete; no suspect identified
ddcefd0ce74e27b6b0c7622f59d78cd968879a4a9587b599a7e68e451380b46b,2014-07,Humberside Police,Humberside Police,-0.101712,53.548136,On or near TORKSEY PLACE,E01013208,North East Lincolnshire 019C,Investigation complete; no suspect identified
2be8e9b0ca9358286ce9a6298e6d678a91254ecb1f85baeeefff1880c2cf44ce,2014-07,Humberside Police,Humberside Police,-0.739213,53.597572,On or near WILLOW GROVE,E01013245,North Lincolnshire 006A,Investigation complete; no suspect identified
a6655792f67e04461712d9819ca07a49561d97502eae4090857b3934cc816f04,2014-07,Humberside Police,Humberside Police,-0.136620,53.561325,On or near DYMOKE DRIVE,E01013149,North East Lincolnshire 013A,Investigation complete; no suspect identified
