Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f2fc4e58fa1ec51165af34da68d5e38954c0a7a1f24915b0641da63b2137ca05,2014-07,Lincolnshire Police,Lincolnshire Police,-0.516985,53.250857,On or near Supermarket,E01026157,Lincoln 002C,Unable to prosecute suspect
cfd442d002c375cca79201ec222a8c046b03b14f4bfe0efdf76a1c6f787aca2e,2014-07,Lincolnshire Police,Lincolnshire Police,-0.499110,52.859058,On or near ROSEMARY RISE,E01026332,South Kesteven 007E,Investigation complete; no suspect identified
351b9a0ad0edd4ab39564fff334d3b8cfec95af1b67b7a0a1b42f49996b0de0a,2014-07,Lincolnshire Police,Lincolnshire Police,-0.516985,53.250857,On or near Supermarket,E01026157,Lincoln 002C,Investigation complete; no suspect identified
992d081592c56e5e5dbe2c8c32fc3e4741f483fcf6bde31b5fe58ec484f00ed7,2014-07,Lincolnshire Police,Lincolnshire Police,-0.752720,53.392656,On or near FILLINGHAM CLOSE,E01026374,West Lindsey 006A,Investigation complete; no suspect identified
a1ed4f20b7384546f4ef82f85d477e4b3e469784862c16a345da2d87e887700c,2014-07,Lincolnshire Police,Lincolnshire Police,-0.596340,53.217738,On or near EGRET GROVE,E01026159,Lincoln 009C,Investigation complete; no suspect identified
358371105c7ee4032c68157fd12bfd4e516a339aa3323ac6ec8d33ca8e8b43c7,2014-07,Lincolnshire Police,Lincolnshire Police,-0.545322,53.221899,On or near ALFRED STREET,E01026132,Lincoln 005A,Investigation complete; no suspect identified
d0258f1d8a50e184918e2865f352186b48ab7acc8f913d2ec51d19d40b31f430,2014-07,Lincolnshire Police,Lincolnshire Police,-0.471915,52.658738,On or near DRIFT ROAD,E01026347,South Kesteven 015E,Investigation complete; no suspect identified
994af0fdecf7ae11c0123f145a66949c65160fa74b2413355c1d6a8f557b128b,2014-07,Lincolnshire Police,Lincolnshire Police,-0.645154,52.909414,On or near WESTGATE,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
7fcb88be656335cbd39bb981415a408b61d1a352f2f31501675bd3f8da158dbd,2014-07,Lincolnshire Police,Lincolnshire Police,-0.335501,53.387362,On or near QUEEN STREET,E01026389,West Lindsey 003A,Investigation complete; no suspect identified
7f997fd2dc3d88d0698b74ca97505fbf4a5a0afa7a3fc6c73ee7b7f2b0b1a68e,2014-07,Lincolnshire Police,Lincolnshire Police,-0.587777,53.183458,On or near Parking Area,E01026218,North Kesteven 014C,Investigation complete; no suspect identified
9e3fcc299626153a09da0e10609caf6c10cd78e97b9ec0db343c66706cc7994d,2014-07,Lincolnshire Police,Lincolnshire Police,0.340983,53.135693,On or near CLIFTON GROVE,E01026095,East Lindsey 014C,Investigation complete; no suspect identified
0278e92d680ac32d7e93cabc3f68aac2540e1306f93e9b442fb54930e0967fc8,2014-07,Lincolnshire Police,Lincolnshire Police,-0.596305,53.188099,On or near NEWARK ROAD,E01032992,North Kesteven 014F,Investigation complete; no suspect identified
87e5a9a0f5cb4068642a7dfd59ac4a07b541812a6d56756ae632632111d482b7,2014-07,Lincolnshire Police,Lincolnshire Police,-0.332694,52.701464,On or near LIME CLOSE,E01026362,South Kesteven 012C,Investigation complete; no suspect identified
8d682338165f8897340ac972d121eea4ea61d9ea4cc61dad69399ab4b6328c20,2014-07,Lincolnshire Police,Lincolnshire Police,0.347688,53.197203,On or near CHERRYTREE AVENUE,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
a3d5db4732a8db305ab5002776b4fddcab2dcd96f91e09f54733c080ff99a087,2014-07,Lincolnshire Police,Lincolnshire Police,0.328059,53.195530,On or near MILL VIEW CLOSE,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
8a02194aa5d7874b7770c475b64a760058da92104ab084dc6d0e8adc46a2fc80,2014-07,Lincolnshire Police,Lincolnshire Police,-0.273349,52.680008,On or near HARDS LANE,E01026304,South Kesteven 014B,Investigation complete; no suspect identified
374912af51de4aa3a8ae50071b140db62fe8eb2a4a178cd14ea266360dfe7194,2014-07,Lincolnshire Police,Lincolnshire Police,0.338516,53.199793,On or near ANCHOR LANE,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
ffb7c50445addd3c401712d166711360548df23b370ce88e2608ae042201ffc9,2014-07,Lincolnshire Police,Lincolnshire Police,-0.376688,52.835961,On or near WENDOVER CLOSE,E01026290,South Kesteven 008A,Investigation complete; no suspect identified
e177dadcb976c8d20aaf90bc2858a522a87ea9e33eacac8da80d2c5c1c367aff,2014-07,Lincolnshire Police,Lincolnshire Police,-0.665896,53.497214,On or near HIGH STREET,E01026402,West Lindsey 002C,Investigation complete; no suspect identified
c7ae1bc129c1cc95bf226c235a58ecbf34f66ea48cdf7f3a5ea1358eed8f3a73,2014-07,Lincolnshire Police,Lincolnshire Police,-0.086464,52.881482,On or near MARSH ROAD,E01026017,Boston 007A,Investigation complete; no suspect identified
829fd26db1fb4e8f4592ee0977020a9f6a37d075b98171b685d1a3f3adf636e5,2014-07,Lincolnshire Police,Lincolnshire Police,0.200261,53.179995,On or near BACK LANE,E01026113,East Lindsey 008D,Investigation complete; no suspect identified
