Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a41640027a79707019e101c6044713deb24fc8057d6551598d313da09f32bbf1,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.215431,52.634922,On or near THACKER WAY,E01033435,Norwich 005G,Investigation complete; no suspect identified
83a8ec989b710ab0d8cd97745a46e7101048033defe81c7bb737aeec2087d016,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.735909,52.604471,On or near Nightclub,E01026626,Great Yarmouth 006E,Investigation complete; no suspect identified
eefcb5b4a15c74fba3d332564bdc7be08ce1166fd8f88eb82833919d2a684167,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.633782,52.708921,On or near SCHOOL ROAD,E01026637,Great Yarmouth 002D,Investigation complete; no suspect identified
a237cf7f76f3f4fcc739d800de79b5e220664d2670381db8dd380ddc26cbfa84,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.399670,52.758549,On or near HEXTABLE ROAD,E01026689,King's Lynn and West Norfolk 007C,Investigation complete; no suspect identified
4e42dc105599dc6cec6b9ed25493bcc62792ff4832c1b75d473e02f79b8c5633,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.279011,52.599380,On or near OLDHALL ROAD,E01026821,Norwich 013F,Investigation complete; no suspect identified
a2bba55e33dc37454b081220251d636e81c2504826a57cfb96a975d5a31c4019,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.284666,52.658905,On or near VULCAN ROAD SOUTH,E01026530,Broadland 011A,Investigation complete; no suspect identified
d09ed9ec9c0e1d3d04247eab81be76fd1cf5bfbba65ea2e63ae48792e11e9509,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.284666,52.658905,On or near VULCAN ROAD SOUTH,E01026530,Broadland 011A,Investigation complete; no suspect identified
25b8bbbc22eb71c138b9b489f4076f0513f74c099c63f052d0da199fab9042e7,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.282713,52.658311,On or near JUPITER ROAD,E01026530,Broadland 011A,Investigation complete; no suspect identified
6fcc3fbf6f75b32670ffac26b15c9ede0feaf949c2c0913ced6506c6dfb2b1f5,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.077387,52.685904,On or near HEATH ROAD,E01026481,Breckland 006C,Investigation complete; no suspect identified
fe3a30b3de99642b96870b62aed26f37f4ed770aa2512632c205daba6415ef59,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.296348,52.638641,On or near WALL LANE,E01026826,Norwich 007E,Investigation complete; no suspect identified
b4783a9a7119cbd9a4a2e5fd1676b47bc5b578963c3c3800f1d463d8d8869a0d,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.416383,52.757652,On or near Petrol Station,E01026666,King's Lynn and West Norfolk 009A,Investigation complete; no suspect identified
5c558ffae364c24d9d15853c8b6a0847f1ad45748fcb4354f2c9bfb2295a962e,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.183506,52.613005,On or near Sports/Recreation Area,E01026908,South Norfolk 003D,Investigation complete; no suspect identified
72bba8b876ef768dd9ef9a6de8cb092d9ebc875e699de7580edeeb14bebd688d,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.396080,52.671617,On or near DAKENHAM CLOSE,E01026579,Broadland 008D,Investigation complete; no suspect identified
6d77bf4409bedfcd6d934ae4f44e84e5a33e5b642aa8909ad2c8783c3d2ad4b1,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.947905,52.685132,On or near LIME TREE CLOSE,E01026430,Breckland 003C,Investigation complete; no suspect identified
ecf7614d83a8c1213651b078eb49e2b66a7608f70c7384fe1d37d3160d8a82de,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.316469,52.632008,On or near MONTCALM ROAD,E01026850,Norwich 015C,Investigation complete; no suspect identified
5cdb62092ce7932e5910274487ee90620feba0227b5b659673bc3c910fc9974c,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.480896,52.538451,On or near BRIDGE STREET,E01026879,South Norfolk 008A,Investigation complete; no suspect identified
df15be81deb4d2db9a427c50c68207be54b89f91eb874c06340cebbc4ffec763,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.091399,52.906038,On or near CHURCH STREET,E01026742,North Norfolk 004B,Investigation complete; no suspect identified
e4f8389f2727aa6ed88c1f680645a0b04f42a9f11ee10fba88d214b516590f5c,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.280312,52.601970,On or near KIRKLEES,E01026821,Norwich 013F,Investigation complete; no suspect identified
bf8db4a51bd35967b212dee6bffc58485e06bbd7a76949f07613806ba1da5652,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.217285,52.649306,On or near OAK CLOSE,E01026924,South Norfolk 001E,Investigation complete; no suspect identified
9beba4b03b88cf75c37ba6bc451d59bd1b16ac94e0186deb054e4cba63bffe89,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.294299,52.398277,On or near WILDERNESS CLOSE,E01026900,South Norfolk 013B,Investigation complete; no suspect identified
e91ddc4384665e261dfd6ff6c9789b7a4d77b815a7d94114d22228072419bc34,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.270243,52.649177,On or near BULMER ROAD,E01026833,Norwich 002F,Investigation complete; no suspect identified
92eb43aa17dd4ba0306aeb79b4b2b2f474d256145dbe9b78e5b78f08eb946506,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.322266,52.738348,On or near GLEBE ESTATE,E01026713,King's Lynn and West Norfolk 008D,Investigation complete; no suspect identified
a5e863e83c7472daa928517a59297945c06c87ca22de20dd28bc74e197919f3c,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.756716,52.427522,On or near Further/Higher Educational Building,E01026472,Breckland 016E,Investigation complete; no suspect identified
9274ff5131c89200b961b9c5a7d2659db6a61ac415ce3b2f0f22e1d5c316eb71,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.297659,52.620311,On or near GORDON SQUARE,E01026853,Norwich 011B,Investigation complete; no suspect identified
424922a1cd932156df871f8e55f37edbbc3c03ba39f86935e0eb865e7987ab42,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.418768,52.748261,On or near DENNEY ROAD,E01026706,King's Lynn and West Norfolk 011F,Investigation complete; no suspect identified
b656ddeea15a38d46e6cfc79d6d5bc564352fed89cdccc364d149f1eaf25c97b,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.212619,52.653049,On or near LADY'S DROVE,E01026685,King's Lynn and West Norfolk 013B,Investigation complete; no suspect identified
e08fe3b680baaef09e8561e2347b5bf4d18f3c44e5108458881867ae55ae9544,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.297058,52.636283,On or near Shopping Area,E01026823,Norwich 007B,Investigation complete; no suspect identified
11a587c404e7e87dc4b515d856369c4217270034acbc4c99edceaa57b16c1669,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.396442,52.753201,On or near BAXTERS COURT,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
cb10bb2fe4b060a3f6236e13507e7d0aa390218cf9fd37cd1069af44a78470c3,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.300710,52.932400,On or near JETTY CLIFF,E01026734,North Norfolk 003A,Investigation complete; no suspect identified
d9e00d48a6084382b8cd22bdbf2dadbd884e0ea9b5f5b8f563035c8c6df2bb44,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.290980,52.627791,On or near Conference/Exhibition Centre,E01026822,Norwich 007A,Investigation complete; no suspect identified
737881391c2cd2d5630f2f6c6724eafbdbc23ac0b783f5f4d6c3a0f2df8809d4,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.431035,52.774823,On or near THE BOLTONS,E01026708,King's Lynn and West Norfolk 005C,Investigation complete; no suspect identified
14642e6a351e76b6f6c496f032e2bab19350b0e98d9c2eb1a5391c21a7ca8d2e,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.108041,52.377118,On or near MARKET HILL,E01026891,South Norfolk 015D,Investigation complete; no suspect identified
ad41854dd43c2fa6cd46753243c234b8b070afb4a7828ab682b3daf9e2b97951,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.443352,52.753853,On or near WAVENEY ROAD,E01026664,King's Lynn and West Norfolk 010C,Investigation complete; no suspect identified
66ab81211d0dd719e55394d4bf52045f979453c9648e1dd88cd30dbf5e9720df,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.499637,52.874581,On or near LODGE LANE,E01026701,King's Lynn and West Norfolk 003D,Investigation complete; no suspect identified
fbf1b8b5e6d437684afc33acba9e18084c18ec72e4f6e81964226cae443eec29,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.830280,52.737999,On or near BURGHWOOD DRIVE,E01026462,Breckland 002D,Investigation complete; no suspect identified
f9b611f181ea5d0da54826b5fab56be57914e72e3a3c55982803d50dce136f9c,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.161657,52.368167,On or near RANSOME AVENUE,E01026934,South Norfolk 014E,Investigation complete; no suspect identified
9a5a78b00dfbd726feca8d977abf5d1802e5c0b5355513995986a7e7cf212bc8,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.288447,52.640525,On or near DRAYTON ROAD,E01026831,Norwich 002D,Investigation complete; no suspect identified
4da2f006ba88e3ebbd2b4f28aa0598d5f11a6e9ce9e59f332de5c20f61b65b3a,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.480896,52.538451,On or near BRIDGE STREET,E01026879,South Norfolk 008A,Investigation complete; no suspect identified
