Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
de50b1945de75e69ef70be88f062452ac579dc49667f6d0dda574e7b7f6052c1,2014-07,Northumbria Police,Northumbria Police,-1.371689,54.897960,On or near ATHOL ROAD,E01008735,Sunderland 016B,Suspect charged
de50b1945de75e69ef70be88f062452ac579dc49667f6d0dda574e7b7f6052c1,2014-07,Northumbria Police,Northumbria Police,-1.371689,54.897960,On or near ATHOL ROAD,E01008735,Sunderland 016B,Suspect charged
de50b1945de75e69ef70be88f062452ac579dc49667f6d0dda574e7b7f6052c1,2014-07,Northumbria Police,Northumbria Police,-1.371689,54.897960,On or near ATHOL ROAD,E01008735,Sunderland 016B,Suspect charged
bd286b8230528827e5b1ff4e9d41b691b0a7a32dc671db81be48e88508a3f41a,2014-07,Northumbria Police,Northumbria Police,-1.443135,55.029104,On or near DEEPDALE ROAD,E01008493,North Tyneside 013A,Suspect charged
57937a219c493b232b7e22fd0290a64acddf4aa7a13313110a5d7091b9c62bfe,2014-07,Northumbria Police,Northumbria Police,-1.435223,54.906287,On or near PHOENIX ROAD,E01033076,Sunderland 012F,Offender given a drugs possession warning
df7c8a1e0c29db331884556a20d7251e0ded82cbd54e9be5a9ae1abc065087b3,2014-07,Northumbria Police,Northumbria Police,-1.424158,54.987643,On or near ADA STREET,E01008668,South Tyneside 002E,Offender given a caution
f6336851081ea712348c392977fcb455c030bf11a4f2f440b7b11041c54abfaf,2014-07,Northumbria Police,Northumbria Police,-1.682542,54.972200,On or near DARLEY PLACE,E01033547,Newcastle upon Tyne 025E,Offender given a caution
4de7acfc00540e124da6460971e9d356b181da37524fb2aa4733210f7d5c6d3f,2014-07,Northumbria Police,Northumbria Police,-1.379052,54.892714,On or near THE CEDARS,E01008740,Sunderland 022A,Suspect charged
4de7acfc00540e124da6460971e9d356b181da37524fb2aa4733210f7d5c6d3f,2014-07,Northumbria Police,Northumbria Police,-1.379052,54.892714,On or near THE CEDARS,E01008740,Sunderland 022A,Suspect charged
4de7acfc00540e124da6460971e9d356b181da37524fb2aa4733210f7d5c6d3f,2014-07,Northumbria Police,Northumbria Police,-1.379052,54.892714,On or near THE CEDARS,E01008740,Sunderland 022A,Suspect charged
