Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0a5dbcb97132a405b97cfa17050f3d4e8ddeebc1aaf1d750a0465e75db51b3d1,2014-09,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
53a72725a96f60b0629be7fe2e32bb74e39157ca6cd1e2a56efac051f7bb667a,2014-09,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
afe2bd7f65cf6c827f06273ee27e026211b8e8ca28cdf06e1cb4c424ec9b8b3c,2014-09,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
6c403e99a5ba5d6a86782db36e0fd1888a90d1ded6ed0a0662c575b5f0023d7b,2014-09,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
52a326fda39a8a3cd06324e704f373091278bc85e34d466824e744e51cd1249e,2014-09,Dorset Police,Dorset Police,-1.804137,50.743391,On or near OAK AVENUE,E01020366,Christchurch 002E,Investigation complete; no suspect identified
7e66932f12f8a11693690fa2ecc517f20a2acf0b9b5f84ce231c21f45606fce9,2014-09,Dorset Police,Dorset Police,-2.435590,50.714287,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
ae65bdf1f9f82a51178d119cffd32a45384672875d47798e523380ff822c9def,2014-09,Dorset Police,Dorset Police,-2.027100,50.737931,On or near Supermarket,E01020473,Purbeck 002C,Investigation complete; no suspect identified
bfcf7245647ff9239ded0eb26226a25e7ee80ace23a5760ccb2383df0524ab8b,2014-09,Dorset Police,Dorset Police,-1.854334,50.872435,On or near ROSEBERY CLOSE,E01020419,East Dorset 002D,Investigation complete; no suspect identified
ecc006fcb5850aec04e57dead490ffdd35427586f6edf72509571e836ee612fd,2014-09,Dorset Police,Dorset Police,-1.878579,50.883631,On or near CORONATION CLOSE,E01020420,East Dorset 002E,Investigation complete; no suspect identified
95e4c8e97e8fa900cc42d35844fcb9f829b25acbb30faf2a7d55fee738a9baa9,2014-09,Dorset Police,Dorset Police,-1.779269,50.736368,On or near Nightclub,E01020368,Christchurch 006E,Investigation complete; no suspect identified
4345c93bc8359105ee7d0b09fc4fa15070f55c9793a29d5b80303628a054abb2,2014-09,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
ce7f62088559ec8fea8422b65a7c0e180da8838db2e10aa26729e1ba2b6bfbaa,2014-09,Dorset Police,Dorset Police,-2.453203,50.618114,On or near LENNOX STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
bbd64c3e17d0e6c101cc81feeff952b9cd07ecfa14d5634756cf817e10c63e14,2014-09,Dorset Police,Dorset Police,-2.196293,51.006013,On or near HIGH STREET,E01020454,North Dorset 003A,Investigation complete; no suspect identified
538c491822a15da2ceca5f5754a845e50044d7124c254867366ee58aba2c7289,2014-09,Dorset Police,Dorset Police,-1.838026,50.829277,On or near Motorway Service Area,E01020406,East Dorset 004D,Investigation complete; no suspect identified
7f74b4050b197c25578deb4bc6aef7df688277f38a31819d7c10fd022955b1e3,2014-09,Dorset Police,Dorset Police,-1.763910,50.735897,On or near PUREWELL,E01020364,Christchurch 006C,Investigation complete; no suspect identified
faa62996d9c35b1e8637cf23aed26af7fd47d8d3406aba4afbe48322938fc14b,2014-09,Dorset Police,Dorset Police,-2.479589,50.610769,On or near EAST WYLD ROAD,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
77e7cdd8666b29efc2202548ae2a5e771a3ed9c1d9e54f0baa7f465f321a3f78,2014-09,Dorset Police,Dorset Police,-1.954428,50.607621,On or near Nightclub,E01020481,Purbeck 006D,Investigation complete; no suspect identified
0cd5f593184e3dd7fbe4f67c5ad29eb835cb70ad15011ef2367539e72015fead,2014-09,Dorset Police,Dorset Police,-2.410824,50.718388,On or near NEWCOMBE LANE,E01020509,West Dorset 004A,Investigation complete; no suspect identified
dbdec9a71047ffdd08c6042c688df66423c09507f63832c366a801bf7a0bf59d,2014-09,Dorset Police,Dorset Police,-2.474757,50.661419,On or near CHURCH STREET,E01020570,Weymouth and Portland 001C,Investigation complete; no suspect identified
f4fa514b5154a2759481abfe4604245d91640e04c57b9f460236def0724b8df8,2014-09,Dorset Police,Dorset Police,-2.437849,50.713523,On or near TRINITY STREET,E01032644,West Dorset 009H,Investigation complete; no suspect identified
2e33dd8d74f708d61801c8bbbd7e91c359c188b8cc633bbeec0c6f35d16fd7b9,2014-09,Dorset Police,Dorset Police,-1.761103,50.733356,On or near BALDWIN CLOSE,E01020364,Christchurch 006C,Investigation complete; no suspect identified
085ecf299597ef060097ba6fd3b019e12be276a4140e5e4ba7943bc871685dd0,2014-09,Dorset Police,Dorset Police,-2.516046,50.946372,On or near HALF MOON STREET,E01020546,West Dorset 001E,Investigation complete; no suspect identified
231a5815767004a34b1322e67018558937ca628f303918b20c26af5a1a71564d,2014-09,Dorset Police,Dorset Police,-1.761103,50.733356,On or near BALDWIN CLOSE,E01020364,Christchurch 006C,Investigation complete; no suspect identified
ffb2ff3f60e5f9dd6bb531c48aa6116cac2c3315c77a59b87f821256ee4c576b,2014-09,Dorset Police,Dorset Police,-2.454381,50.614207,On or near ALBERT STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
c2e6f5e8647ec85ee944b0498ea9eea8da4ade6b2b151ec62be8796d190f86cc,2014-09,Dorset Police,Dorset Police,-2.307288,50.923332,On or near DURRANT,E01020459,North Dorset 004E,Investigation complete; no suspect identified
2754782511d3781d79d1bf88304fc684910146d579d487b31e7aacaff6464ea5,2014-09,Dorset Police,Dorset Police,-2.088979,50.898597,On or near SOUTH FARM CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
ab4a88f813450909b8fb5171be6d8d641eecc18190db3732d14443308442d70e,2014-09,Dorset Police,Dorset Police,-2.220479,50.753193,On or near OLD BARN ROAD,E01020465,Purbeck 001A,Investigation complete; no suspect identified
92391ba50dab085e8b3dabd9e65651e991b1466c88d427d73f4fd1e106f2216d,2014-09,Dorset Police,Dorset Police,-1.984141,50.799209,On or near Sports/Recreation Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
b461c895439ce126940ede4c633646ef65b978f3b6154edb2db08e0f1a505c18,2014-09,Dorset Police,Dorset Police,-1.854334,50.872435,On or near ROSEBERY CLOSE,E01020419,East Dorset 002D,Investigation complete; no suspect identified
b753d94377926b363f6277da9e4f700039a7f744c8a02da1914a1137ff9ae3c3,2014-09,Dorset Police,Dorset Police,-1.985545,50.800153,On or near CROWN MEAD,E01020428,East Dorset 010C,Investigation complete; no suspect identified
fdbeb67d475e504c1321df9d1717ef7b1c6bc34eef6004b7606204bcc17cb41d,2014-09,Dorset Police,Dorset Police,-1.860918,50.813740,On or near THE PADDOCK,E01020405,East Dorset 004C,Investigation complete; no suspect identified
f89a60c71c213e142e992bcd927ad5567375502868ec3a4044a035a8da1a67be,2014-09,Dorset Police,Dorset Police,-1.903931,50.804404,On or near Sports/Recreation Area,E01020408,East Dorset 009E,Investigation complete; no suspect identified
a8fecfa0a5225ecd1a81d9068bec88d76b6a7707f404f4dd6906f7f92cf3cc61,2014-09,Dorset Police,Dorset Police,-1.963356,50.612741,On or near RABLING ROAD,E01020479,Purbeck 006B,Investigation complete; no suspect identified
5418ac802442e1d99f6e825335b6771a32a1117b1fd47b24fe6cbbecf29a7e80,2014-09,Dorset Police,Dorset Police,-2.332727,50.693808,On or near AIRFIELD CLOSE,E01020538,West Dorset 011C,Investigation complete; no suspect identified
e615fefc0ea139de8a6e4f54fdb1688fd650e53bfde36626d022471c050c65cd,2014-09,Dorset Police,Dorset Police,-2.088979,50.898597,On or near SOUTH FARM CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
5dcebdf8b819938fc0a0bb1d14d8a7e9939ec3f37754e8b8aed743a45b6038e0,2014-09,Dorset Police,Dorset Police,-1.954428,50.607621,On or near Nightclub,E01020481,Purbeck 006D,Investigation complete; no suspect identified
104902269696c6f30fff18f8b3be9ab923597e38da71d38b0b8bb4e68b852795,2014-09,Dorset Police,Dorset Police,-1.800766,50.742908,On or near Petrol Station,E01020351,Christchurch 002A,Investigation complete; no suspect identified
74f53339bb88c57b4630a94fb10bb2ec8de11167995cd7fbf66f6e145da432c3,2014-09,Dorset Police,Dorset Police,-1.892288,50.800716,On or near SPINNEYS LANE,E01020392,East Dorset 008C,Investigation complete; no suspect identified
ba91f8af2d80bec05858f781036a0a5d000982486b140c145de73b1878ef772a,2014-09,Dorset Police,Dorset Police,-1.872236,50.874353,On or near THE GROVE,E01020416,East Dorset 002A,Investigation complete; no suspect identified
ad5bcd79ab91ad0350d037bd40232f0e11aa52860232ec9e6abdbc3ec3a4369c,2014-09,Dorset Police,Dorset Police,-2.388499,50.677224,On or near LITTLEMEAD,E01020505,West Dorset 011A,Investigation complete; no suspect identified
c3273727ba32aa94e083e10a6463b4a6aa812e749ff45d17500eb84ac7be5115,2014-09,Dorset Police,Dorset Police,-2.331491,50.693218,On or near EMPOOL CLOSE,E01020538,West Dorset 011C,Investigation complete; no suspect identified
d726e23139b8d9c30d0367797a5c3d672d4f79e6cc1dbb1b52f9e555fb3bca2a,2014-09,Dorset Police,Dorset Police,-1.845774,50.912656,On or near HIGHWOOD CLOSE,E01020389,East Dorset 001C,Investigation complete; no suspect identified
a43f74ceafcb709c0e867b958337bfdffa5ddef6a94112b3af06991eab8b1eb8,2014-09,Dorset Police,Dorset Police,-2.496205,50.743127,On or near SAWYERS LANE,E01020529,West Dorset 004C,Investigation complete; no suspect identified
222a24ed35029911a18fede7261844499ae3aed8c0ce66ee92a50064da8fe683,2014-09,Dorset Police,Dorset Police,-1.756894,50.736315,On or near Supermarket,E01020346,Christchurch 005A,Investigation complete; no suspect identified
ec9bc6431f5cfd1f5ae609f16da4f6d7e648676c30df4c54040dab986a1339b6,2014-09,Dorset Police,Dorset Police,-2.445678,50.560795,On or near SEA VIEW,E01033200,Weymouth and Portland 008E,Investigation complete; no suspect identified
94d6cf2bb879c78857d8ef615e05e85f5849c072a61cab83baae69038910aa93,2014-09,Dorset Police,Dorset Police,-1.762122,50.736496,On or near THE BUTTERY,E01020364,Christchurch 006C,Investigation complete; no suspect identified
383fbd26f1d978686059f2812d771cacc91d5e09f42ea553e7657eee45811868,2014-09,Dorset Police,Dorset Police,-1.800766,50.742908,On or near Petrol Station,E01020351,Christchurch 002A,Investigation complete; no suspect identified
40481475c7efdbb850daf8d85bac7091b883819e97c8edc36fa0b41be2b847fd,2014-09,Dorset Police,Dorset Police,-1.973670,50.822552,On or near FURZEHILL,E01020398,East Dorset 005B,Investigation complete; no suspect identified
77f03cebf8b3a057feca4dd4f1138513cdf3e022e4ea1111037085d23fd4815d,2014-09,Dorset Police,Dorset Police,-2.041325,50.735643,On or near BEACH ROAD,E01020474,Purbeck 002D,Investigation complete; no suspect identified
c124a8730bc8e67ab762ee347fd70ccce6a1dfe75fda6b9e5517b02e91ac9b4f,2014-09,Dorset Police,Dorset Police,-2.458149,50.618032,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
611e43dceb19e43d749eeee013b49cbebee22679c717e8e6f35c160dd5d759d9,2014-09,Dorset Police,Dorset Police,-2.484158,50.604248,On or near FREEMANTLE ROAD,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
d1ab8504ff6ba106a73641d3978c41c530d9540d97f4da305860164944c6c260,2014-09,Dorset Police,Dorset Police,-2.044290,50.753429,On or near MAYLYN ROAD,E01020472,Purbeck 002B,Investigation complete; no suspect identified
05633d83d60cb4d5ddfa151475bae5a2bfb0da3ca012cb39ca34fa11bb2d2629,2014-09,Dorset Police,Dorset Police,-2.162848,50.857008,On or near THE TABERNACLE,E01020438,North Dorset 007D,Investigation complete; no suspect identified
