Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4de3ba731de25a1a169afaee9cf3d31b74c2facebdfc4fd7465e5613c978da24,2014-09,Essex Police,Essex Police,0.435394,51.574423,On or near MARKHAMS CHASE,E01021289,Basildon 016C,Suspect charged as part of another case
8f214145228d885eb8760560303328d519db162ac202abc162f425d2aed468bd,2014-09,Essex Police,Essex Police,0.454697,51.583653,On or near CHESTER HALL LANE,E01021268,Basildon 015B,Investigation complete; no suspect identified
e72008d76be9ab77a3f63b2b40fb39facb34c6b983bda7ece95e2dad5f0e59da,2014-09,Essex Police,Essex Police,0.283224,51.475413,On or near FLINT STREET,E01016012,Thurrock 015C,Unable to prosecute suspect
c8adfc432843f02b5cb4251d4046d8dad032c89ead4a032e604ba5f6689761bd,2014-09,Essex Police,Essex Police,0.095787,51.770176,On or near TERMINUS STREET,E01021872,Harlow 007E,Investigation complete; no suspect identified
aac26c40759febf5a0e15c46984c6dfe987d4b2c1025cfef979f668701c16110,2014-09,Essex Police,Essex Police,0.786205,51.545876,On or near KINGSTON AVENUE,E01015878,Southend-on-Sea 013C,Unable to prosecute suspect
60dbee0e08a0ac8c312d37f03dae7415196b5f2b3bb3d09fb2f28a1331f32050,2014-09,Essex Police,Essex Police,0.099011,51.752817,On or near SOUTHERN WAY,E01021858,Harlow 010B,Unable to prosecute suspect
5315d37506b4052d86ffd92da23f47936cba8404dbd9fd16dfe10a19af08f3bd,2014-09,Essex Police,Essex Police,0.983997,51.924537,On or near MARY WARNER ROAD,E01021972,Tendring 005B,Unable to prosecute suspect
349de5c83cbf1c41208132c8440ad5b1e9a6ff681219c88d44473bf4c870495e,2014-09,Essex Police,Essex Police,0.616202,51.586368,On or near JUBILEE ROAD,E01021951,Rochford 008B,Investigation complete; no suspect identified
cfe4882e9668af6ab033544e4af6b9141ef87475ce3421bb44077897feef0ee3,2014-09,Essex Police,Essex Police,0.736645,51.546161,On or near CENTRAL AVENUE,E01015887,Southend-on-Sea 009E,Unable to prosecute suspect
ed06f9b62e8039911c30a97a7408f2d56a921dcf2eb10673fb12b9af9d053d10,2014-09,Essex Police,Essex Police,0.660275,51.680141,On or near HOWE GREEN ROAD,E01021903,Maldon 007G,Investigation complete; no suspect identified
cfa8c306c221e5b1171a0febe5d6f360072bfc21061c793437071316fc91618a,2014-09,Essex Police,Essex Police,0.428691,51.576748,On or near WALSINGHAM CLOSE,E01021289,Basildon 016C,Unable to prosecute suspect
2919e393acfe72d0af5e3b87574b1f1349d18cc4d6992a210e58becca424884c,2014-09,Essex Police,Essex Police,0.468551,51.601933,On or near CRAYS HILL,E01021260,Basildon 009D,Investigation complete; no suspect identified
b70712e128a956b4bd1bdc4be89f0aafdb45bc427f78e0b866443d760dda265b,2014-09,Essex Police,Essex Police,0.522029,51.600913,On or near MURRAY WAY,E01021344,Basildon 008D,Unable to prosecute suspect
c26648f1b8eecffe9b3c587d4023986643aeb8d0a50bd83de0e9d6755cb489ad,2014-09,Essex Police,Essex Police,0.902992,51.876794,On or near KING GEORGE ROAD,E01021642,Colchester 018F,Unable to prosecute suspect
e045bec7e035685dcaaf5a6dbb46f23a52684ec8f54be2a71cca594681dcc888,2014-09,Essex Police,Essex Police,0.636239,51.600048,On or near HILLSIDE ROAD,E01021941,Rochford 003I,Investigation complete; no suspect identified
cdb36470890226670e0d7d7c514ed5428510e114350b515571292a74d80a39cc,2014-09,Essex Police,Essex Police,0.579366,51.515353,On or near AZALEA MEWS,E01021502,Castle Point 011E,Investigation complete; no suspect identified
072990e47a6c9433fbea8156de6f52a839fd717bda7a597ee504d6d0e1cbe0a1,2014-09,Essex Police,Essex Police,0.040103,51.632555,On or near THE DRIVE,E01021747,Epping Forest 015F,Investigation complete; no suspect identified
