Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
383f4956a7d5e8fdc2325873bae826c08a31c0fd7fd37164459f3614a5a3d54b,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033877,51.689094,On or near A121,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
db78fa8fd09e29be81406df578322f711dfde1b976948b73236bd8ce5bbcd833,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.093492,51.708906,On or near PEMBROKE DRIVE,E01023313,Broxbourne 007C,Investigation complete; no suspect identified
e18ae24aab3c70d5cdc0f07449b4306285eb2d99f9d91e5f22abf2f9ae117b21,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031814,51.694302,On or near SPRINGFIELD ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
ae3107fd666f13c89aedb34eb7d5386534449d60307b40963b643ede560842f3,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044776,51.707458,On or near DEWHURST ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
afddc9fef7e1900e907ddcb431dc9727d2d77f731fecd82a258c1d7e64f050c6,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.068591,51.720235,On or near HAMMOND CLOSE,E01023308,Broxbourne 006B,Investigation complete; no suspect identified
14f5c2689750266b2f51c04b74af1b0e32928569da4c7291ebfb761fd07f1bd0,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
324359b67db9a24f1aa92b304024aa6ee5c66c1c236473afb17d38f26c8280f7,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036003,51.712186,On or near COLLET CLOSE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
d497f8de67deb86310b0632a4110c3a938437f742222c936009abaa0966f755d,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036426,51.690045,On or near CEDAR AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
80e6170568448b28fdbf1e266268abf7a79b889b6247ff2fce3bf9d69e4314f6,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035114,51.699303,On or near WALNUT TREE CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
545d53e3ff43c8a3a57e984f79e5a9b307adcc72caa256c8ebaed453e696bb45,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025955,51.691614,On or near TRINITY LANE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
fdef47a0c9a1266f0dbb39a2ec04e5813ca0dd2dc6617bdc1633b7403c500d7d,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.067642,51.721451,On or near SICKLEFIELD CLOSE,E01023308,Broxbourne 006B,Investigation complete; no suspect identified
0fbf727d45631a8868b1d7695095abe3e12d9b9c069fdab8695deb133d473fa9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031814,51.694302,On or near SPRINGFIELD ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
12d2903f162b272558fd2eac332860f65e28c097237ae5b5f40fdbd04191a42a,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.081319,51.716783,On or near CROUCH LANE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
a4509360c2eb9f8a79ed27fc95e456c48cb326a65f58e1723cc82493873a4782,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.086527,51.710358,On or near Supermarket,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
3f9cafcb6443af1851c713c59f6792f67bc613d20b4aee438783658803ff3c96,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037026,51.686880,On or near PARK LANE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
c30ee733e89798960f118a5a2f5b37ae410fbd0c32a18e3cbb7dc5795caf1223,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032834,51.708482,On or near Sports/Recreation Area,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
06ed176f17bea0523d6443eb820309b8fc706bd1005b0cf907c18d47c269f751,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035772,51.684440,On or near SEAFORTH DRIVE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f184c30bd3ba3c85d28a2d37006085049db1b258c104694aa3e798e5338772b2,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
0d17344cb88a49fdf9ba88559240a5257898260436c7b67ac32ab429a18d856a,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
f292dc7b9cb80b01d356bfa40cccda4c8184a014d3410a225cc1c87111b31f4a,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
c188571fba57d807304bb7fa9fff59d308d98d328fbfb9bbea912834b85d3c50,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.063167,51.716054,On or near PEAKES WAY,E01023324,Broxbourne 009B,Investigation complete; no suspect identified
40f60fffad98740e5383eefc8584500468f7f5379c7ebb03d2b8ae538bc30dfc,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033919,51.698141,On or near THE BRAMBLES,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
