Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
143919cd1b6596368c09a4e8be8b1a9992abcde5ac42e9cb4769c7cedafb2127,2014-09,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9c6d6444e49f2264905d51ecf338fb61c224188be92e33a0b4aa3d3465bb1253,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.754569,52.422095,On or near FAIRFIELDS,E01026472,Breckland 016E,Investigation complete; no suspect identified
3febd9fbac2b4dc091897a376941df4fb7868b249cd5f5d177af58e2f3ee82f5,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.306904,52.637465,On or near HASSETT CLOSE,E01026848,Norwich 015A,Investigation complete; no suspect identified
ac072b21043a7ee4cd2bf67fa2e16825a2842624dd14a0c7128832c72172a109,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.400251,52.761037,On or near SIR LEWIS STREET,E01026689,King's Lynn and West Norfolk 007C,Investigation complete; no suspect identified
3be4490c140a2212f60178b7459e0998b1b50e80de5f110547c4c6bb11d6daf4,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.745603,52.416063,On or near ST NICHOLAS STREET,E01026468,Breckland 016A,Investigation complete; no suspect identified
19979ad3136d437d732d230b54439cd7831ad5f7b8abd86387ac67e8d10ea406,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.221792,52.645649,On or near BRECKLAND ROAD,E01026917,South Norfolk 001B,Investigation complete; no suspect identified
42a86c4ba1d582cec41da5947024f7a35387d20c8f2cce86c77dde274bd8cb97,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.253411,52.796261,On or near WHITE HART STREET,E01026499,Broadland 001A,Investigation complete; no suspect identified
fce668f517f8a3bd8435fc67fbb14e3a3ee7224bd5016d845ec1fef212ecf6a8,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.399702,52.707183,On or near NOBEL CRESCENT,E01026580,Broadland 008E,Investigation complete; no suspect identified
cdf81263a7be1457d7f172319183632037fb4c8668428dbfdd851e2ee8ef12de,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.221052,52.618086,On or near Hospital,E01026883,South Norfolk 002C,Investigation complete; no suspect identified
70afd8cdc109433373627eee115c9142ebe781195b4008d3356089398387d98d,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.295646,52.618695,On or near SOUTHWELL ROAD,E01026853,Norwich 011B,Investigation complete; no suspect identified
6b9980ff201cf128fad9c0fddd86ff0c22bb987eea668b7861a9b7f00cbe6568,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.132631,52.398754,On or near DURBIDGE'S HILL,E01026874,South Norfolk 014B,Investigation complete; no suspect identified
2f9e74f6e41cc17d4206c4cf79b9a0fd312e4e6a24d0a6c14f95388823dc5756,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.222596,52.731487,On or near BRICK KILN ROAD,E01026535,Broadland 004C,Investigation complete; no suspect identified
d3e4601e44ff096599f1f184cf7f96cce7658035dfa21f7e1e93d15f4c0c3ac5,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.362857,52.634747,On or near IRETON CLOSE,E01026574,Broadland 016A,Investigation complete; no suspect identified
bcd9e5b59156b16a9072077e053783966d17097ee2490f4c6ca71a2162b0e365,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.559786,52.479807,On or near YARMOUTH ROAD,E01026898,South Norfolk 010A,Investigation complete; no suspect identified
641a2b85e73006a52d634a35b9699327af9a27d86487cdae2029f0b5bac01a52,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.291570,52.635653,On or near Parking Area,E01026826,Norwich 007E,Investigation complete; no suspect identified
30d8fbba93038e2975c5377e5eeca3644f8b24af154c863c12cf53baac28e00f,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.278909,52.645241,On or near BERNERS CLOSE,E01026829,Norwich 002B,Investigation complete; no suspect identified
dd1f918b5d5d1f1c6be79a309d7eafc7b4eb2aab819544584b92bc26cee7bb2a,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.160358,52.651397,On or near GARNETT DRIVE,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
