Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
464a3442adb7e7801d4b3f769f22efd508c9ae5ba283fb4999cc53d56be93593,2014-09,North Wales Police,North Wales Police,-2.998642,53.210174,On or near EAST GREEN,W01000332,Flintshire 009A,Suspect charged
09825ed4d697139ea446b92d971084b94b385903301e6ca080f152056975abb0,2014-09,North Wales Police,North Wales Police,-3.417474,53.325910,On or near ST ASAPH DRIVE,W01000221,Denbighshire 003B,Suspect charged
7619acf02bc323dea55d9303861e1bc329ab53f90a466314d32407417e07bc4b,2014-09,North Wales Police,North Wales Police,-4.168000,53.143131,On or near Petrol Station,W01000053,Gwynedd 004B,Unable to prosecute suspect
ced326d2550cc8e97fc979b490c290671b848adfb1e0f40f4813d761196112a7,2014-09,North Wales Police,North Wales Police,-4.168000,53.143131,On or near Petrol Station,W01000053,Gwynedd 004B,Unable to prosecute suspect
eb03eb0cf2773ce81dcd313d95617b9e8303861f86f88a4a990f75423b2b85da,2014-09,North Wales Police,North Wales Police,-4.275314,53.143331,On or near Theatre/Concert Hall,W01000093,Gwynedd 006B,Unable to prosecute suspect
b597421c9c46a1693631171ec7ee1e94fda9bfdb20e1d8206080059037afaefd,2014-09,North Wales Police,North Wales Police,-3.334747,53.184552,On or near B5429,W01000206,Denbighshire 013C,Unable to prosecute suspect
d53d3bc754420332b5f7800d81a76958db862bdac86d0b4ce8daeff5d0b4a6ec,2014-09,North Wales Police,North Wales Police,-3.314364,52.980245,On or near Petrol Station,W01000192,Denbighshire 016A,Unable to prosecute suspect
4c38291b3bc546b47385c9aaf44dd53e7083c017a2a5487d80715ffb396def28,2014-09,North Wales Police,North Wales Police,-3.314364,52.980245,On or near Petrol Station,W01000192,Denbighshire 016A,Unable to prosecute suspect
afb45568c7b1f44e7aeed89c4283cc87cb7318f00832f7d118fd58b10e21867f,2014-09,North Wales Police,North Wales Police,-3.833488,53.327576,On or near TAN-YR-OGOF ROAD,W01000146,Conwy 001B,Suspect charged
be390688db1681ea2c59061db17bbf9f29d36ce98824f60311ad01d92331a494,2014-09,North Wales Police,North Wales Police,-3.455760,53.266298,On or near THE ROE,W01000191,Denbighshire 009A,Unable to prosecute suspect
d8402e8fc0334d85cf42378cad5343be67f1ae5da92e9a903d2415a83a990c59,2014-09,North Wales Police,North Wales Police,-2.980130,53.045832,On or near MEADOW LEA,W01000425,Wrexham 010E,Suspect charged
a8b81f5018eef4da7c852eabb31abbd1360c4dd349b6c6282072608b38d99c38,2014-09,North Wales Police,North Wales Police,-4.273329,53.140006,On or near Supermarket,W01000059,Gwynedd 006A,Unable to prosecute suspect
