Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
91e996ad221ca402b41cb638ec9d79054d5f48194f97378a06771e789af4d3b5,2014-09,Wiltshire Police,Wiltshire Police,-1.770660,51.172299,On or near COLTSFOOT CLOSE,E01031975,Wiltshire 048B,Suspect charged
62005178fae6b238a7a9f6cf623b4981bb3fedb1abf0aa64cde49b6ecd5d9666,2014-09,Wiltshire Police,Wiltshire Police,-1.786244,51.563044,On or near Nightclub,E01015476,Swindon 015B,Investigation complete; no suspect identified
f25d8f3b41ebc362bd74034f7c9f986c1d1ab7b979d66a3a0dad896af5375578,2014-09,Wiltshire Police,Wiltshire Police,-2.137514,51.370307,On or near Parking Area,E01032068,Wiltshire 022D,Investigation complete; no suspect identified
7617ef5e0910c773c91e991d5e2a6f8d48553dd63caa9e7a4fd64e6c8d23445e,2014-09,Wiltshire Police,Wiltshire Police,-1.820489,51.217841,On or near Race Track,E01031867,Wiltshire 038B,Investigation complete; no suspect identified
0a03799bfa66ad0ee12aac924981d88cf2d9f1937171ec58f3a3dde0bba6f296,2014-09,Wiltshire Police,Wiltshire Police,-1.785174,51.102324,On or near PARTRIDGE WAY,E01032011,Wiltshire 057B,Investigation complete; no suspect identified
0a3275b608302e059fea8df8dd924ce4b1e8399813f27701158d8200a3c45074,2014-09,Wiltshire Police,Wiltshire Police,-1.775183,51.550472,On or near NEWPORT STREET,E01015534,Swindon 024B,Suspect charged
b8ce8b7e874991753974d681c5809a88003074dc2b34e5c7646a4e48ec0a6872,2014-09,Wiltshire Police,Wiltshire Police,-1.788314,51.511761,On or near THORNEY PARK,E01015583,Swindon 025A,Unable to prosecute suspect
131f0740c93a15374514ba582ae0f9b38a79619e3ee6d4d2884acd2815b6b4e1,2014-09,Wiltshire Police,Wiltshire Police,-1.764185,51.339616,On or near Supermarket,E01031870,Wiltshire 024C,Investigation complete; no suspect identified
e0614f1e70b810e30060d377b6c45fcb51536ad44f2fb7babb63e08895e11be0,2014-09,Wiltshire Police,Wiltshire Police,-1.801535,51.573159,On or near CHENEY MANOR ROAD,E01015581,Swindon 012D,Investigation complete; no suspect identified
eb018892cd14d20cf9f3a6e786b1eef05dd957d2d29499a3d0d7202dc4fad1b9,2014-09,Wiltshire Police,Wiltshire Police,-2.236845,51.360779,On or near LEIGH ROAD,E01032059,Wiltshire 023B,Investigation complete; no suspect identified
