Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
05d49bd985442739b808079a3f4f778e3bf24bea136bdee7e7523c451757a3c3,2014-10,Humberside Police,Humberside Police,-0.395620,53.736072,On or near WEST GROVE,E01012860,Kingston upon Hull 031B,Investigation complete; no suspect identified
50b270f6b055316b4b20cab66d7d773ba6d1eac0fcdc04c1abc29375403fd351,2014-10,Humberside Police,Humberside Police,-0.657506,53.594778,On or near BUCKINGHAM STREET SOUTH,E01013296,North Lincolnshire 008A,Investigation complete; no suspect identified
1486e6a7ca269fe506ae10aaea1259c7b03c8f2615865cde9626c784f7fa7fa8,2014-10,Humberside Police,Humberside Police,-0.104449,53.544638,On or near WAINFLEET ROAD,E01013210,North East Lincolnshire 019E,Investigation complete; no suspect identified
e04b1fc11db88dc6452ab1a9ff7c488e7edadd09e5f673974eca7667226844e3,2014-10,Humberside Police,Humberside Police,-0.339180,53.742090,On or near Shopping Area,E01012854,Kingston upon Hull 029C,Investigation complete; no suspect identified
9f2328b8a879e74380c7070b9f78d13d141499d59ecf9753530c4e1d60a91d41,2014-10,Humberside Police,Humberside Police,-0.341418,53.745321,On or near KING EDWARD STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
07d467d86a098ffc0a4015598832a3cf8f619a2a2742be419610ff7ea0b9f11b,2014-10,Humberside Police,Humberside Police,-0.361013,53.751892,On or near PRINCES AVENUE,E01012852,Kingston upon Hull 024B,Investigation complete; no suspect identified
97915f22041cbd41b59ba5e9c97b59442d15e8e7c4b630b70044d8c6fdb14c59,2014-10,Humberside Police,Humberside Police,-0.360954,53.739774,On or near COLTMAN STREET,E01012891,Kingston upon Hull 030C,Investigation complete; no suspect identified
611c800578c8493eb125325f0599387fae2f632b046b82f7f6a55fa184109151,2014-10,Humberside Police,Humberside Police,-0.360808,53.737669,On or near WELLSTED STREET,E01012891,Kingston upon Hull 030C,Investigation complete; no suspect identified
c6ee56c7658ecaad43aca85c6c9ccaad0381cabb489eed3ce3f5d5e45395a778,2014-10,Humberside Police,Humberside Police,-0.365652,53.735137,On or near ROSAMOND STREET,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
643e1486130ed257e3ee0e08d6d832ad66386076464d1ea25f5bc3ffe321f8ca,2014-10,Humberside Police,Humberside Police,-0.341029,53.751725,On or near SYMONS CLOSE,E01012856,Kingston upon Hull 024C,Investigation complete; no suspect identified
ffd1b50225050dc972a4c1f86db4fa7283d9551b59ecc0332d2ba9e391159624,2014-10,Humberside Police,Humberside Police,-0.363126,53.739274,On or near CHOLMLEY STREET,E01012891,Kingston upon Hull 030C,Investigation complete; no suspect identified
4391d95dbb499cd5d076be1dc5638ec2451d43bcbd775f3941f2d3b81953662b,2014-10,Humberside Police,Humberside Police,-0.375105,53.734169,On or near GALLIARD CLOSE,E01033110,Kingston upon Hull 031G,Investigation complete; no suspect identified
