Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c98c575d0fa47afc4d54c8cdfb6ab9336d60144cbb7b807dfe949a6a9054c36c,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.428666,52.475274,On or near NORWICH ROAD,E01026892,South Norfolk 012A,Suspect charged
be5962e9e126e2848d1f7b48d90b30c6b8ac0f25fd147247cfb08af35913d7c5,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.013504,52.517794,On or near WAYLAND CLOSE,E01026447,Breckland 011C,Suspect charged
4a67f462dc0d06aa7e37c89b1e671cc77a6b361459ceebab18a218d68cb99bf8,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.747301,52.405988,On or near ST BARNABAS CLOSE,E01026477,Breckland 017D,Investigation complete; no suspect identified
0efea3203d59ede0d6b9def6ef88facc48d76d1fbef60b515922b4020df39bd5,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.275900,52.622993,On or near UNTHANK ROAD,E01026839,Norwich 009E,Investigation complete; no suspect identified
cfcdb8f91b9a414636d9cfab361e853ee38a1ce74954fe5c16cd19e9b58057d5,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.286397,52.644134,On or near WATERLOO PARK CLOSE,E01026830,Norwich 002C,Investigation complete; no suspect identified
6aa113dc505fd87c74363ff57e71ae22bc7bb8942a2c39a8c415f6a92ab9af01,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.296443,52.639898,On or near MAGDALEN ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
c184ba5290e2852ae975252343dced58c72cbc877e4e8c9a6688290c832eee5e,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.274226,52.652610,On or near APPLEYARD CRESCENT,E01026832,Norwich 002E,Investigation complete; no suspect identified
14b971da26e1c5f79b4d980b64e70a236c9c07e879ab8115fc80542107d14ea2,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.289004,52.623133,On or near ST STEPHENS ROAD,E01026855,Norwich 011D,Investigation complete; no suspect identified
525ab7002fd2b85ed47b3cc8f8c8c7daadeb3ace518b7de5168c736ee380f2eb,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.339170,52.626325,On or near BUCK YARD,E01026577,Broadland 016D,Investigation complete; no suspect identified
19a8659d6e3a2a098301a2a99f2b5e0a1c5deb3479492745aba925da49ea06db,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.280001,52.627637,On or near NEVILLE STREET,E01026835,Norwich 009A,Investigation complete; no suspect identified
6b058461ca409e5c9fb11daae095e15492a4cc86199b93e3e1d4d3d80368fdf9,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.295335,52.645028,On or near PELHAM ROAD,E01026843,Norwich 003C,Investigation complete; no suspect identified
05912e37bedd973094288eec30582f18614e76a6365148faae65cb9e71192411,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.047302,52.774660,On or near KERDISTON ROAD,E01026522,Broadland 002A,Investigation complete; no suspect identified
2b01d631c4a075e4316c1824ac8ea11a07055a372929721eef0cb3c7dea809f3,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.745142,52.405084,On or near Petrol Station,E01026478,Breckland 017E,Investigation complete; no suspect identified
c8c6dbccb11eb3c0d0bc04f81f753a678a687ba64dfc22b7f0406a7d16e80d40,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.756200,52.412876,On or near CASTLE STREET,E01026468,Breckland 016A,Investigation complete; no suspect identified
7feb879e16889a5e392880b99ad77b4f156552cf7f4d9020e6b64429a01e1fec,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.269334,52.654230,On or near BOUNDARY ROAD,E01026833,Norwich 002F,Investigation complete; no suspect identified
f80d1b5144b84270f2318d2c54ada005e865a300e47eaa7b305fb2c5d5ad1d3e,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.209514,52.938183,On or near COPLAND DRIVE,E01026773,North Norfolk 001D,Investigation complete; no suspect identified
9b4ae655e5fcaa7d3fc6de880ed9c5947ba2fcf3bd88ed166cd77f97d8cd099b,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.037019,52.855850,On or near GROVE ROAD,E01026729,North Norfolk 008A,Investigation complete; no suspect identified
52b4e13ca4d73e887c9ef5ea6d2d35ed96e3f74ed3d639483a9c61d98e54310f,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.621984,52.901066,On or near CHEQUERS STREET,E01026656,King's Lynn and West Norfolk 002C,Investigation complete; no suspect identified
