Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
062a629d6c8b9148cf2c81da7950925f0291286080152956ed8903986aff4a6c,2014-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
6a3222d7864b257d14ee0b3b0def3cc6fde403b88430b51bc3a8b9496dfa9039,2014-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
fc9c7ef666b83ec5189a87b31a385cda9bf1396ffd2addb51fb1178d1f6771b9,2014-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
3032fb2b44dad30507fb7d492f2645002e679142ab7e6c2f97a840d73eec5669,2014-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
c6f798d083c5c9064b5f71728bf17306e1b73d273e4283e5c032b94d383254e4,2014-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
9fba1b6acdebb7664fbfba79905768dac4335bff757d8bc582717898660f2f08,2014-11,Dorset Police,Dorset Police,-2.453660,50.617141,On or near CHELMSFORD STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
8840f17e2dadc9d74de70e405ea1ce39eba5ff5c199fdfe0986e088a2c05f8fe,2014-11,Dorset Police,Dorset Police,-1.869545,50.871014,On or near THE MEWS,E01020412,East Dorset 003B,Investigation complete; no suspect identified
e0348e8a7fd755771732136b287620930c14d637bd812d897ea40605f6b63de5,2014-11,Dorset Police,Dorset Police,-2.496769,50.620904,On or near THE BINDELLS,E01020514,West Dorset 012C,Investigation complete; no suspect identified
ca1d41b3467aacd0865b78e4a70021299d0d5d10114f77692bf2b906e7268efc,2014-11,Dorset Police,Dorset Police,-2.852212,50.806284,On or near ATTISHAM LANE,E01020506,West Dorset 003D,Investigation complete; no suspect identified
028b94fb4fc1d0cbbf2b7c1cc3ae822a121b2ffb29cc4a06f2521c199597eaa9,2014-11,Dorset Police,Dorset Police,-1.987745,50.800100,On or near B3073,E01020428,East Dorset 010C,Investigation complete; no suspect identified
cbbf1980ddaec5b62188bc004460ebf726779a0c4e61bc9c6b11818b93cdbc0d,2014-11,Dorset Police,Dorset Police,-2.468227,50.610833,On or near OLD PARISH LANE,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
94919d965106ee1a2cc633ff5bf76166c04e0828aff7b23593d0da8a464c15c2,2014-11,Dorset Police,Dorset Police,-2.207940,51.006533,On or near THE BUTTS,E01020457,North Dorset 003D,Investigation complete; no suspect identified
c9367100fb7b1c3928a220459a4478ba132bba40ace45b756a5cc0d9eeb46db6,2014-11,Dorset Police,Dorset Police,-2.760782,50.741305,On or near ORCHARD AVENUE,E01020499,West Dorset 006B,Investigation complete; no suspect identified
556389ed1d22966c118d2fb884868fb631eef8ae13d492d729d8ce0bad1d033e,2014-11,Dorset Police,Dorset Police,-2.451730,50.619307,On or near GRANGE ROAD,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
c01ff11a972ed510c04410789de978f533d2687490f14211d7ba3a066e6beb7c,2014-11,Dorset Police,Dorset Police,-2.435590,50.714287,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
498a3fada9e45cb7c6b0d1901a57a1e9ef0fdc3168486809f44b0b792fcf977b,2014-11,Dorset Police,Dorset Police,-2.451416,50.542221,On or near BLINDMERE ROAD,E01020564,Weymouth and Portland 009B,Investigation complete; no suspect identified
00f8f5e837095111fad8e3547e96f0bb285c8ea78c3d2e46d244488d72697769,2014-11,Dorset Police,Dorset Police,-2.435979,50.545418,On or near EASTON SQUARE,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
6ea371b37d097609ca2e551fe44b8b72d82d1bb2ec5e37fd57d3c92d56c1e383,2014-11,Dorset Police,Dorset Police,-2.469918,50.615970,On or near LINKS ROAD,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
27d98a7dd0a424130a5b0a964fd874dcde3484e14351942cf276c9dd3744da55,2014-11,Dorset Police,Dorset Police,-2.739514,50.747027,On or near GORE CROSS WAY,E01020498,West Dorset 006A,Investigation complete; no suspect identified
76bc1acdbe74bc777148580d7a4b08a7dfcf381df594ae7923e9c702c83827c9,2014-11,Dorset Police,Dorset Police,-2.303456,50.926939,On or near Parking Area,E01020458,North Dorset 004D,Investigation complete; no suspect identified
fecc2e51c88c032d232825d6d2ea1daa008636cfcea07c50121f4db0d53cc579,2014-11,Dorset Police,Dorset Police,-2.457808,50.732628,On or near WEST HILL,E01020510,West Dorset 004B,Investigation complete; no suspect identified
d3cfc95a7b43ffc8aaab457cbd5b9866dec8bf572b464d38e6334019d6a09fb2,2014-11,Dorset Police,Dorset Police,-2.455358,50.611442,On or near CAROLINE PLACE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
eddc9f4dc03e38c79296d0096df92e7f9d33d5cc1900592f83dfdba0f4754ebd,2014-11,Dorset Police,Dorset Police,-2.107042,50.702292,On or near MORDEN ROAD,E01020477,Purbeck 003B,Investigation complete; no suspect identified
b3557296f03b08d521bfac0027135947c10debd8dc44b905396d9478dc7e4b33,2014-11,Dorset Police,Dorset Police,-1.971556,50.796347,On or near GORDON ROAD,E01020427,East Dorset 010B,Investigation complete; no suspect identified
a3dbeaefb9ffabe63fcfd6d6b86eb4c8daba171d3e82ef0ca45fcff96361ff4a,2014-11,Dorset Police,Dorset Police,-1.864427,50.842071,On or near OLD BARN FARM ROAD,E01020412,East Dorset 003B,Investigation complete; no suspect identified
38cafb150644cfaf99a70008861bce19028e7a8522d487f95710814c2908acef,2014-11,Dorset Police,Dorset Police,-2.454150,50.645997,On or near DARWIN CLOSE,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
440464ac6ace9ef457edf11cf8aeafbdbd555a329a410c2ffb449f99affd9718,2014-11,Dorset Police,Dorset Police,-1.883341,50.883735,On or near WOODLAND CLOSE,E01020414,East Dorset 003D,Investigation complete; no suspect identified
e036217055833c70bfcf40997f4a74e81037357330fe7273dade4ab5dee7ad99,2014-11,Dorset Police,Dorset Police,-2.473287,50.606685,On or near PEARTREE LANE,E01020577,Weymouth and Portland 005C,Investigation complete; no suspect identified
bddabc25cdc62d8451f3e6e6f7591573dee0764e540e1cd9fe00dbd535dad69c,2014-11,Dorset Police,Dorset Police,-2.221157,51.037514,On or near ELM CLOSE,E01033158,North Dorset 002F,Investigation complete; no suspect identified
352b814c192ebbf4292e5d8e592936f7e8d0d022efd805fd670f0986a8bb69c3,2014-11,Dorset Police,Dorset Police,-2.465381,50.611708,On or near ABBOTSBURY ROAD,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
80f50406da8fd47ebcffe67ac691b6a2e11de157ec492b7542ddfe5289c3f61b,2014-11,Dorset Police,Dorset Police,-2.455177,50.608781,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
b325111ba6bd87fefd1279e9e001da249029bc9e75875e7d82c69b56cf82e13d,2014-11,Dorset Police,Dorset Police,-2.453508,50.610136,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
45d01afbe0533d15f074b34e37530178427c3691477e32f7b62511b4bedd7d50,2014-11,Dorset Police,Dorset Police,-2.447996,50.645859,On or near CHELWOOD CLOSE,E01020551,Weymouth and Portland 001A,Investigation complete; no suspect identified
8e06170523e455e9db736f2a8923092b158c3d427fa99902ba85bc75712b955f,2014-11,Dorset Police,Dorset Police,-2.465779,50.611922,On or near HOLLY ROAD,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
db1df6bb2c52b0ffa1e04fa1139b250e997394912e142a341f9a796c6ebf6d44,2014-11,Dorset Police,Dorset Police,-2.451091,50.710469,On or near MARIE ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
15654bead736205868f6c03a244321722043b1b38dc0c7adf6d35302c1b8fd59,2014-11,Dorset Police,Dorset Police,-2.039375,50.741974,On or near HICKORY CLOSE,E01020475,Purbeck 002E,Investigation complete; no suspect identified
a991dee2f5b7dec1ac8c468492237cbc7e73b5f96c64fec31603b285cce49dde,2014-11,Dorset Police,Dorset Police,-2.437560,50.714505,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
81f52efb29cc0d60ef1e2abc6088263d79a36632bc86ce2a83c95c077d50081f,2014-11,Dorset Police,Dorset Police,-2.455381,50.616811,On or near RANELAGH ROAD,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
7bfc9f262283d94784f236ad3de6809e6ff64e78edc105e4b8d0a07bada79db1,2014-11,Dorset Police,Dorset Police,-2.458149,50.618032,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
b97d8c36dfb81ee724880d6cdfc83f6fc449daad2a952a15b4bd97ac9cb8fd78,2014-11,Dorset Police,Dorset Police,-1.710889,50.748925,On or near OAKWOOD ROAD,E01020358,Christchurch 003D,Investigation complete; no suspect identified
31c55979dc53bbc93d44e54dc2ae6407486b0aa40b2eafe4f641e13c13fd240c,2014-11,Dorset Police,Dorset Police,-2.429960,50.540045,On or near CHURCH OPE ROAD,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
dae5c4776294689206e1c88f8a73358c21f80d01b1daffe1528e84b651b1187c,2014-11,Dorset Police,Dorset Police,-2.465065,50.615522,On or near POTTERY LANE,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
bf2dce23bf9c7aafc69404bb7eb45797506b9704a937d5001aae805fd224e14b,2014-11,Dorset Police,Dorset Police,-1.785327,50.734761,On or near ORCHARD CLOSE,E01020368,Christchurch 006E,Investigation complete; no suspect identified
064752794f1f8ff57ddff3d1495fd33cd05dbd3b33fdb3765bb1bf74e3cbfe36,2014-11,Dorset Police,Dorset Police,-2.112391,50.694688,On or near RYAN CLOSE,E01020488,Purbeck 003F,Investigation complete; no suspect identified
363e3b71e7d14f4306e4249d78fb83206dd4cd100a4ee4880926584c836260ba,2014-11,Dorset Police,Dorset Police,-2.456580,50.610655,On or near Parking Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
deb24f3f09617bc2c14f3ed77d49b0581f7c2b8b617b271225321b409efcc42a,2014-11,Dorset Police,Dorset Police,-2.454266,50.647732,On or near Supermarket,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
aefa1b501ec17c8d90f69797226b0b5a1f2a63cea1d2c178ba2cfd81a23079f9,2014-11,Dorset Police,Dorset Police,-1.776140,50.732846,On or near CHURCH LANE,E01020367,Christchurch 006D,Investigation complete; no suspect identified
0a6dcbfc43cc115cf37ab66ead56b4de55243c83b9ffeaaa5c5dad8fc3b89d57,2014-11,Dorset Police,Dorset Police,-2.424540,50.706226,On or near BUCKINGHAM WAY,E01020520,West Dorset 010C,Investigation complete; no suspect identified
e3dd30e936515705ec2d3cf21a40acd1d7fa85ccad36dea86e55cd3730184fab,2014-11,Dorset Police,Dorset Police,-2.438683,50.713358,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
964c399e3c7c53ba8b99a578b9389579b35608a83edfeebe3235fbf70a4a84da,2014-11,Dorset Police,Dorset Police,-2.227531,50.678441,On or near LINCLIETH ROAD,E01020492,Purbeck 004D,Investigation complete; no suspect identified
445f187fa4f432b92642335af74e8f648a98d549dea7e6e16cb33dc6676b1767,2014-11,Dorset Police,Dorset Police,-1.989249,50.798517,On or near KING STREET,E01020428,East Dorset 010C,Investigation complete; no suspect identified
2e8c8e090acbb2dc00dfd15c2fc0bbc68df543fe2674c98cfd51dc6d3bf966b3,2014-11,Dorset Police,Dorset Police,-2.182633,51.008149,On or near THOMAS HARDY DRIVE,E01020455,North Dorset 003B,Investigation complete; no suspect identified
5f2b5aedd63552b911d2ce425a4a8b1c45729344cb5b2b100cb6f7f61b5c529a,2014-11,Dorset Police,Dorset Police,-1.880168,50.784563,On or near OAKLAND WALK,E01020400,East Dorset 011C,Investigation complete; no suspect identified
a09d1118b5629c5b8224695cd9cc6496b9a275ddbb8caacf7ae2962d0a48c769,2014-11,Dorset Police,Dorset Police,-1.908760,50.780254,On or near LAKE FARM CLOSE,E01020399,East Dorset 011B,Investigation complete; no suspect identified
f4632c75aa9342d63297b26f1290edb1b7270c414b464fe6c937d1dba7a62e47,2014-11,Dorset Police,Dorset Police,-2.607026,50.869354,On or near BARLEY CLOSE,E01020530,West Dorset 003E,Investigation complete; no suspect identified
f469975a316f45d26b097162830f72c362cad115200e2fe508803e49350e77fb,2014-11,Dorset Police,Dorset Police,-2.334545,50.690683,On or near Pedestrian Subway,E01020537,West Dorset 011B,Investigation complete; no suspect identified
82e1bf9e7ad91ec8cd8fe3606f7eebe159618396d91ee8850b4e41a1805e2dea,2014-11,Dorset Police,Dorset Police,-2.454754,50.611894,On or near GREAT GEORGE STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
99cd990706ae56805c46aebfba5b793754cc668744ba2d68b49330ce3ef40313,2014-11,Dorset Police,Dorset Police,-2.602750,50.879340,On or near Parking Area,E01020530,West Dorset 003E,Investigation complete; no suspect identified
358d7c2630238f184ac018d76c7627ccd04641b7341c08b50d1ef765572ca826,2014-11,Dorset Police,Dorset Police,-2.885504,50.793392,On or near B3165,E01020535,West Dorset 005D,Investigation complete; no suspect identified
8f9db2f907525fd3bdcb110ab255d193880f7d1390c52c2047d908dd95625316,2014-11,Dorset Police,Dorset Police,-2.453660,50.617141,On or near CHELMSFORD STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
94223dc2ab13c41aa3ebf08409728aa48148e770555a9bdfa494d239f60fcb61,2014-11,Dorset Police,Dorset Police,-2.310612,50.920383,On or near NEWTON HILL,E01020458,North Dorset 004D,Investigation complete; no suspect identified
bc0906b60a9dda8bb2880f65afa1644cf3fe0bde58978594827469d9ba644c19,2014-11,Dorset Police,Dorset Police,-1.737927,50.745122,On or near LYNDHURST ROAD,E01020372,Christchurch 004D,Investigation complete; no suspect identified
bfe6548c4b8738728c01e2408e3ce1be2df2a7f1ef9f93e9bc41de3225d14ee3,2014-11,Dorset Police,Dorset Police,-2.168608,50.862665,On or near THE ORCHARD,E01020438,North Dorset 007D,Investigation complete; no suspect identified
67783199e58d43098fded8dfa28f3ff903a484bb4ee94220ea436fce9ddaf671,2014-11,Dorset Police,Dorset Police,-1.756894,50.736315,On or near Supermarket,E01020346,Christchurch 005A,Investigation complete; no suspect identified
1f895915b37c57f91e59c3d622435a00eb60d18fff601e1dc29982d9ee6d8cb3,2014-11,Dorset Police,Dorset Police,-2.446885,50.567508,On or near LIBERTY ROAD,E01033200,Weymouth and Portland 008E,Investigation complete; no suspect identified
a66648187b49a204cabd88e2e7947afe9e3e8e2ab208794f58c58a0fb892ec0f,2014-11,Dorset Police,Dorset Police,-2.115062,50.692779,On or near Parking Area,E01020488,Purbeck 003F,Investigation complete; no suspect identified
c589494424625e3e0022e6ddaca12031f582ff3c46b0ad1f518013b9a08ee4e7,2014-11,Dorset Police,Dorset Police,-1.948289,50.807238,On or near FARRIERS CLOSE,E01020378,East Dorset 009C,Investigation complete; no suspect identified
3bc97414f97a130d3f4bd71d939fd89c8636350dda393e5b5ca971fdd30f1670,2014-11,Dorset Police,Dorset Police,-1.753332,50.737278,On or near Petrol Station,E01020346,Christchurch 005A,Investigation complete; no suspect identified
30d3e903d481dce73831246a9a43cbf4516874e3c0622e4ef9a30ad30133e129,2014-11,Dorset Police,Dorset Police,-1.965605,50.609666,On or near COURT ROAD,E01020479,Purbeck 006B,Investigation complete; no suspect identified
2266311094612b9e4fd579b0d5e7ba3e2e7c3c12da320bc2b0c3e35c34865d10,2014-11,Dorset Police,Dorset Police,-2.248116,50.880552,On or near Park/Open Space,E01020444,North Dorset 005A,Investigation complete; no suspect identified
70edbcee5598b73ac5ffaafa01424478a11b3ea9e80087b525cb5d9de2e75b72,2014-11,Dorset Police,Dorset Police,-1.889953,50.804149,On or near PRINCES ROAD,E01020392,East Dorset 008C,Investigation complete; no suspect identified
f9f6cb5bc133eee3c23fb89d03389daaab6fa84b41d136ee91ff539b89fe4b48,2014-11,Dorset Police,Dorset Police,-2.303456,50.926939,On or near Parking Area,E01020458,North Dorset 004D,Investigation complete; no suspect identified
707a9747f57ef2d59b946992175de15cd8aee4dd7f7faaa34bbcad8c5f327c79,2014-11,Dorset Police,Dorset Police,-2.759528,50.732141,On or near GUNDRY LANE,E01020503,West Dorset 008B,Investigation complete; no suspect identified
53eecddfd8487be247233368cddc70abcc1fb46fa198dd5877f1620481c45e75,2014-11,Dorset Police,Dorset Police,-2.820639,50.731987,On or near DUCK STREET,E01020517,West Dorset 007B,Investigation complete; no suspect identified
085e5e18d0763d5b2f6d3ce030f53350e3888da9c5220c6babf88568ff580f45,2014-11,Dorset Police,Dorset Police,-1.800989,50.743943,On or near LODGE ROAD,E01020351,Christchurch 002A,Investigation complete; no suspect identified
d20005487f3a4149da9d30b84bab351db96a8e5380482d29efc0f28dd20b1983,2014-11,Dorset Police,Dorset Police,-2.452577,50.608827,On or near ST ALBAN STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
64d5d0dc2901cb66e09d9a141d43f166e826236e3a37097622089f3f9ec107ef,2014-11,Dorset Police,Dorset Police,-1.956759,50.608656,On or near INSTITUTE ROAD,E01020482,Purbeck 006E,Investigation complete; no suspect identified
fe66976850be4653997b4a79130f8fe89e32803dc80d484bfe02952886b09732,2014-11,Dorset Police,Dorset Police,-2.454829,50.610859,On or near SCHOOL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
57f6deb7121391ef4f2020b4f6ef72d007bbb77d4606ab0c1d1e768e1563bbaf,2014-11,Dorset Police,Dorset Police,-2.268356,50.669874,On or near Petrol Station,E01020490,Purbeck 004B,Investigation complete; no suspect identified
5c7967c7152861d8738623e4f00b33dc3170f77b405f61de0e02d736571a5987,2014-11,Dorset Police,Dorset Police,-2.830630,50.778490,On or near BLUNTSHAY LANE,E01020535,West Dorset 005D,Investigation complete; no suspect identified
c51de7709b1aa40a44dbc4a28e0fd306f1047b0d678373debb3acd0c43735a9f,2014-11,Dorset Police,Dorset Police,-2.303456,50.926939,On or near Parking Area,E01020458,North Dorset 004D,Investigation complete; no suspect identified
81e545e53d07a101d0e0f8ee30f3e5da8e1b0b66d9874ea220efd2a1db12378d,2014-11,Dorset Police,Dorset Police,-2.454616,50.607767,On or near ST EDMUND STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
