Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
99afde5a30bd24cb260174838973780be5520c5c6d4240f3f03d0f8739ced7c1,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.118658,51.257697,On or near WESTSIDE CLOSE,E01022551,Basingstoke and Deane 014D,Unable to prosecute suspect
0d2e0f53a67aa16237002ef096aff36584cc4641b7e0cad6144a9fe83d80e642,2014-11,Hampshire Constabulary,Hampshire Constabulary,-0.959985,51.313720,On or near BOTTLE LANE,E01022858,Hart 004A,Investigation complete; no suspect identified
7bdc3e502335a66dea360c233b16fa2914f6bdf88f0525b05b0af1eb8b8cc3b9,2014-11,Hampshire Constabulary,Hampshire Constabulary,-0.976925,50.855005,On or near EASTERN ROAD,E01022957,Havant 014E,Investigation complete; no suspect identified
19b5d4d9eb11ddffcdb34dd8aa375e9e084d5f5bc20b9b5419e63cc4d5990e89,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.477547,51.206247,On or near LONDON STREET,E01023202,Test Valley 003C,Formal action is not in the public interest
1b08b338daa1d53a78ea9a4b6d5ede5259a39f6c131de6bca7670495b7295c10,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.431222,50.916400,On or near YORK ROAD,E01017192,Southampton 021A,Unable to prosecute suspect
52e08857aacbc96ef8b1e41ee8e4b2af827235c4c853199db1948c1b11bcf7f5,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.079003,50.793598,On or near BRITANNIA ROAD NORTH,E01017022,Portsmouth 020A,Unable to prosecute suspect
8032c19c6d61ab551d76fb0323cd9359f53e4d63a612ec420da6eef643e0687d,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.093281,50.850517,On or near HEMPSTED ROAD,E01017120,Portsmouth 001E,Investigation complete; no suspect identified
2a112108c956896bb56895cfad6931e98ba133691075e9eebefef0e14b9a674a,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.319398,51.073223,On or near WINTON COURT,E01023254,Winchester 007B,Unable to prosecute suspect
7fb71cb0c897d949e0b6fb085af4f13290cda4608d66073cd9612930d2806a88,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.434949,50.922282,On or near PARK STREET,E01017211,Southampton 015C,Offender given a caution
b1275aecdcc6b08cf362cb6a1c2573e9142f1b4a4427789ebdf23c4da6d069a9,2014-11,Hampshire Constabulary,Hampshire Constabulary,-1.397210,50.846934,On or near CEDAR ROAD,E01023006,New Forest 011D,Unable to prosecute suspect
