Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c41cd4ff0c9359ce0f618994cd7cde257bc22fd3d33b4634318064d471041c0a,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.238118,53.341124,On or near Prison,E01018651,Cheshire East 007F,Unable to prosecute suspect
aadd5cab3f0320903931f3e65617395cd212dad01a97ca2ae7fc4e7fb1a49efd,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.511173,53.114249,On or near B5074,E01018480,Cheshire East 049B,Offender given a drugs possession warning
7597d93da8bb12ce47d0c762a5ff91cfab78b656714233f8c7346edaf1073da1,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.440783,53.097370,On or near SANDON STREET,E01018464,Cheshire East 039B,Investigation complete; no suspect identified
e686c97e835231c7a88d42d8fec1286ce0055d044bb963c81d4d613e0dbe4132,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.522215,53.257171,On or near HOPE STREET,E01018709,Cheshire West and Chester 020A,Suspect charged
beffe37293636dd6dd35ffada6020f677d69045b5859311611bbac5f923c5c0d,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.450008,53.082683,On or near BALMORAL AVENUE,E01018448,Cheshire East 045D,Unable to prosecute suspect
059dcd64cdf28afece3c449a6219b1836b97ac3182c90b85a8149837f57c93c4,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.522215,53.257171,On or near HOPE STREET,E01018709,Cheshire West and Chester 020A,Suspect charged
bac6fb7ac7f3b51de1a23028b3190f37c9c0dfd7e16995aa399904a61fb0bfd9,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.919376,53.290114,On or near BLACKSTAIRS ROAD,E01018563,Cheshire West and Chester 007D,Unable to prosecute suspect
b92679768de0bfeebf53362ca0ad759747684dde5cb1d19eafd16dbab111ffe6,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.234260,53.297671,On or near WEST BANK,E01018573,Cheshire East 012B,Investigation complete; no suspect identified
cb11aaf227dc25ea89033fcb83f7c18d562f02ab55ae58598a917ea8c0022d21,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.364557,53.144857,On or near BOLD STREET,E01018437,Cheshire East 030B,Unable to prosecute suspect
ae8ec576db833ebcf1dad21321cc93736df048c004a2a87350bed515288a633d,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.580642,53.382977,On or near OXFORD STREET,E01012511,Warrington 017E,Unable to prosecute suspect
6b2801cb25ab36f8ba70960c7e203074179e61516340eb085b4f262f52c59422,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.896354,53.180685,On or near GROSVENOR ROAD,E01018342,Cheshire West and Chester 043F,Investigation complete; no suspect identified
4b63cfa79009108aa2b57b6e10fc16c93e58f9b3824d5652852a6bdd84a3a08b,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.668185,53.379112,On or near TANNERY LANE,E01012530,Warrington 019D,Unable to prosecute suspect
89521d447a90fb2b0b5d9f3dfce785b4731bc2bff68733ac6bebcacae1bf162b,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.668185,53.379112,On or near TANNERY LANE,E01012530,Warrington 019D,Unable to prosecute suspect
0b65499d984d573aba5197d4654ec4a51ee571bcd807e9df884b7876630fe7b2,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.690516,53.314491,On or near WENLOCK ROAD,E01012371,Halton 016A,Investigation complete; no suspect identified
5062e909539c705eb17a8578a7b110460476fe1779821dd17c5e22839ef0e0cd,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.522049,53.419293,On or near LINNET GROVE,E01012466,Warrington 005D,Investigation complete; no suspect identified
b5db23aa9e451745233a1e84eb2972f5e3651068a650ce91481c2956145c7084,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.520382,53.056543,On or near BUTLER WAY,E01018503,Cheshire East 050C,Local resolution
4c037d22aa3f1f451c7ae1526a309382cd99713acc4e59601fdc69c1d8890b1b,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.145189,53.259836,On or near LEA BANK CLOSE,E01018616,Cheshire East 017B,Unable to prosecute suspect
e95afa4940150e3d1a4a56130197f4e53d21e6d25e0b7f5f0653e9ad57c2506b,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.533417,53.404285,On or near LONG BARN LANE,E01012555,Warrington 014D,Unable to prosecute suspect
5e1d0325ed54a467a28463e247daa78cf63d51bd16d6f67cc38ecd784ac0b20b,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.887185,53.191720,On or near Shopping Area,E01018326,Cheshire West and Chester 034A,Offender given penalty notice
8f94260ea4e28f992fc3eb9659dba9775dbff2642fd4f2dff6be12142aed1aaa,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.595079,53.396209,On or near Petrol Station,E01033300,Warrington 018F,Offender given a caution
677ae456b2796a613bb0618c26101c08d8cb7196c3b9b0490f12226aa41c31a0,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.596176,53.420878,On or near BIRCH AVENUE,E01012539,Warrington 006E,Investigation complete; no suspect identified
5a6993a455d590185696c5df406846526a17c29613b458e206846a1635ca4644,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.734596,53.350093,On or near MERSEY ROAD,E01012441,Halton 007D,Offender given a caution
0d0340e142e6bbf5b597c07158ba6a4251e09e5fe4b28ce162b029f9f63d0ff3,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.242198,53.348271,On or near STYAL ROAD,E01018651,Cheshire East 007F,Investigation complete; no suspect identified
3574b4f169ac5b715efc7b0a875a5563f764c78ce69ea48e9bccf152393c0765,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.886489,53.269670,On or near RICHMOND COURT,E01018550,Cheshire West and Chester 011B,Investigation complete; no suspect identified
