Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6999d37812c1c05a612e752ae850ea6d1e5af7e36e933e56c8a2ea691c716621,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
f911dc385fdc9a17b38ff562415b5c177cf6880726dc969343db4f6e0d9f7310,2014-12,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
3547e872036c6e2c0125a512a3e6d76339184ead6cd18d807eeba3aecfa02d8c,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
d1690c48132188abecc4963aba2e7f18d27278fb2c1b176d43e7dd8ce6a5da40,2014-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
8cbb07348444417f995c3ca45e78c0739cca9f676b4a9207cb26e955645ced33,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
ab9f519c454352e8876d341ba4bfe170700400f7316d7af9da88ac6de70f1944,2014-12,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
a7e880b5bd943d4d0db58adc456c9d9993d39dedc5f86f1b1556c961f8c493e7,2014-12,Dorset Police,Dorset Police,-1.891908,50.719288,On or near MARLBOROUGH ROAD,E01015368,Bournemouth 024B,Investigation complete; no suspect identified
cbcc97642f668126ddecfef17e33f527a1d3448b67373c96278b7dccd26ffcf9,2014-12,Dorset Police,Dorset Police,-1.896403,50.723689,On or near SURREY ROAD SOUTH,E01033286,Bournemouth 023C,Investigation complete; no suspect identified
f6dde4a9433846498a6163d88de23b1785194990242fa5ae182d80859efdb081,2014-12,Dorset Police,Dorset Police,-1.915524,50.741429,On or near BROADMAYNE ROAD,E01015382,Poole 007C,Investigation complete; no suspect identified
57f11864e82fe222eaddd129936ab93b190ac2d36051e6d8a0c1072b8c8bbd1b,2014-12,Dorset Police,Dorset Police,-1.800948,50.726785,On or near ELMS WAY,E01015300,Bournemouth 020E,Investigation complete; no suspect identified
563ddb4a8d7b0dae469b9bf66034990e0965063882c5827f296de230a3188688,2014-12,Dorset Police,Dorset Police,-1.947180,50.708310,On or near SALTERNS WAY,E01015455,Poole 017D,Investigation complete; no suspect identified
d757a84428b0bd31e5acf9b55902deebdc5afaa655f07cd040c5c392459d693a,2014-12,Dorset Police,Dorset Police,-1.867893,50.735917,On or near BELVEDERE ROAD,E01015345,Bournemouth 013C,Investigation complete; no suspect identified
e12d57beb339662f70d0d7d3584e7ad3f97f2f7b510644852faaffa2cf87412b,2014-12,Dorset Police,Dorset Police,-1.877837,50.721027,On or near ALBERT ROAD,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
3f72507db83e5431ec83acbd585d4078bbe5409c260c8346364c45fe76f69c05,2014-12,Dorset Police,Dorset Police,-1.949486,50.750225,On or near YARROW CLOSE,E01015443,Poole 008E,Investigation complete; no suspect identified
63dd0dade0cd63325290137fbf8bebd16e87924c2e0b796d4372b64cd99ae604,2014-12,Dorset Police,Dorset Police,-1.910864,50.725194,On or near EAGLE ROAD,E01015386,Poole 009A,Investigation complete; no suspect identified
b6309eaa43c6b79291eae4efbbd75a74707864475672ee821f7f50fbb76c7653,2014-12,Dorset Police,Dorset Police,-1.972130,50.785628,On or near OAKLEY STRAIGHT,E01015432,Poole 001B,Investigation complete; no suspect identified
