Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
05dfd2dba456248550debb78a3a060b8c89b136b2b43e0f83952f236df6a9469,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.709883,On or near ANDREW'S LANE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
bdeb5184bc9ba7d06c573eb120ba8015675cf52225b5440a26b98319fc959911,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.053361,51.713482,On or near CROMWELL ROAD,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
c1ad2ddb331eba7bc890c57da5e8db444c93315b5607f2754cc428e5b2d194eb,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.051543,51.699864,On or near HAWTHORNE AVENUE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
3bf155135bd2c60e5dda393f92a3f567735296f44bb3ecdc6a647a61ac29f12b,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032214,51.685082,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
b9ca7187ccf311eb945bbabbe720a44f1aabf26902a7e96a3b030be90da531c9,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.709883,On or near ANDREW'S LANE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
91955c2f1864f48e8e0f619e9dbdac424c58f3e9d84767492be638589e4c2ead,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036931,51.707121,On or near HIGH STREET,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
82b6b2433595bd9bb7406c3b2bc517dfdefc32534754f438b0c688604da15efd,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035269,51.712093,On or near DAVISON DRIVE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
662174b77add10e7068765b2e492db42037e23d0c93551e5ba9bd23ac6784544,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
e077f37ca20779c061781b89f47ccb177e5e5479b2d95a48885fb75f3bd3e45c,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041001,51.714760,On or near BROOKFIELD LANE WEST,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
1f17ba52e89a849cc7c9f5aff4a7a4eee02296b00bc08d2a70b135624b8f3dcd,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.705470,On or near PROSPECT ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
528616d9d8c34992b00442a00ab2e05b0235465e9df7349373c2a55ef78b26ce,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032211,51.686494,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
64de6990adc29a705f749a22774cd0abfe4ec2f03cf28c953f31f04e2e445c52,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035960,51.719514,On or near FAIRWAYS,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
fc8f77efffe770365565e078e90629d89926c6461e40d859123fba0267ae18e3,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036634,51.714651,On or near BEESTON DRIVE,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
b724cf2689178612e881e4f5c558e086e25d296b272d9dc5a4b055f81d1ca1dc,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045454,51.708180,On or near ST MARY'S ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
195796e77de4cd5969ae9e04eb5e8e95fa7b705f316c49abcaf576e3a574e291,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036931,51.707121,On or near HIGH STREET,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
34d190cd25c1b853fb2d2035b9c792dfe38c7ec5f7543bb22028f5258e688aa2,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.061953,51.711610,On or near GRANBY PARK ROAD,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
83f8f971969b47984e76548d7ea0bdd59ff3aa68e8a04b865f5971d582677a78,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027930,51.701754,On or near GIRTON COURT,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
b2f6e1a301f8e1abb9bde122d6933f0ceff99909d3c4d68670bf568c52ade539,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040578,51.702793,On or near COLLEGE ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
