Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f3d8401dd90ac3679c2b6e891dff5476f74b8ec7def03ce8fe4aef124925c229,2014-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
46a77e4db77b05803a01432b8ba4010b8d749ff48b774987adf959fcfe788213,2014-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
e80ff473244063f597924edace990476dbd49bf4eb0a0fda4c86faebb284d3dd,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.489706,52.939583,On or near HIGH STREET,E01026683,King's Lynn and West Norfolk 001D,Investigation complete; no suspect identified
61d3192eba8bf722a29dd88fd9fd73f0ba7be9bf3d1bfba703837633d21f0abb,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.402734,52.754431,On or near BLACKFRIARS ROAD,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
dd785e52cbc0dfb609f1a7a61023a4257e232b4e927c8a6b8e2f7da41eda54be,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.727981,52.580903,On or near Shopping Area,E01026632,Great Yarmouth 009E,Investigation complete; no suspect identified
8e7a6886a7ee7d3e21b5b77728d8680640a756e886a2a3b140f7242918e35307,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.734309,52.603379,On or near ST JOHN'S TERRACE,E01026624,Great Yarmouth 006C,Investigation complete; no suspect identified
4155245dafb351cd13c7a1f7b0a07f3a730dd58d5f451c680c58563241559629,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.397982,52.754258,On or near Supermarket,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
57b24b35cfe2ed28da657906476f77cd2c30d0335ae3755f17420ab1dfdd0e86,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.667743,52.568089,On or near ST JAMES CRESCENT,E01026615,Great Yarmouth 012C,Investigation complete; no suspect identified
6ce9094bf19a3920101af480ab03445a91a84d41f343951c4163c7f7ded9ba46,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.067460,52.676673,On or near MANOR CLOSE,E01026481,Breckland 006C,Investigation complete; no suspect identified
6124bdccc51d73e98248c61257c9c16d23a4d3183a762feb2485220638734cbc,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.269334,52.654230,On or near BOUNDARY ROAD,E01026833,Norwich 002F,Investigation complete; no suspect identified
ddc80a91c278980c5a7a76cc69d833920bc0f99a64c04ea359f8523e9cc82008,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.303625,52.638294,On or near MORLEY STREET,E01026848,Norwich 015A,Investigation complete; no suspect identified
83667473f516c71999d6334263bc34a2e5d19e281cee1b83de57e0129382ace3,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.237933,52.642780,On or near OVAL AVENUE,E01026869,Norwich 006G,Investigation complete; no suspect identified
68001be3374c295fb4d04ad84d87a421da35b6a99a09788d3dfe3047e2af0308,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.287626,52.642382,On or near EDMUND BACON COURT,E01026830,Norwich 002C,Investigation complete; no suspect identified
bf666cb829a88d9213798ccf28660407a9bada597b9217a668e42cd7a0e7fa42,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.287626,52.642382,On or near EDMUND BACON COURT,E01026830,Norwich 002C,Investigation complete; no suspect identified
503476d32bc7b0d158f2a6a8785e240d374d05b371086be2f5859397fc3e234e,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.710838,52.567986,On or near OXFORD AVENUE,E01026619,Great Yarmouth 011C,Investigation complete; no suspect identified
