Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-01-01T01:40:20+00:00,False,,52.629266,1.298422,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,False,False
Person search,2015-01-01T02:00:52+00:00,False,,52.787101,0.439580,Female,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-01T03:00:31+00:00,False,,52.757692,0.398467,Other,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-01T03:15:23+00:00,False,,52.903265,0.755605,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-01T03:15:27+00:00,False,,52.903265,0.755605,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-01T08:10:00+00:00,False,,52.452412,0.880090,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,False,False
Person search,2015-01-01T08:10:47+00:00,False,,52.452412,0.880090,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,False,False
Person search,2015-01-01T08:10:54+00:00,False,,52.452412,0.880090,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2015-01-01T08:53:45+00:00,False,,52.452412,0.880090,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2015-01-01T10:20:54+00:00,False,,52.644610,1.276689,Male,25-34,Black or Black British - Caribbean (B1),Black,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-01T14:20:07+00:00,False,,52.664497,1.504020,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-01T17:25:04+00:00,False,,52.629689,1.259787,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-01T21:40:56+00:00,False,,52.827979,0.848628,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-01-01T22:30:03+00:00,False,,52.570961,0.819373,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-01T22:38:09+00:00,False,,52.572376,0.820777,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-01-01T23:00:02+00:00,False,,52.608144,1.731524,Male,25-34,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T12:50:53+00:00,False,,52.607843,1.728513,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-02T13:00:08+00:00,False,,52.607843,1.728513,Other,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2015-01-02T14:30:18+00:00,False,,52.632069,1.287517,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T14:30:49+00:00,False,,52.632069,1.287517,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T15:05:35+00:00,False,,52.556988,1.118195,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-01-02T17:30:02+00:00,False,,52.630040,1.307733,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-01-02T19:25:24+00:00,False,,52.749385,0.385904,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T19:25:52+00:00,False,,52.749385,0.385904,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T19:30:17+00:00,False,,52.749385,0.385904,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T19:40:03+00:00,False,,52.748493,0.433361,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-02T19:40:26+00:00,False,,52.750658,0.439143,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-02T19:40:41+00:00,False,,52.750658,0.439143,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-02T22:00:32+00:00,False,,52.751391,0.435420,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T22:35:32+00:00,False,,52.404074,0.720804,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T22:40:00+00:00,False,,52.404450,0.721636,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-01-02T23:00:41+00:00,False,,52.656497,1.324832,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T23:03:40+00:00,False,,52.754339,0.396193,Female,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-02T23:05:49+00:00,False,,52.754339,0.396193,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-02T23:05:50+00:00,False,,52.656497,1.324832,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-02T23:40:34+00:00,False,,52.753255,0.395985,Male,over 34,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-03T00:10:06+00:00,False,,52.889668,0.757537,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-01-03T01:00:21+00:00,False,,52.643180,1.301598,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-03T01:00:23+00:00,False,,52.643180,1.301598,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-03T01:55:06+00:00,False,,52.638968,1.240534,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-03T02:00:32+00:00,False,,52.638265,1.237955,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-03T02:35:16+00:00,False,,52.759010,0.402185,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-01-03T03:00:09+00:00,False,,52.839371,0.866601,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
