Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
579aceaeb6fb81fe03530b083ab5e4707facdbdead59ddf4694325be5f4e23e8,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.188694,52.061362,On or near THE DRIFT,E01029964,Ipswich 009B,Investigation complete; no suspect identified
27658bcc2009261b8a10417a1334d91dbe134339a45543fec6d725aac9d9ccb3,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.727792,52.463499,On or near FEN COURT,E01030275,Waveney 008C,Investigation complete; no suspect identified
3124133ff918adcb63d3fd4d1613ef57c241663c15c7b01c11547ec08ab80dfc,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.722976,52.510208,On or near B1375,E01030241,Waveney 001B,Unable to prosecute suspect
d45aa06430ed1e4846b4767ae85233b21193142da3ff0a706fe5af9ed9c5542d,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.705663,52.448850,On or near ULLSWATER,E01030238,Waveney 009D,Investigation complete; no suspect identified
b72e3793f8c9c250376a77d338b881c5cb697a56701f41257f4c21ae057472aa,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.557266,52.195375,On or near HILLCREST,E01030186,Suffolk Coastal 003A,Investigation complete; no suspect identified
20a2b4364f8bad794019c2c0df7535fbdf10c758ff67295594eb56710e8cf4aa,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.360353,52.153178,On or near ELM ROAD,E01030220,Suffolk Coastal 005D,Investigation complete; no suspect identified
5f60cd8aed87c6a5ad3851dd91cf406d9a010c4f2feb79b94034c3bf6bb880e8,2015-01,Suffolk Constabulary,Suffolk Constabulary,0.665472,52.386432,On or near B1106,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
cd7a6aecca7520d65982257d2f9fc1b872bd975a254996c91b4a9874c60ab084,2015-01,Suffolk Constabulary,Suffolk Constabulary,0.916086,52.328370,On or near BURY ROAD,E01030096,St Edmundsbury 001B,Investigation complete; no suspect identified
eee77bb7d10e79ffcf17457026089d4dff62c4db1fa0455573bd1198b7595cca,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.345116,52.221158,On or near FORE STREET,E01030173,Suffolk Coastal 002C,Offender given a caution
8bf5791c7f646ae257b6eb6838e1c959b18f6cfb1bb96dc3ab17d1d65441570a,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.301764,52.358262,On or near DALES ROAD,E01030053,Mid Suffolk 003A,Unable to prosecute suspect
4e9a11cfd3ef05f5454d5ccd7681fff100b9381d2a50952fa2464a222c97e85d,2015-01,Suffolk Constabulary,Suffolk Constabulary,1.117283,52.066791,On or near TITAN COURT,E01030030,Ipswich 003D,Suspect charged
