Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
41d46b3835279b1b26c8e05b4cc4c562d9ef637f3b7ce14e42d8c143d39a911e,2015-02,Dorset Police,Dorset Police,,,No location,,,Suspect charged
d89adc5680d127763c936e472f916e95a56810f2bf2477136ed4a3c6f1c0d2cc,2015-02,Dorset Police,Dorset Police,,,No location,,,Suspect charged
76711b5f83bc000a466e2b753c7aa3a1ea56e291cd6222f108e4b22f1489b4af,2015-02,Dorset Police,Dorset Police,,,No location,,,Suspect charged
d56450c38e6da40704123ba13fbfa6c1c29a09b892b871bdf7bd1870c542e629,2015-02,Dorset Police,Dorset Police,,,No location,,,Suspect charged
12722c4dddc4d9c06957589572c3be9dc9d06bd95157722360a32c159355ee3b,2015-02,Dorset Police,Dorset Police,-1.846167,50.723769,On or near WHARNCLIFFE ROAD,E01015279,Bournemouth 019B,Investigation complete; no suspect identified
a2e6f55fb43f92d4cd5e3198a2b688cde70fafb20e3a9d76f5b296f8d2f714d5,2015-02,Dorset Police,Dorset Police,-1.838052,50.723137,On or near PERCY ROAD,E01033241,Bournemouth 019F,Investigation complete; no suspect identified
75a83d7b0bf6692a6f9bdd784ed3b6ecfd54be9921a389a88c07cb8f50227bc9,2015-02,Dorset Police,Dorset Police,-1.845040,50.725997,On or near AYLESBURY ROAD,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
e407dfd9919203e396f77a27ecdf44b313c3aba3122e845c96375fbdd4108220,2015-02,Dorset Police,Dorset Police,-1.918293,50.738733,On or near ALDER CRESCENT,E01015382,Poole 007C,Investigation complete; no suspect identified
f558777d2b446a3a42b48a6df07817b201b20937c17a6d72281f78b70bf7bce2,2015-02,Dorset Police,Dorset Police,-1.884611,50.720072,On or near Bus/Coach Station,E01033285,Bournemouth 017G,Investigation complete; no suspect identified
e907b4387710d59bcc3dce23af6533e667fd8be59d571fbed270dc0409eb0c61,2015-02,Dorset Police,Dorset Police,-1.914120,50.726554,On or near SILVER BIRCH CLOSE,E01015386,Poole 009A,Investigation complete; no suspect identified
e5668b5ca1da60b661d84d2041bcdec86092213ca7468d0b89ef108684edd7c0,2015-02,Dorset Police,Dorset Police,-1.864726,50.723612,On or near HOLDENHURST ROAD,E01015287,Bournemouth 017D,Investigation complete; no suspect identified
47bfb3bc94e3a477ff30ca4372120a4a4db6d9ddad39e20601485420290f45b5,2015-02,Dorset Police,Dorset Police,-1.860930,50.723338,On or near ST SWITHUN'S ROAD SOUTH,E01015290,Bournemouth 021D,Investigation complete; no suspect identified
2ca8ad8b4a2b22e43d7c5f85b4b0be516b94ead3731d05bb9571b38d7c387d53,2015-02,Dorset Police,Dorset Police,-1.884545,50.752625,On or near REDHILL AVENUE,E01015356,Bournemouth 009B,Investigation complete; no suspect identified
d9ef1def754007009c28b8756bdf77bbd5be7a2282e34a73cfdeb00b46f9c4cc,2015-02,Dorset Police,Dorset Police,-1.843188,50.724880,On or near ADELINE ROAD,E01015279,Bournemouth 019B,Investigation complete; no suspect identified
051c3c09e609c8ba2eaa80f66cf359b324cc97d3e6e1da1bab6fb18e25eeaf77,2015-02,Dorset Police,Dorset Police,-1.942295,50.741859,On or near WORBARROW GARDENS,E01015442,Poole 008D,Investigation complete; no suspect identified
4e7905de8f95fe73b67afd9066af30e75d993e9ba2336c16e2bafafc4422a3d6,2015-02,Dorset Police,Dorset Police,-1.841977,50.727009,On or near Supermarket,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
1f71f673053ed4f9b31482a4a13b2cbdcc1ede2dc1c0289af4bc711dde7f1682,2015-02,Dorset Police,Dorset Police,-1.867898,50.719047,On or near GROVE ROAD,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
a9d8af7d30f3e84d8dddf7b7930e81bdad2bc0192bd23d439c952798e26e25c5,2015-02,Dorset Police,Dorset Police,-1.975115,50.721619,On or near Petrol Station,E01015468,Poole 015D,Investigation complete; no suspect identified
364def8ba35f982234fe2d396700e81199393b8483aaf77321726249862fa0e3,2015-02,Dorset Police,Dorset Police,-1.851577,50.737651,On or near CROMER ROAD,E01015329,Bournemouth 015E,Investigation complete; no suspect identified
cf7a005ee139f38c66e343012954724ac74f103090088ea9d30dde9a3bddd998,2015-02,Dorset Police,Dorset Police,-1.850455,50.725195,On or near KNOLE GARDENS,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
56493757fce7a1577c8785a644e95738467a4c23afb0ce4ed45df100b2f65818,2015-02,Dorset Police,Dorset Police,-1.889841,50.718674,On or near DURLEY CHINE ROAD,E01015368,Bournemouth 024B,Investigation complete; no suspect identified
e135df5f5c6746671a513050d34b7e221cc94ebe01fb237897622a83531aaf6c,2015-02,Dorset Police,Dorset Police,-1.972136,50.727635,On or near BRACKEN GLEN,E01015445,Poole 012A,Investigation complete; no suspect identified
877f7dd6f8a374cc95d3e39a7642fe10097279806ee3cdae6b990f507a25c297,2015-02,Dorset Police,Dorset Police,-1.986393,50.712826,On or near CASTLE STREET,E01032661,Poole 015H,Investigation complete; no suspect identified
82905cdc65c2793223552d044c1338bf652a132435a2683eb8a0dd50b91121af,2015-02,Dorset Police,Dorset Police,-2.020419,50.724686,On or near JUNCTION ROAD,E01015427,Poole 014A,Investigation complete; no suspect identified
7193ca5b70ad7c12d648b449e70e142ee0db04d71e9a502f6e381c8776b5d855,2015-02,Dorset Police,Dorset Police,-1.941254,50.736085,On or near UPPER ROAD,E01015438,Poole 008A,Investigation complete; no suspect identified
2ce75960f753750e625269d7d851d88960a10870ad5c75e799dd86c532216e4d,2015-02,Dorset Police,Dorset Police,-1.828633,50.730246,On or near WICKHAM ROAD,E01015276,Bournemouth 016D,Investigation complete; no suspect identified
9551a12b1ceb8e90941b5841f7f67b13494e0a216f39b430d299a05888e14259,2015-02,Dorset Police,Dorset Police,-1.891310,50.769826,On or near EMMA CLOSE,E01015301,Bournemouth 001A,Investigation complete; no suspect identified
0c7e5f9830e6237fbe69428ed2164cfc768dad0b207294501f04c7270401d199,2015-02,Dorset Police,Dorset Police,-1.937536,50.729060,On or near Supermarket,E01015390,Poole 010A,Investigation complete; no suspect identified
a8b3aa682d5bdeea769767547a21df132a0989529be5d266fafb84a2c1987d0e,2015-02,Dorset Police,Dorset Police,-1.937536,50.729060,On or near Supermarket,E01015390,Poole 010A,Investigation complete; no suspect identified
1311c05d81b377bbee8c833ceffe9eb565d93eca70389b3886a598344f082d0e,2015-02,Dorset Police,Dorset Police,-1.933276,50.725955,On or near PALMERSTON ROAD,E01015461,Poole 013C,Investigation complete; no suspect identified
110ed6e2f9f9585c8e6f3d511f33ef85cff759ed7a9734347139506542e992ac,2015-02,Dorset Police,Dorset Police,-2.027415,50.719172,On or near NAPIER ROAD,E01015427,Poole 014A,Investigation complete; no suspect identified
db056f615a89627a319be7941d0afa9d7b6c76f4254c76e8f4b578fd9adc4f32,2015-02,Dorset Police,Dorset Police,-1.847595,50.729049,On or near ST CLEMENTS GARDENS,E01015281,Bournemouth 019D,Investigation complete; no suspect identified
793fab040421a99b2e8bafd4d942322baa7f8ee9de2ec3160c1305d277ab91bb,2015-02,Dorset Police,Dorset Police,-1.886319,50.751656,On or near COLUMBIA ROAD,E01015337,Bournemouth 003E,Investigation complete; no suspect identified
18e7bd5249a23ccdd4d6d5d6884b8bdb70579e666be111699ede00f775ffc2fc,2015-02,Dorset Police,Dorset Police,-1.998261,50.749517,On or near MEAD CLOSE,E01015421,Poole 006E,Investigation complete; no suspect identified
7a7447198cc445638b9f4650755f1971ea37bd97719aa44a677ffd422f5dc7c8,2015-02,Dorset Police,Dorset Police,-1.998261,50.749517,On or near MEAD CLOSE,E01015421,Poole 006E,Investigation complete; no suspect identified
219af61c312c73894328963ab18c67f3b2325e518660c0edc38c366a8ec8b433,2015-02,Dorset Police,Dorset Police,-1.853313,50.735657,On or near MYRTLE ROAD,E01015329,Bournemouth 015E,Investigation complete; no suspect identified
b88d55a908b8af7d91f106131e92fe0ab49a4b93daa3f97ece9855e23e9940f1,2015-02,Dorset Police,Dorset Police,-1.898077,50.768141,On or near WIMBORNE ROAD,E01015303,Bournemouth 001B,Investigation complete; no suspect identified
8140d0320b1bb8bae5935085b9a177f5fec7c2f07dd96d131059e1236f67767a,2015-02,Dorset Police,Dorset Police,-1.861791,50.719688,On or near GROVE ROAD,E01015291,Bournemouth 021E,Investigation complete; no suspect identified
d393579dcd4d192d1f6e56803583900ff6a0a239540ff267a343e076980a7146,2015-02,Dorset Police,Dorset Police,-1.983064,50.715586,On or near GLOBE LANE,E01032660,Poole 015G,Investigation complete; no suspect identified
91bfbfc18b3433ecb6f12bf33f1e3670c3479b526885cc535dc15054215d8dee,2015-02,Dorset Police,Dorset Police,-1.901909,50.760141,On or near SOUTH KINSON DRIVE,E01015310,Bournemouth 007A,Investigation complete; no suspect identified
b5788238f905a5d0c7f7be5d2aea598aecd463c56126af5ea98666f0355a3864,2015-02,Dorset Police,Dorset Police,-1.881070,50.753467,On or near MIDDLETON ROAD,E01015323,Bournemouth 006B,Investigation complete; no suspect identified
0ea0f6f367f3b1db9870b4d5b9438d8ea37055fe348e53817a24f865d18c2ffd,2015-02,Dorset Police,Dorset Police,-1.842198,50.724411,On or near CECIL ROAD,E01033241,Bournemouth 019F,Investigation complete; no suspect identified
5894a1d29ea9b1f3a5d3b028bde9c917f2ddf1eae195183d324afaccb9446e7d,2015-02,Dorset Police,Dorset Police,-1.824992,50.730232,On or near MORLEY CLOSE,E01015273,Bournemouth 016B,Investigation complete; no suspect identified
7d9b2321183a8f96b170eec9e4fbdb7222aba4c9b4a72c5f654647ec5cd92e8c,2015-02,Dorset Police,Dorset Police,-1.781017,50.723008,On or near SAXON KING GARDENS,E01015298,Bournemouth 020C,Investigation complete; no suspect identified
197673284d0fc2b40645396a5c0bb764aff1f36af154d991e28b035f87dde8be,2015-02,Dorset Police,Dorset Police,-1.975282,50.726799,On or near SANDBOURNE ROAD,E01015446,Poole 012B,Investigation complete; no suspect identified
eecf879af1bc1b0bd2a8a86bd92dafc1c244aa48daca76a559e93ab60bffcf5d,2015-02,Dorset Police,Dorset Police,-1.805825,50.732908,On or near CRANLEIGH ROAD,E01015361,Bournemouth 014C,Investigation complete; no suspect identified
c3bb3ec54acc38c34f64e600e6f17a0ee6320c85d5cf1df466e9132ff00eaf67,2015-02,Dorset Police,Dorset Police,-1.871700,50.722082,On or near OLD CHRISTCHURCH ROAD,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
d1a01c163cc9de3e172b088bd9d99b4cffc72f0054e4c22e346cdb08c6a59a1f,2015-02,Dorset Police,Dorset Police,-1.933582,50.739786,On or near STANFIELD ROAD,E01015385,Poole 007F,Investigation complete; no suspect identified
bcf1922ceda37474b944f82c030ee6d095c7f63492cdc7d50200bc7ad10e3c4c,2015-02,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
893c2ccef293320e16061485c49a55e2dacce032d577c7b39564e5405b91130e,2015-02,Dorset Police,Dorset Police,-1.922847,50.726542,On or near LANGLEY ROAD,E01015402,Poole 018A,Investigation complete; no suspect identified
8838c0234d7054c2f8623acaa6c674f11d1ee2f53b7be33e3eb8a82b27abb120,2015-02,Dorset Police,Dorset Police,-1.851803,50.724513,On or near Further/Higher Educational Building,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
ae04857a72e2ccd73df6bb6b1fb62261514efdfe8241fd07730513a99c01ecac,2015-02,Dorset Police,Dorset Police,-1.975282,50.726799,On or near SANDBOURNE ROAD,E01015446,Poole 012B,Investigation complete; no suspect identified
a82cd744c72b9db23bc73f3e2810ee150f824eee28257eadce65bddd4b344250,2015-02,Dorset Police,Dorset Police,-1.874690,50.721887,On or near Supermarket,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
9f32c93658391acf181420d837207a24cab006a4112c660b86cbed23ee8cf0f5,2015-02,Dorset Police,Dorset Police,-1.851803,50.724513,On or near Further/Higher Educational Building,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
55293b3880571143adfa1792c9ebe4d214cd1d30dfea462af31e1b461300ca33,2015-02,Dorset Police,Dorset Police,-1.953431,50.745641,On or near YARROW ROAD,E01015443,Poole 008E,Investigation complete; no suspect identified
f06ad9e9d69e659b0229c9eb66125c29a08d4fdcbc70af866e7848dc7d561046,2015-02,Dorset Police,Dorset Police,-1.932727,50.723437,On or near PARKSTONE AVENUE,E01015462,Poole 013D,Investigation complete; no suspect identified
078212a61b9f3971043ba22bd0169e02db1d0a9e4ebdec2d679e6523319b3aad,2015-02,Dorset Police,Dorset Police,-1.877833,50.717017,On or near EXETER ROAD,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
