Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-02-01T01:30:07+00:00,True,,52.427984,1.625909,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,False
Person search,2015-02-01T02:15:04+00:00,False,,52.470893,1.708356,Male,18-24,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2015-02-01T02:15:08+00:00,True,,52.470893,1.708356,Male,18-24,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2015-02-01T02:30:24+00:00,False,,52.243051,0.710177,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-01T02:35:17+00:00,False,,52.337356,0.534945,Male,18-24,Mixed - Any other Mixed ethnic background (M9),Black,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-01T02:35:34+00:00,False,,52.337356,0.534945,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-01T04:20:22+00:00,False,,52.163481,1.497735,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2015-02-01T04:20:46+00:00,True,,52.163481,1.497735,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2015-02-01T04:40:15+00:00,True,,52.163481,1.497735,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2015-02-01T04:40:18+00:00,True,,52.169650,1.501716,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2015-02-01T12:00:35+00:00,False,,52.413226,0.523531,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-01T12:05:08+00:00,False,,52.416060,0.518825,Female,25-34,Mixed - White and Black Caribbean (M1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-01T13:25:14+00:00,False,,52.245547,0.713875,Male,25-34,White - White British (W1),White,,,Nothing found - no further action,True,False
Person search,2015-02-01T14:13:27+00:00,False,,52.081569,0.439647,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Local resolution,True,False
Person search,2015-02-01T15:15:23+00:00,False,,52.256040,0.674584,Male,over 34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-01T16:15:28+00:00,False,,52.246132,0.712709,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-02T09:50:09+00:00,False,,52.081255,0.433120,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-02T11:20:58+00:00,False,,52.053952,1.146865,Male,25-34,White - Any other White ethnic background (W9),Black,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,True,False
Person search,2015-02-02T13:30:11+00:00,False,,52.239143,0.737683,Male,25-34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,True,False
Person search,2015-02-02T13:35:28+00:00,False,,52.064892,1.135289,Male,over 34,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-02T14:05:42+00:00,False,,52.057415,1.125923,Male,18-24,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-02-02T14:10:47+00:00,False,,52.056262,1.116505,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-02T14:23:41+00:00,True,,52.078732,0.456773,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,False,False
Person search,2015-02-02T14:40:44+00:00,False,,52.053491,0.732660,Female,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-02T15:00:21+00:00,False,,52.053491,0.732660,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Offender given penalty notice,True,False
Person search,2015-02-02T15:15:57+00:00,False,,52.254782,0.678083,Male,over 34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-02T15:40:22+00:00,True,,52.254782,0.678083,Male,over 34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-03T05:45:12+00:00,True,,52.472266,1.749199,Male,,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-03T05:50:19+00:00,True,,52.472266,1.749199,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-03T05:54:07+00:00,True,,52.472266,1.749199,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Local resolution,True,False
Person search,2015-02-03T09:11:29+00:00,False,,52.106263,1.333465,Male,25-34,Mixed - White and Black Caribbean (M1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-03T10:14:07+00:00,False,,52.084161,0.443905,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-03T21:50:22+00:00,False,,52.468626,1.746562,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Local resolution,False,False
Person search,2015-02-04T02:10:27+00:00,False,,52.053986,1.153315,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect summonsed to court,False,False
Person search,2015-02-04T14:00:04+00:00,False,,52.249830,0.390750,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-04T14:08:12+00:00,False,,52.249830,0.390750,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-04T14:30:30+00:00,False,,52.055687,1.193338,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-04T14:40:32+00:00,False,,52.055687,1.193338,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-04T14:48:16+00:00,False,,52.055687,1.193338,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-04T14:55:59+00:00,False,,52.055687,1.193338,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-04T14:59:05+00:00,False,,52.055687,1.193338,Male,10-17,Asian or Asian British - Pakistani (A2),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-04T20:05:00+00:00,False,,52.260060,0.397543,Male,18-24,Mixed - White and Black African (M2),Black,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-04T20:15:03+00:00,False,,52.260060,0.397543,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect summonsed to court,True,False
Person search,2015-02-05T00:20:15+00:00,False,,52.477522,1.730938,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given penalty notice,True,False
Person search,2015-02-05T00:30:42+00:00,False,,52.473879,1.709506,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-05T04:13:03+00:00,False,,52.473744,1.750268,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-05T04:15:08+00:00,False,,52.472266,1.749199,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-05T04:15:22+00:00,False,,52.472266,1.749199,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-05T13:00:00+00:00,True,,52.039645,1.184901,Male,,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,True
Person search,2015-02-05T13:10:12+00:00,False,,52.246132,0.712709,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-05T17:30:00+00:00,False,,52.055348,1.154856,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-05T17:48:07+00:00,True,,52.084161,0.443905,Female,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-05T17:50:33+00:00,True,,52.084161,0.443905,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-06T00:50:36+00:00,False,,52.468626,1.746562,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,True,False
Person search,2015-02-06T01:02:17+00:00,False,,52.468626,1.746562,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect summonsed to court,True,False
Person search,2015-02-06T12:35:24+00:00,True,,52.468066,1.746353,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-06T12:50:18+00:00,True,,52.468066,1.746353,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-06T12:50:48+00:00,True,,52.468066,1.746353,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-06T13:15:23+00:00,True,,52.066918,1.118255,Male,18-24,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,True
Person search,2015-02-06T13:26:23+00:00,True,,52.066918,1.118255,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,False,True
Person search,2015-02-06T13:30:31+00:00,True,,52.066165,1.118144,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,True
Person search,2015-02-06T14:24:31+00:00,False,,52.477210,1.746188,Male,10-17,Black or Black British - Any other Black ethnic background (B9),Black,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2015-02-06T15:42:02+00:00,False,,52.084610,0.444367,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-06T15:42:39+00:00,False,,52.084161,0.443905,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-02-06T16:00:09+00:00,False,,52.053103,1.032183,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-02-06T17:20:56+00:00,False,,51.972854,0.985315,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
