Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-02-01T00:15:00+00:00,False,,51.236502,-0.326618,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-02-01T00:26:00+00:00,False,,51.332478,-0.273228,Male,25-34,White - White British (W1),White,,Controlled drugs,Suspect arrested,True,
Person search,2015-02-01T01:22:00+00:00,False,,51.259067,-0.142561,Male,10-17,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-02-01T01:40:00+00:00,False,,51.326899,-0.279064,Male,25-34,Not Stated (NS),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-02-01T04:45:00+00:00,False,,51.293127,-0.489886,Male,over 34,White - Any other White ethnic background (W9),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-02-01T13:27:00+00:00,False,,51.432183,-0.512280,Male,10-17,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-02-01T13:51:00+00:00,False,,51.432183,-0.512280,Male,18-24,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-02-01T15:24:00+00:00,False,,51.147157,-0.503676,Male,18-24,White - White British (W1),White,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-02-01T15:24:00+00:00,False,,51.147157,-0.503676,Male,18-24,White - White British (W1),White,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-02-01T17:05:00+00:00,False,,51.434112,-0.505570,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-02-01T17:07:00+00:00,False,,51.372077,-0.442264,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-02-01T17:10:00+00:00,False,,51.372077,-0.442264,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-02-01T18:30:00+00:00,False,,51.348220,-0.721618,Male,25-34,White - White British (W1),White,,Controlled drugs,Offender given penalty notice,True,
Person search,2015-02-01T18:54:00+00:00,False,,51.434424,-0.505373,Female,10-17,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
