Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
aa76cc775e8165ac10b8d077222a4ba612ad1f4ce5c1f4b6ec95af2d72b8eadb,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.205818,52.334117,On or near PARKWAY,E01018151,Huntingdonshire 012E,Offender given a drugs possession warning
affe7ebc987b75f37b2a797ee86ecc32081b2c971929b9b4799bc1adcb232ba0,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.218990,52.550301,On or near CENTRAL SQUARE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
26b8921b7de3bc2d9eb916cf4eeac0975974f5c32fcedcb08ba242fb3f65f51f,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.217551,52.639245,On or near WHITSED ROAD,E01015631,Peterborough 003B,Investigation complete; no suspect identified
5814b175d9ac848441a0c9320c4d1fdb742ff52de86d492eb9e8dd39d50e6347,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.285516,52.208766,On or near AMBUSCADE ROAD,E01018177,Huntingdonshire 022A,Investigation complete; no suspect identified
dfcdb1f7da6ab5bd37a45e6c6f8b66af5b91cdda85a240a288afff84d152e72a,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.269929,52.592424,On or near WOLLASTON ROAD,E01015661,Peterborough 010D,Investigation complete; no suspect identified
f57c966506e631643a1833b1ca5263d245820caa18d10d8cea5c9ec27ce1a0a4,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.238931,52.600751,On or near HEATHER AVENUE,E01015633,Peterborough 008D,Investigation complete; no suspect identified
8ee88fb01e584c173dbceedce66a5e8f2b920093dab6de0f72dabe041ce394bc,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119079,52.205151,On or near LION YARD,E01032797,Cambridge 007G,Investigation complete; no suspect identified
432838a07388a5e331f849da7058e8e7eca22ef04c19262f17674c47f8213527,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.266483,52.532710,On or near KNIGHTON CLOSE,E01033176,Peterborough 023C,Investigation complete; no suspect identified
73b60e0022d90208c327a962d0b5c8400a24db51bf9cb670acf3ca82d0f0d383,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.112425,52.176551,On or near WINCHMORE DRIVE,E01018002,Cambridge 012A,Investigation complete; no suspect identified
19e9737b0b7c3366367022dc5682ea5e103e07c01e150d7a23fa759e0dfd4001,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.272930,52.398143,On or near CRESSWELLS LANE,E01018024,East Cambridgeshire 004A,Investigation complete; no suspect identified
3ee6d4de4d615b9bb3656c79ca92dcd923233794a00b6666f3a111e1dca19f6a,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.323977,52.284677,On or near ANCHOR LANE,E01018015,East Cambridgeshire 008C,Investigation complete; no suspect identified
1daa05016a31dd2144562c2324c26fc7cd46694e6095c3c8428a8dfd07416536,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.273020,52.097877,On or near FIELD CLOSE,E01018263,South Cambridgeshire 016D,Investigation complete; no suspect identified
