Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8257fd581e3566f469f8bdfc8a8827e6726aef2fea396364ab7b0af37199ae0f,2015-03,Lincolnshire Police,Lincolnshire Police,-0.632344,52.906310,On or near ST ANNE'S STREET,E01026343,South Kesteven 006D,Investigation complete; no suspect identified
d881b405640a139d493d8d6260752f740ebd80da24a6b10f2fbd872daca052d8,2015-03,Lincolnshire Police,Lincolnshire Police,0.351556,53.192928,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
d881b405640a139d493d8d6260752f740ebd80da24a6b10f2fbd872daca052d8,2015-03,Lincolnshire Police,Lincolnshire Police,0.351556,53.192928,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
b82d4eb62950da891fa4f60c2cc95f4dd027e5abb09f1612ea632b358b45184a,2015-03,Lincolnshire Police,Lincolnshire Police,-0.191331,53.167652,On or near SANDY LANE,E01026118,East Lindsey 016E,Investigation complete; no suspect identified
68fa716e81c18e5c1b8a7bed2c6490404d26b40dd1f30cd47d2ac3cd5d84f2d7,2015-03,Lincolnshire Police,Lincolnshire Police,-0.555754,53.235043,On or near NORFOLK STREET,E01026144,Lincoln 003B,Investigation complete; no suspect identified
5b4089cb7f2818059be9ffa55a491e0970d95a2e2419e17f3f9e684e28e2e2b6,2015-03,Lincolnshire Police,Lincolnshire Police,0.351556,53.192928,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
5b4089cb7f2818059be9ffa55a491e0970d95a2e2419e17f3f9e684e28e2e2b6,2015-03,Lincolnshire Police,Lincolnshire Police,0.351556,53.192928,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
ca83492e1731c5003053b6e90e113149f4b5473fd718ef9b2835cef3c4c68799,2015-03,Lincolnshire Police,Lincolnshire Police,-0.488211,52.654821,On or near NEWBOULTS LANE,E01026349,South Kesteven 016A,Investigation complete; no suspect identified
056bf91091d8358a29422e374a40ce014defd997beb8281345d46529842bffd4,2015-03,Lincolnshire Police,Lincolnshire Police,-0.452238,53.211252,On or near ALMOND AVENUE,E01026205,North Kesteven 005B,Investigation complete; no suspect identified
67c30bb33fba619f67acaafe7fc4dde23806fac9f8ddc943aae555942339e4bc,2015-03,Lincolnshire Police,Lincolnshire Police,0.351556,53.192928,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
e6c216588a9874572efc9a3b96c41339e6bdc42d34b9b98054528af02d46a66c,2015-03,Lincolnshire Police,Lincolnshire Police,-0.660392,53.267333,On or near POACHERS COURT,E01026398,West Lindsey 009C,Investigation complete; no suspect identified
34fe2bd4a7dc214217b537608b6aad947505889438db942e1e3391541fc021fa,2015-03,Lincolnshire Police,Lincolnshire Police,-0.463435,53.218094,On or near CRANBOURNE MEWS,E01026206,North Kesteven 001F,Investigation complete; no suspect identified
dec3d698a85a432768d7d3e5bf74cc0d59674dc85ca713027a16aaa0ce19a6a4,2015-03,Lincolnshire Police,Lincolnshire Police,-0.147201,52.789823,On or near THE GREEN,E01032995,South Holland 006F,Investigation complete; no suspect identified
73bd0a6ba0eb1c423cb4bc5038ec2bc0772c7012a073640aeb26020b06acc5da,2015-03,Lincolnshire Police,Lincolnshire Police,-0.318068,53.493860,On or near WESTWOLD ROAD,E01026367,West Lindsey 001A,Investigation complete; no suspect identified
e8f0df5c188b5157d9783af0bba75e721764707d2f1f3654ac7f7752156a8673,2015-03,Lincolnshire Police,Lincolnshire Police,0.333472,53.218279,On or near GATRAM ROAD,E01026048,East Lindsey 010A,Investigation complete; no suspect identified
f68473d31fdd5521040716989693c0c98ce8c3e7df162797a63af28b1dea5d16,2015-03,Lincolnshire Police,Lincolnshire Police,-0.530185,53.253186,On or near APLEY CLOSE,E01026168,Lincoln 001D,Investigation complete; no suspect identified
970d2267a963fc8878ef568908aa244892972a60f1a5cbea19068ae2e68ca783,2015-03,Lincolnshire Police,Lincolnshire Police,-0.538143,53.234343,On or near EXCHEQUERGATE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
57755d16248efb2e5b3ecfb790228923d7f19a7b07143c1e2916803952680a87,2015-03,Lincolnshire Police,Lincolnshire Police,0.332489,53.151378,On or near Sports/Recreation Area,E01026084,East Lindsey 012A,Investigation complete; no suspect identified
c996a18a878425ca508b70991f53a75dec4297f589c27299e7c673b2c3876403,2015-03,Lincolnshire Police,Lincolnshire Police,-0.570614,53.209063,On or near REYNOLDS DRIVE,E01026172,Lincoln 010C,Investigation complete; no suspect identified
9777a8b429ef33a3b70b8d9e11aca429a80af00fac01cab0372f2699afc75b56,2015-03,Lincolnshire Police,Lincolnshire Police,-0.459590,53.216723,On or near LINDRICK CLOSE,E01026204,North Kesteven 001E,Investigation complete; no suspect identified
7c8b9bb3f88c6303eeaf46255155944df7e93f26b5c9b5377754f04b81048f57,2015-03,Lincolnshire Police,Lincolnshire Police,-0.365615,52.802284,On or near WAVERLY CLOSE,E01026342,South Kesteven 008C,Investigation complete; no suspect identified
fc4aa0a9bef668bc409da7274585c2f4a7d4e4ba1fefb89081c4fbf539614ab1,2015-03,Lincolnshire Police,Lincolnshire Police,0.122469,52.785269,On or near HIGH STREET,E01026255,South Holland 008B,Investigation complete; no suspect identified
9df01324841cb46d2f2c02265ae0c2fd2c123e5225edae30e41e3e92adf6cdb0,2015-03,Lincolnshire Police,Lincolnshire Police,-0.504994,53.231505,On or near CROFTON CLOSE,E01026123,Lincoln 004B,Investigation complete; no suspect identified
5dda256cb07fc20dc6b5623f9269fd363568c90084de9874c7af38732b551a8b,2015-03,Lincolnshire Police,Lincolnshire Police,-0.584037,53.440171,On or near B1398,E01026386,West Lindsey 005B,Investigation complete; no suspect identified
ec685ec0e5c60479443b6620d66054489e86027f4e6b0342e8ead1f42d100c29,2015-03,Lincolnshire Police,Lincolnshire Police,-0.773781,53.391355,On or near WATERWORKS STREET,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
