Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6ec8603d13d9337a9de34e8215e9da93b21e299318c4922dab99992b251e371b,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.098824,52.450949,On or near OATES WAY,E01018156,Huntingdonshire 003A,Suspect charged
a7fddc55f2955212e59eaf446a7650a52a7dc46a40022c354da44d2c3911d698,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.178644,52.327839,On or near B1044,E01018138,Huntingdonshire 012A,Investigation complete; no suspect identified
4031f28fbbe82b0e9965864adc41bad7c99662f316334c1da988b18a75a9b793,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.176104,52.129129,On or near WAKELIN AVENUE,E01018283,South Cambridgeshire 015E,Investigation complete; no suspect identified
0e5b0bed13580407999b340f572a19031fdf2b659de13a45ae40dea9043e5367,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.113232,52.247842,On or near HOMEFIELD CLOSE,E01018257,South Cambridgeshire 006A,Investigation complete; no suspect identified
e11d88479bbbbc8d4d205e11ac9579cf5793d3093ce2a3e298813acc7f41f654,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.224061,52.599306,On or near SCALFORD DRIVE,E01015607,Peterborough 007A,Investigation complete; no suspect identified
ae40f57bb78638e301ee5fb680aa8ff0178d38ac4b0aeb6b8ad7ef327480f0e6,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.303534,52.543379,On or near Parking Area,E01015647,Peterborough 021F,Investigation complete; no suspect identified
a20f806108ceef4fd67c06aba17bde22c16653bff7b5affdd59be74e33f75dc4,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.329367,52.549303,On or near CHURCH STREET,E01018127,Huntingdonshire 002A,Investigation complete; no suspect identified
a410a7ad5d772cfb555867b7b06c61c1f7512a0134f1c4f4802bf2dca1b4a2a8,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.142940,52.237784,On or near A14,E01018274,South Cambridgeshire 007C,Investigation complete; no suspect identified
5d92562ba0f207548025b90cb4a05bb8d50c616ccc5c01665b4417b350ac8db6,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.109553,52.255515,On or near GLEBE WAY,E01018262,South Cambridgeshire 006F,Investigation complete; no suspect identified
4cab0d10d2063da384ca4a334945e2eb6119df13f81e79191f751924acf08f30,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.267333,52.520476,On or near BAIRD CLOSE,E01018216,Huntingdonshire 001E,Investigation complete; no suspect identified
5a64537700747a83ea909049b699c25653906e8dd9605efb19f98b01f3f1b0c1,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.286810,52.547957,On or near GOODACRE,E01015641,Peterborough 021D,Investigation complete; no suspect identified
85698daf5b2129eb02fd4619d3d42564e0b17a0d014b6ea0db1233f69d2532de,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.154351,52.671971,On or near BURCROFT ROAD,E01018093,Fenland 003E,Investigation complete; no suspect identified
e5fae94e5e7b54daa655489c9b0bb8b12558708033e1d727c8f26f570c34e4f8,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131889,52.683949,On or near RICHMOND WAY,E01018094,Fenland 001A,Investigation complete; no suspect identified
37ea1e208c3d3dd141a151136da8406707d7f731fee2adb925e4f85657a7681d,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.201211,52.325757,On or near HUNTINGDON ROAD,E01018151,Huntingdonshire 012E,Investigation complete; no suspect identified
0f37fcd1bf19f2d4afef68577f6259171ba271db73edaf421d9121a76d4a1da9,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133810,52.207736,On or near NAPIER STREET,E01017983,Cambridge 007C,Investigation complete; no suspect identified
f01012243f77160df16c6400a2bc602ca3cc6229e7d7720cbe6c1c6c924d21b3,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227890,52.600271,On or near POPLAR AVENUE,E01015607,Peterborough 007A,Investigation complete; no suspect identified
aee51a3c525d816016ef63dd87e1392943b4b7a21736674db5e1a9cdb53b0c78,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.260441,52.595638,On or near Pedestrian Subway,E01015632,Peterborough 010C,Investigation complete; no suspect identified
14452d88d20d4ca32a0fdb14dacbbf10aaf05cdc9ab98b24bb29842028cc1401,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.285135,52.602256,On or near OXCLOSE,E01015596,Peterborough 009B,Investigation complete; no suspect identified
8c3fd33301640fd1a74b4bd0ca089735ac1dcc11e112719fd2349597cb4e2dc9,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221194,52.576759,On or near Petrol Station,E01015616,Peterborough 013F,Investigation complete; no suspect identified
27043892b678be781873048e9b32bdc145bc754814f954c2d9ab7fb87d902567,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243921,52.568655,On or near VIERSEN PLATZ,E01015599,Peterborough 014A,Investigation complete; no suspect identified
4f633020a7405fd82fbda2d6587e64c672fddf6d95cf701656b67c52a1ad6909,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221975,52.547963,On or near BEW CLOSE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
fd928d200c866a53265d70306d236dbbca83604172ba9515593e1d006cccc002,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241368,52.600373,On or near CROCUS GROVE,E01015633,Peterborough 008D,Investigation complete; no suspect identified
fe4ac3acc183ac0d9b072955b62e5bee901117729064e7d6c92b61671e3ac6ba,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.233679,52.580794,On or near VERGETTE STREET,E01015655,Peterborough 014E,Investigation complete; no suspect identified
7b73a2fae7c1e3f0dd62d1d079ddd895df39bc25c05e497162e5cc195dcd33d5,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.072512,52.654809,On or near SAND BANK,E01018090,Fenland 004D,Investigation complete; no suspect identified
2f2e4cbfd95ec80fc5995746e65ae0c1bd59dc1d68e09dd5b84f606fcade747a,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240845,52.575820,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
2e4aab6cf4651831abfc5bf0e79a0e40c2b852f7c393aa4fb789cd878a5ebe79,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246989,52.576073,On or near Parking Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
67679fe933afa90c4f492dc7160ece9311a046d9bdf43c42deb76b9b8306154e,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240662,52.581878,On or near GRANVILLE STREET,E01015602,Peterborough 014C,Investigation complete; no suspect identified
febddb7adfc58c48d201ab0d4cd34082539706b8c1c6e9904740f239ef7f1b83,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240177,52.584028,On or near PRINCE'S STREET,E01015655,Peterborough 014E,Investigation complete; no suspect identified
3eb800de0defb299102e40f32307b89caf12bc2a87156b46cabe68af4938d565,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.219299,52.598758,On or near BELVOIR WAY,E01015609,Peterborough 007B,Investigation complete; no suspect identified
0771eee63dc2f1ff125608f340f5e5d7db27c8d761d7586f9e24e3aedfcb8978,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240845,52.575820,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
80e7c1f581af58a1e8f60d9e90fbabf2ebd3345ac696356bc61f3ff335134fc2,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.224061,52.599306,On or near SCALFORD DRIVE,E01015607,Peterborough 007A,Investigation complete; no suspect identified
b289e5ccff8716210ff423ae7dc825c8f6b477a984af1c1dd1cb73a24cb29754,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.071544,52.323729,On or near OLIVER ROAD,E01018168,Huntingdonshire 013C,Investigation complete; no suspect identified
abf83e806e14ca430d436fc018652fff6932dc49dbc9bc0eb7c6684ad11655eb,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.099277,52.445895,On or near ABBEY ROAD,E01018156,Huntingdonshire 003A,Investigation complete; no suspect identified
09078dffd33f71000fe49da171b2a259e9d324bf0f50fd6923097e020bf362d2,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.282685,52.434036,On or near DEVONSHIRE CLOSE,E01018191,Huntingdonshire 004A,Investigation complete; no suspect identified
73d63d6aa635f698e3db75db125a7694f9f9a81eeb5dd0633bb9cb5c772425e4,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.270467,52.228822,On or near BEC ROAD,E01018187,Huntingdonshire 019A,Investigation complete; no suspect identified
8e5e75693a1f0ea55b8748938345aff11522b4825e784d74da2ac7682c8f8436,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.172112,52.338905,On or near BYRON CLOSE,E01018144,Huntingdonshire 008B,Investigation complete; no suspect identified
44f27d09d6b51476a500f9795fe1103a61ef753b403eaebfda28e24703bba4d8,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.237360,52.599424,On or near PRIMROSE CLOSE,E01015633,Peterborough 008D,Investigation complete; no suspect identified
e58f2bb407ec734379193289e0cdecc9fef716672ca6c7ccadfaa93511a0f257,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.025003,52.493428,On or near FIELDS VIEW,E01018060,Fenland 008C,Investigation complete; no suspect identified
1c92b7f56f6308c5b79bcf618f217f44b5fb877944344aee0cf99d2e8a00ec60,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221975,52.547963,On or near BEW CLOSE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
7a4675adf99c5a53e66caff1513e596a6ce110e112ad492414a74461d7cf797d,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241255,52.579225,On or near ST MARK'S STREET,E01015602,Peterborough 014C,Investigation complete; no suspect identified
2dfa7028546969c6217e1e7902d63146ec6a21ccf5860cdf4ac78b734d12eee3,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.110079,52.348170,On or near DURHAM WAY,E01018206,Huntingdonshire 006E,Investigation complete; no suspect identified
c2f007c431000811b128647705735953026cb545fb14d9f65009173dbcba8583,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221194,52.576759,On or near Petrol Station,E01015616,Peterborough 013F,Investigation complete; no suspect identified
db903cf79ad65b7508827671f1dc1728e6317d79097cedb9212d0704ce53931b,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.254084,52.609220,On or near TUDOR CLOSE,E01015660,Peterborough 007F,Investigation complete; no suspect identified
ce3638c497dd91d813462351c728d1bdefe6ff43caa869d2a51c48df49d0838a,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.242759,52.391921,On or near WITCHFORD ROAD,E01033428,East Cambridgeshire 004G,Investigation complete; no suspect identified
