Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e5ac925358c6ab3a728c80ba39887ca3cfc14249d48ff1ed4a33952b695026d7,2015-05,Cleveland Police,Cleveland Police,-1.217313,54.677517,On or near MARSKE STREET,E01011950,Hartlepool 008A,Offender given a caution
f63b56f65b07f9cdddc3b1bec5bb0c6ff4e1282a0db74d65b9acb402aff99e7b,2015-05,Cleveland Police,Cleveland Police,-1.217313,54.677517,On or near MARSKE STREET,E01011950,Hartlepool 008A,Offender given a caution
c33b93940c013ed06ddf669340edeff2cc7774c72e958bca544c0a074a4e94db,2015-05,Cleveland Police,Cleveland Police,-1.314360,54.564501,On or near Supermarket,E01012267,Stockton-on-Tees 014F,Offender given a caution
a0269d81c43ea92f943e8a4ad093ea8cdd26e33c564f4bd143cd9df7d7dad7c4,2015-05,Cleveland Police,Cleveland Police,-1.238816,54.592449,On or near CAMBRIDGE TERRACE,E01012198,Stockton-on-Tees 003B,Offender given a caution
c7a4a0171b731abf569d59b0e22bd7097ee6335959c45d7974496d10c1306bd8,2015-05,Cleveland Police,Cleveland Police,-1.048741,54.608819,On or near HAMPTON GROVE,E01012186,Redcar and Cleveland 004G,Offender given a caution
19ba76b9d003c8a373bcd9ddfaa74588e7fbadcbcd5e111189b072308635ecb3,2015-05,Cleveland Police,Cleveland Police,-1.216641,54.681800,On or near YORK ROAD,E01011999,Hartlepool 007D,Offender given a caution
6041edbb3c04f5c22f25e94edea1435366caf7179bad6fa06cad24b9823ddb4c,2015-05,Cleveland Police,Cleveland Police,-1.061138,54.617795,On or near GRAFFENBERG STREET,E01012102,Redcar and Cleveland 001C,Offender given a caution
1e3d7edf9b352f33008a1cae7da5b01c3e851f084ea7874913b147cf8bb90548,2015-05,Cleveland Police,Cleveland Police,-1.241354,54.564938,On or near LINTHORPE ROAD,E01012078,Middlesbrough 005A,Offender given a caution
a0de2de2f1958c19e7918605a95bf71bb2e6e821c9424127ce7674592048c826,2015-05,Cleveland Police,Cleveland Police,-1.241354,54.564938,On or near LINTHORPE ROAD,E01012078,Middlesbrough 005A,Offender given a caution
da8d21dab3335b642299039b3980c9323d029594c5a876830ce008e8fbcde94b,2015-05,Cleveland Police,Cleveland Police,-1.237680,54.662405,On or near DALRY GROVE,E01011979,Hartlepool 012E,Offender given a caution
940030abc2ccc5f0ddc94072319422803c4739c73b97d2a93805c0f8fe9f92dd,2015-05,Cleveland Police,Cleveland Police,-1.343202,54.592485,On or near RUNFOLD CLOSE,E01012249,Stockton-on-Tees 008B,Offender given a caution
c313c2e48d40a907e7f393059a23c53211758741cb1d65c225d1f0dbb45c75a4,2015-05,Cleveland Police,Cleveland Police,-1.333616,54.503704,On or near NETHERBY CLOSE,E01012301,Stockton-on-Tees 024E,Offender given a caution
3e539ab7445901a24a9ec3dccd8fbf862b017cba221051f211d217cb358affa1,2015-05,Cleveland Police,Cleveland Police,-1.286976,54.531361,On or near HOLBECK WALK,E01012283,Stockton-on-Tees 020B,Offender given a caution
0532e67f613a23eb88c2426d6a03c06a45f09882b1f0dc4d8461e1673a3532b6,2015-05,Cleveland Police,Cleveland Police,-1.165761,54.568565,On or near Parking Area,E01033470,Redcar and Cleveland 022G,Offender given a caution
