Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1f1dbbb8a092fd3043828233fb8847a210cf118d48e971d13eda143389e98df2,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.472888,51.640797,On or near Pedestrian Subway,E01023851,Three Rivers 004D,Investigation complete; no suspect identified
cc8c7f3ab8a951e0d1494ea4a4cead5d9524dac1c56677f228c3f575fd0f421e,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.433318,51.695721,On or near HAMILTON ROAD,E01023831,Three Rivers 003C,Investigation complete; no suspect identified
c4e666312443a48501d3341a5c5757a2bc558036ea297311959e8ee2bedc51ca,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.465335,51.632930,On or near THE BYEWAY,E01023849,Three Rivers 011D,Investigation complete; no suspect identified
88e0c072872a440ad76c333682808fc705bf6298a6e76093690fb1830a7259fd,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.489481,51.634223,On or near Petrol Station,E01023836,Three Rivers 009B,Investigation complete; no suspect identified
ddd4bb6bc9cd7c4d4953b4aed14f374bd4b54132c9ff82b906117e6f1f69a3fa,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.392958,51.637429,On or near THE OAKS,E01023846,Three Rivers 008D,Investigation complete; no suspect identified
16052a40b6c1178385bb470deeb9f9881486682146e65a06b4247212fb24c249,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.386570,51.627675,On or near Petrol Station,E01023805,Three Rivers 010A,Investigation complete; no suspect identified
c0396e11f825b8cbd6cd03aa8e667a86697110f3f8123a928016d7e96b3a6a3e,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.389784,51.658085,On or near EBURY ROAD,E01023859,Watford 009A,Investigation complete; no suspect identified
4ecbf4c59cd9dc3fc59952058919395918ace3f5a5f408ae31aab5f4ff09d3db,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.395758,51.655118,On or near HIGH STREET,E01023862,Watford 009D,Investigation complete; no suspect identified
f2ddba7fd67ef90b91ca5e27fb91a36a3ae82439604405a011b0381a5b1709f2,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031426,51.818182,On or near KINGSWAY,E01023520,East Hertfordshire 012F,Investigation complete; no suspect identified
2623f0a2d5cde8c6d4b9b0b57ea442cc790615e73c9113905c5eb30cfcf84ef8,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.186592,51.927484,On or near NEWCASTLE CLOSE,E01023799,Stevenage 002D,Investigation complete; no suspect identified
cbedb122e8e5cad819350ddca7d1a9d8527f1dd71cb82dd3543b9a07f09e8a25,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.176620,51.910137,On or near BRUNEL ROAD,E01023762,Stevenage 007D,Investigation complete; no suspect identified
