Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f4371750f03ac87138d0c6d282bb5913b6a0c173e06f0b6e5defc46b8349ffee,2015-05,Humberside Police,Humberside Police,-0.139644,53.553650,On or near SPRATTON COURT,E01013228,North East Lincolnshire 013D,Investigation complete; no suspect identified
c329cdb08ab761c91e47206304354e32e2e5be78401cf9a4b158a0b4ac7b9a7a,2015-05,Humberside Police,Humberside Police,-0.435697,53.848919,On or near WOODHALL WAY,E01013070,East Riding of Yorkshire 016F,Investigation complete; no suspect identified
d49591beec3ea9b1039be4b2be4e70b2056b0e6131b2d3d7cf4fd5c7e1f0b55c,2015-05,Humberside Police,Humberside Police,-0.359368,53.736885,On or near HAMSHAW COURT,E01012891,Kingston upon Hull 030C,Investigation complete; no suspect identified
e74e6c663d050d96293c28e344a247e404cb9de8499d38d391003c01a2d5ebe5,2015-05,Humberside Police,Humberside Police,-0.443431,53.725206,On or near MARLBOROUGH AVENUE,E01013007,East Riding of Yorkshire 036B,Investigation complete; no suspect identified
3d903ee92b9ad3e4d0837a6a89710f017ba3351788753eaeed01088334f93d9c,2015-05,Humberside Police,Humberside Police,-0.087703,53.559195,On or near ABBEY PARK ROAD,E01013184,North East Lincolnshire 016D,Investigation complete; no suspect identified
bf5aa51b4e86bc06d2100d248a9a192caa5921c2cb7a6e2ea13e23429b82fb84,2015-05,Humberside Police,Humberside Police,-0.288987,53.771597,On or near Supermarket,E01012823,Kingston upon Hull 011B,Investigation complete; no suspect identified
13ae663e6e219fd5ce50cb0e8c3044fec58da808f8259034f1752579decd07e7,2015-05,Humberside Police,Humberside Police,-0.331228,53.807268,On or near WAWNE LODGE,E01012779,Kingston upon Hull 001A,Investigation complete; no suspect identified
9026b71e1aae2e4c823ebefa986d5e8755b04efe4075f59e319a3b8bede0ad97,2015-05,Humberside Police,Humberside Police,-0.031642,53.559850,On or near SHORT STREET,E01013129,North East Lincolnshire 017A,Investigation complete; no suspect identified
42a14a9f1c49b56c512b192a8959145ee4c8cf7431b12c0e7bf0d492b51ab71e,2015-05,Humberside Police,Humberside Police,-0.090615,53.553551,On or near WEELSBY ROAD,E01013182,North East Lincolnshire 016B,Investigation complete; no suspect identified
d44d96c87757c59bb8af790821cad6561d3f4dd9279ab11a45b3c07364f3cafc,2015-05,Humberside Police,Humberside Police,-0.656794,53.599588,On or near Sports/Recreation Area,E01013297,North Lincolnshire 007A,Investigation complete; no suspect identified
3c1ab69617f78d38f23c0b2372cfbaf2e7f5547ab26cbae7356873414264518c,2015-05,Humberside Police,Humberside Police,-0.363327,53.779359,On or near SUTHERLAND AVENUE,E01012915,Kingston upon Hull 008E,Investigation complete; no suspect identified
3300a3c9a8707cc3d2864b94e47784b7b4c5cc60831968f8a918aa91b959899d,2015-05,Humberside Police,Humberside Police,-0.734739,53.956379,On or near MANOR BARN COURT,E01013119,East Riding of Yorkshire 011G,Investigation complete; no suspect identified
7d0437e60bdf3b1002a04d95b8dac735cce483ed4d1c6bccb69997ad96cc805f,2015-05,Humberside Police,Humberside Police,-0.685728,53.586129,On or near MINSTER ROAD,E01013334,North Lincolnshire 009D,Investigation complete; no suspect identified
5c109c6a9119f9285ffb3a1e175c04df91d3d602fbc4c9a2df71c462af4cb847,2015-05,Humberside Police,Humberside Police,-0.451485,53.714739,On or near Parking Area,E01013009,East Riding of Yorkshire 034B,Investigation complete; no suspect identified
d88ad5646cd68937cb6d2778f3f3973962258e2bfe63ba34d4e804c8eb868e99,2015-05,Humberside Police,Humberside Police,-0.392981,53.756775,On or near FLAXDALE COURT,E01012774,Kingston upon Hull 019A,Investigation complete; no suspect identified
7602ccf5e37b4bc732d45d8c24b17d9b0c382b7318ccfc1df256206e0c03df57,2015-05,Humberside Police,Humberside Police,-0.369475,53.741742,On or near HERON STREET,E01012893,Kingston upon Hull 030E,Investigation complete; no suspect identified
ef12448ef13974f5142d3bc32d58e3c694763e5e8840548e03fb081ad4a49625,2015-05,Humberside Police,Humberside Police,-0.198339,53.618653,On or near TRENCHARD CLOSE,E01013174,North East Lincolnshire 001A,Investigation complete; no suspect identified
d0faeef4f8e74bd5a621f5e7fd1be9e3a82de5a44c7c5c40f0db8aa896a1fa63,2015-05,Humberside Police,Humberside Police,0.025268,53.729734,On or near BEACONSFIELD,E01013082,East Riding of Yorkshire 031D,Investigation complete; no suspect identified
b3765bd1401d33a128683fd15e9bb476bc820a1b8c3e357143f397ea1421ca09,2015-05,Humberside Police,Humberside Police,-0.325859,53.764018,On or near CLAY STREET,E01012804,Kingston upon Hull 016A,Investigation complete; no suspect identified
