Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-05-31T23:00:00+00:00,,,50.846098,-2.157923,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-05-31T23:00:00+00:00,,,50.846098,-2.157923,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-05-31T23:00:00+00:00,,,50.725093,-1.990796,Female,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,,,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-06-01T23:00:00+00:00,,,50.727940,-1.845374,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,50.722659,-1.865338,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,50.625413,-2.476444,Male,25-34,White - White British (W1),White,,Articles for use in criminal damage,Suspect arrested,,
Person search,2015-06-01T23:00:00+00:00,,,50.613741,-2.453938,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2015-06-01T23:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,Suspect arrested,,
Person search,2015-06-01T23:00:00+00:00,,,50.722659,-1.865338,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,,
Person search,2015-06-01T23:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-06-01T23:00:00+00:00,,,50.729268,-1.872219,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-06-01T23:00:00+00:00,,,50.710436,-2.447975,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-06-01T23:00:00+00:00,,,50.710436,-2.447975,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,50.729236,-1.838952,Male,over 34,Mixed - White and Black Caribbean (M1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,50.729236,-1.838952,Male,over 34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,50.725919,-1.861518,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-06-01T23:00:00+00:00,,,50.729027,-2.762567,Male,18-24,Black or Black British - Caribbean (B1),Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,,
Person search,2015-06-01T23:00:00+00:00,,,50.765688,-1.900678,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,50.765688,-1.900678,Male,10-17,Not Stated (NS),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-06-01T23:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-06-02T23:00:00+00:00,,,,,Female,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-02T23:00:00+00:00,,,,,Female,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-02T23:00:00+00:00,,,,,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-02T23:00:00+00:00,,,50.603784,-2.454196,Male,over 34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-06-02T23:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-02T23:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
